,Activity,database,Friendly name,Activity long,Unit,Multiplier,Location,Aluminium,Chromium,Cobalt,Copper,Dysprosium,Gallium,Germanium,Graphite,Indium,Iridium,Lithium,Manganese,Neodymium,Nickel,Palladium,Platinum,Praseodymium,Selenium,Silicon,Silver,Tellurium,Vanadium,Zinc
0,"wind power plant construction, 2MW, offshore, moving parts",ecoinvent-3.10-cutoff,"Wind, offshore, moving parts (Bonus 2 MW)","wind power plant construction, 2MW, offshore, moving parts (GLO)",MW,2.0,GLO,888.0987385225719,11264.4689764575,4.377204244784246,836.4089847159363,7.219732030865e-05,0.26041910469005397,,0.899829798253265,0.0025378179631701,,3.868143225803709e-05,198.53402352659185,0.4657111958865296,3911.8492533272656,0.00107962374775375,0.0005589043186019,0.15602776733140955,3.214013212149504,476.4459329525883,0.2091042059991265,0.1079856776756027,0.0003420760073451,77.29494067877737
1,"market for electricity, low voltage",ecoinvent-3.10-cutoff,"North India electricity grid, low voltage","market for electricity, low voltage (IN-Northern grid)",kWh,1.0,IN-Northern grid,0.0003452795032298,2.7279783087134014e-05,6.522932403436228e-07,0.0004856047981153,5.964392188522661e-11,1.0529675328620493e-07,,3.029160681489584e-06,1.7037323327056171e-09,,9.122912161996412e-11,4.32545733971143e-05,6.876588410382998e-08,4.5091714045203186e-05,8.016516038825871e-10,5.39114238167463e-10,2.3008235627037698e-08,1.013070728644908e-06,3.5342692378198714e-05,3.051246152246076e-07,6.80750961312227e-08,4.724898454681281e-10,0.0001071275384528
2,"battery production, Li-ion, LFP, rechargeable, prismatic",ecoinvent-3.10-cutoff,LFP,"battery production, Li-ion, LFP, rechargeable, prismatic (CN)",kWh,0.116,CN,1.7705017047269782,0.0052127183204077,0.0013515518808560345,0.9302299695118431,9.027763562063755e-08,0.0005458028597262854,,0.0028014309060112067,2.7245665627342233e-07,,0.08557612822384827,0.020862217633977588,0.0003530428319131181,0.0567960241514819,1.980273063200125e-06,1.5198575669143457e-06,0.00011823172065299722,0.0002461587014064,0.0084016798669208,0.000876312745450862,0.000142595460182786,6.432415662155193e-07,0.14340335003937327
3,"market for electricity, medium voltage",ecoinvent-3.10-cutoff,"Alberta electricity market, medium voltage","market for electricity, medium voltage (CA-AB)",kWh,1.0,CA-AB,0.0001192782123938,1.07858665982075e-05,1.3767181244359925e-07,8.356084824262227e-05,2.7499329414104628e-11,3.6636500584739744e-08,,2.176391832257286e-07,2.5576178473076335e-10,,9.419293387701623e-12,4.899878070232394e-05,7.97676377872724e-08,3.002647583053529e-05,1.4521915377483488e-10,9.363628582444447e-11,2.6714923612656816e-08,1.741174607197523e-07,8.070300624839583e-06,2.74793931321784e-08,1.1700133600004072e-08,7.064239095197577e-11,1.570724799891955e-05
4,"market for electricity, low voltage",ecoinvent-3.10-cutoff,"Swiss electricity market, low voltage","market for electricity, low voltage (CH)",kWh,1.0,CH,0.00017068652803,2.9613141776475335e-05,5.712226594918942e-07,0.0004337986199991,1.4825412320547835e-11,5.32554785868592e-08,,2.151313336237805e-06,1.3859215266779332e-09,,1.0479012105559892e-11,1.901444011111994e-05,2.4733048357182752e-08,3.606012263208389e-05,6.436539306539792e-10,3.916517235455e-10,8.277196900744e-09,9.060869709198664e-07,3.092254767183189e-05,2.648759512579471e-07,6.08861315470828e-08,3.834413239608191e-10,8.72384895592896e-05
5,"gas turbine construction, 10MW electrical",ecoinvent-3.10-cutoff,,"gas turbine construction, 10MW electrical (RER)",MW,10.0,RER,26.086431752846455,660.1316135221468,0.5948754039299605,422.5489146177856,2.363453370068e-05,0.006446510983408029,,0.06787971069175013,0.0052158509363328,,3.945630611277044e-06,66.371384562804,0.0991189467595518,77.39571193189883,0.00056634591090365,0.00028564565011284,0.03320665755824135,8.84637929815393,321.65567102220047,0.10352163297003539,0.05944482493480778,0.00013813598060775,31.12967179654644
6,"fuel cell production, polymer electrolyte membrane, 2kW electrical, future",ecoinvent-3.10-cutoff,Fuel Cell,"fuel cell production, polymer electrolyte membrane, 2kW electrical, future (RoW)",kW,1.0,RoW,13.335886895546215,10.31368617204639,0.013960117553321,6.629165749820759,9.107944345802044e-07,0.0041011782051279,,9.495748175743604,1.0845697568055907e-05,,1.2748058212322917e-06,1.928068453819172,0.0025382886831583,8.821923991308356,0.0010577700275103,0.0015583624237102,0.0008500386589385,0.0109284043924677,0.7596656368801264,0.0031973356706523,0.0007343536421379,2.955315966045912e-06,0.6621582419321905
7,"furnace production, wood chips, average storage area, 50kW",ecoinvent-3.10-cutoff,,"furnace production, wood chips, average storage area, 50kW (RoW)",MW,0.05,RoW,287.44813258749224,0.8716065710206123,0.46061022821441794,198.04252954726158,0.00015071689560728133,0.087822460000552,,0.31783976811420994,0.0001320474878467,,0.00010344535370311118,282.20046446131107,0.284402736458438,204.55650561844138,0.0004906504867175163,0.0003906020660570805,0.095235497118052,0.020133575074699,1.2359173804133805,0.130731293033648,0.02705823033444,0.0007452209843650712,163.99631161499704
8,"nuclear power plant construction, pressure water reactor, 1000MW",ecoinvent-3.10-cutoff,Pressure water reactor - DE,"nuclear power plant construction, pressure water reactor, 1000MW (DE)",MW,1000.0,DE,691.6785253909522,4578656.613996277,4.6721577961461005,1414.3821245160593,0.0001786613594913794,0.2018145118440344,,0.8785775478943814,2.537335402474581,,6.99437877039366e-05,613.8571545889022,0.8776193446507806,3375.901789592392,0.00215514705798313,0.0013269664938750352,0.2940284467255251,2841.497794740237,253791.25938129504,0.3627290677887562,0.19093951685655686,0.0006881343762913745,153.77527399675347
9,"battery production, Li-ion, NMC811, rechargeable, prismatic",ecoinvent-3.10-cutoff,NMC811,"battery production, Li-ion, NMC811, rechargeable, prismatic (CN)",kWh,0.149,CN,1.8360744340627464,0.030062619780308,0.05471155307219262,1.9580935508335757,1.5992369116299083e-07,0.0004213698305966165,,0.004365891907726175,3.2256463442288885e-07,,0.06758995629492215,0.24728797299000269,0.00022160612952682254,0.7056316665257067,5.963516918027682e-06,3.437106548383887e-06,7.411200957339798e-05,0.0002788864578748,0.438647499824956,0.0007820081520281879,0.00012577364699460817,5.938215292047476e-07,0.134628993549547
