DBID,Mineral,Country [Economic Entity],Raw Material,Year,GeoPolRisk Score,GeoPolRisk Characterization Factor [eq. Kg-Cu/Kg],HHI,Import Risk,Price
AluminiumEU2022,Aluminium,EU,Aluminium,2022,0.114306698,0.792038255,0.353279205,0.323559091,2.836847898
AntimonyEU2022,Antimony,EU,Antimony,2022,0.179047282,2.921206217,0.276644236,0.647211323,6.679686151
ArsenicEU2022,Arsenic,EU,Arsenic,2022,0.047242452,1.260709433,0.393237114,0.120137316,10.92557115
AsbestosEU2022,Asbestos,EU,Asbestos,2022,0.008164194,0.00380703,0.334917531,0.02437673,0.190912557
BaryteEU2022,Baryte,EU,Baryte,2022,0.049862204,0.031728348,0.151374326,0.329396706,0.260517896
BauxiteEU2022,Bauxite,EU,Bauxite,2022,0.101902836,0.022116862,0.183423799,0.555559508,0.088858467
BentoniteEU2022,Bentonite,EU,Bentonite,2022,0.017916838,0.008604676,0.131361273,0.136393605,0.196623186
BerylliumEU2022,Beryllium,EU,Beryllium,2022,0.123571058,1.635950525,0.485201868,0.254679683,5.420195781
BismuthEU2022,Bismuth,EU,Bismuth,2022,0.203123211,5.5778113,0.57113303,0.35564956,11.24257614
BoronEU2022,Boron,EU,Boron,2022,0.149745277,0.147988238,0.298475217,0.501700872,0.404609095
CadmiumEU2022,Cadmium,EU,Cadmium,2022,0.021607252,0.084479996,0.194548309,0.111063685,1.600722026
ChromiteEU2022,Chromite,EU,Chromite,2022,0.120247688,0.090220183,0.307014086,0.391668308,0.307176893
CobaltEU2022,Cobalt,EU,Cobalt,2022,0.152923705,11.3109061,0.492897116,0.310254818,30.28197237
Coking CoalEU2022,Coking Coal,EU,Coking Coal,2022,0.149240804,0.08957032,0.327279999,0.456003435,0.245718651
CopperEU2022,Copper,EU,Copper,2022,0.04345092,0.254791913,0.10368442,0.419068944,2.400757156
DiatomiteEU2022,Diatomite,EU,Diatomite,2022,0.005396988,0.008762883,0.151625222,0.035594264,0.664748115
FeldsparEU2022,Feldspar,EU,Feldspar,2022,0.0643337,0.011552772,0.200663772,0.320604457,0.073520634
FluorsparEU2022,Fluorspar,EU,Fluorspar,2022,0.140040906,0.150792159,0.426157988,0.328612651,0.440844494
GermaniumEU2022,Germanium,EU,Germanium,2022,0,0,0.876403913,0,0
GoldEU2022,Gold,EU,Gold,2022,0.021453599,5.885726447,0.049356777,0.434663684,112.3211385
GraphiteEU2022,Graphite,EU,Graphite,2022,0.239230677,0.764231821,0.470663479,0.508283917,1.307885791
GypsumEU2022,Gypsum,EU,Gypsum,2022,0.000647525,5.93E-05,0.070392924,0.009198724,0.037472234
IronEU2022,Iron,EU,Iron,2022,0.088397289,0.028110302,0.202521836,0.436482753,0.13019315
KaolinEU2022,Kaolin,EU,Kaolin,2022,0.017362803,0.004821776,0.101877426,0.170428361,0.11369693
LeadEU2022,Lead,EU,Lead,2022,0.034676311,0.196777683,0.201622614,0.171986219,2.323295902
LigniteEU2022,Lignite,EU,Lignite,2022,0.0001348,3.95E-05,0.088022234,0.001531432,0.119932574
LithiumEU2022,Lithium,EU,Lithium,2022,0.095024892,5.002525911,0.319810954,0.297128322,21.55328814
MagnesiteEU2022,Magnesite,EU,Magnesite,2022,0.005835334,0.002953321,0.420400776,0.013880408,0.207208002
ManganeseEU2022,Manganese,EU,Manganese,2022,0.107436372,0.050142839,0.203518337,0.527895292,0.191081727
MercuryEU2022,Mercury,EU,Mercury,2022,0.105055426,1.415650186,0.497754374,0.21105877,5.516949853
MolybdenumEU2022,Molybdenum,EU,Molybdenum,2022,0.105402378,5.675102893,0.232610266,0.453128658,22.043721
Natural gasEU2022,Natural gas,EU,Natural gas,2022,0.040001488,0.128550805,0.103819061,0.385300039,1.315710143
NickelEU2022,Nickel,EU,Nickel,2022,0.140275256,0.154595846,0.267490077,0.524412934,0.451209593
NiobiumEU2022,Niobium,EU,Niobium,2022,0.334108058,21.77541244,0.869286218,0.384347585,26.68339052
PalladiumEU2022,Palladium,EU,Palladium,2022,0.075474835,9737.465657,0.32361209,0.233226252,52820.84471
Crude oilEU2022,Crude oil,EU,Crude oil,2022,0.047592695,0.077609824,0.083724617,0.568443266,0.667633278
PhosphateEU2022,Phosphate,EU,Phosphate,2022,0.126121013,0.063646558,0.234875438,0.536969784,0.20660891
PlatinumEU2022,Platinum,EU,Platinum,2022,0.026727822,306.92483,0.562004493,0.047558022,4701.430611
