Activity,database,Friendly name,Activity long,Unit,Multiplier,Location,Aluminium,Chromium,Cobalt,Copper,Dysprosium,Gallium,Germanium,Graphite,Indium,Iridium,Lithium,Manganese,Neodymium,Nickel,Palladium,Platinum,Praseodymium,Selenium,Silicon,Silver,Tellurium,Vanadium,Zinc,Graphite (synthetic)
a-Si_carrara,carrara_2020,"PV, a-Si",,MW,1,,6000,,,3700,,,10,,,,,,,,,,,,,40,,,,
"auxiliary heating unit production, electric, 5kW",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,,"auxiliary heating unit production, electric, 5kW (RoW)",MW,0.005,RoW,4.608835692,45.15969962,0.034359602,4.090601507,1.66E-05,0.000230771,3.89E-08,0.028824272,3.52E-05,1.73E-09,0.003442924,0.325626366,0.000514876,30.40091656,5.39E-06,3.22E-06,5.23E-05,0.001453929,4.792837854,0.001142672,1.38E-05,0.002242712,2.620416387,
"battery module production, for SiB battery",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,Sodium-ion,"battery module production, for SiB battery (GLO)",kilogram,1,GLO,0.055606361,0.007272565,0.00169145,0.054067426,1.56E-07,1.53E-06,3.32E-08,0.000107044,1.14E-07,1.67E-09,1.35E-05,0.123865219,4.77E-06,0.029028751,3.11E-08,1.79E-08,1.13E-06,8.00E-06,0.107925602,5.64E-06,1.79E-08,1.63E-05,0.004609274,
"battery production, Li-ion, LFP, rechargeable, prismatic",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,LFP,"battery production, Li-ion, LFP, rechargeable, prismatic (CN)",kWh,0.116,CN,1.808546492,0.048226768,0.001497721,0.915494918,1.09E-06,1.71E-05,4.68E-08,0.003207986,2.74E-06,3.12E-09,0.085759905,0.019267733,0.000356161,0.053319634,9.50E-06,4.38E-07,0.000113256,0.000400221,0.554043192,0.000818889,-1.42E-06,0.000156143,0.154538349,
"battery production, Li-ion, NMC111, rechargeable, prismatic",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,NMC111,"battery production, Li-ion, NMC111, rechargeable, prismatic (CN)",kWh,0.143,CN,1.564740266,0.095563151,0.406214455,1.565953669,1.38E-06,2.16E-05,6.95E-08,0.00270067,2.78E-06,3.72E-09,0.074412956,0.591329345,0.000221544,0.275870873,8.51E-06,4.62E-07,6.68E-05,0.000361596,1.4208182,0.000754594,-1.26E-06,0.000177053,0.158200768,
"battery production, Li-ion, NMC532",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,NMC532,"battery production, Li-ion, NMC532 (GLO)",kilogram,1,GLO,0.232971018,0.016880678,0.052271337,0.239662559,1.96E-07,2.59E-06,7.15E-08,0.000375018,4.02E-07,3.50E-09,0.020079722,0.055976131,3.54E-05,0.054340548,1.22E-06,6.81E-08,1.07E-05,5.18E-05,0.264034901,0.000107645,-1.46E-07,2.49E-05,0.022357873,
"battery production, Li-ion, NMC622",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,NMC622,"battery production, Li-ion, NMC622 (GLO)",kilogram,1,GLO,0.239576381,0.019117573,0.037405358,0.239555204,1.91E-07,2.55E-06,6.91E-08,0.000374089,3.98E-07,3.44E-09,0.020079588,0.057179779,3.50E-05,0.064785847,1.22E-06,6.68E-08,1.07E-05,5.17E-05,0.305993025,0.000107295,-1.48E-07,2.47E-05,0.021923327,
"battery production, Li-ion, NMC811, rechargeable, prismatic",ei_cutoff_3.10_tiam-ucl_SSP2-RCP19_2040 2025-10-20,NMC811,"battery production, Li-ion, NMC811, rechargeable, prismatic (CN)",kWh,0.149,CN,1.692659499,0.144097881,0.133604025,1.601164253,1.25E-06,2.01E-05,6.70E-08,0.004833483,2.60E-06,3.37E-09,0.06777048,0.211955212,0.000224176,0.508206342,8.31E-06,4.39E-07,6.83E-05,0.000350169,2.367677421,0.000733315,-1.27E-06,0.000166162,0.14243897,
c-Si_carrara,carrara_2020,"PV, c-Si",,MW,1,,6000,,,3700,,,,,,,,,,,,,,,1000,1,,,,
CdTe_carrara,carrara_2020,"PV, CdTe",,MW,1,,6000,,,3700,,,,,,,,,,,,,,,,,11,,,
CIGS_carrara,carrara_2020,"PV, CIGS",,MW,1,,6000,,,6,,1,,,5,,,,,,,,,9,,,,,,
DD-EESG_carrara,carrara_2020,DD-EESG,,MW,1,,700,525,,5000,6,,,,,,,790,28,340,,,9,,,,,,5500,
DD-PMSG_carrara,carrara_2020,DD-PMSG,,MW,1,,500,525,,3000,17,,,,,,,790,180,240,,,35,,,,,,5500,
