Mineral,Year,Value global (kt),Source,Notes
Copper,2050,21598,IEA CM explorer (net zero scenario),
Cobalt,2050,212,IEA CM explorer (net zero scenario),
Lithium,2050,150,IEA CM explorer (net zero scenario),
Nickel,2050,3115,IEA CM explorer (net zero scenario),
REE,2050,120,IEA CM explorer (net zero scenario),
Graphite (natural and synthetic),2050,8489,IEA CM explorer (net zero scenario),
Cobalt,2030,256,Schlichenmaier and Naegler 2022,
Cobalt,2040,351,Schlichenmaier and Naegler 2022,
Cobalt,2050,481,Schlichenmaier and Naegler 2022,
Lithium,2030,91,Schlichenmaier and Naegler 2022,
Lithium,2040,124,Schlichenmaier and Naegler 2022,
Lithium,2050,170,Schlichenmaier and Naegler 2022,
Nickel,2030,5745,Schlichenmaier and Naegler 2022,
Nickel,2040,7872,Schlichenmaier and Naegler 2022,
Nickel,2050,10787,Schlichenmaier and Naegler 2022,
Dysprosium,2030,1.517,Schlichenmaier and Naegler 2022,
Dysprosium,2040,2.078,Schlichenmaier and Naegler 2022,
Dysprosium,2050,2.847,Schlichenmaier and Naegler 2022,
Neodymium,2030,41,Schlichenmaier and Naegler 2022,
Neodymium,2040,56,Schlichenmaier and Naegler 2022,
Neodymium,2050,77,Schlichenmaier and Naegler 2022,
Gallium,2030,0.8,Schlichenmaier and Naegler 2022,
Gallium,2040,1,Schlichenmaier and Naegler 2022,
Gallium,2050,1.4,Schlichenmaier and Naegler 2022,
Germanium,2030,0.27,Schlichenmaier and Naegler 2022,
Germanium,2040,0.37,Schlichenmaier and Naegler 2022,
Germanium,2050,0.507,Schlichenmaier and Naegler 2022,
Indium,2030,1.593237449,Schlichenmaier and Naegler 2022,
Indium,2040,2.183119349,Schlichenmaier and Naegler 2022,
Indium,2050,2.991399741,Schlichenmaier and Naegler 2022,
Iridium,2030,0.0112,Schlichenmaier and Naegler 2022,
Iridium,2040,0.0153,Schlichenmaier and Naegler 2022,
Iridium,2050,0.021,Schlichenmaier and Naegler 2022,
Manganese,2030,42464,Schlichenmaier and Naegler 2022,
Manganese,2040,58186,Schlichenmaier and Naegler 2022,
Manganese,2050,79729,Schlichenmaier and Naegler 2022,
Vanadium,2030,180,Schlichenmaier and Naegler 2022,
Vanadium,2040,247,Schlichenmaier and Naegler 2022,
Vanadium,2050,338,Schlichenmaier and Naegler 2022,
Platinum,2030,0.509,Schlichenmaier and Naegler 2022,
Platinum,2040,0.697,Schlichenmaier and Naegler 2022,
Platinum,2050,0.955,Schlichenmaier and Naegler 2022,
REE,2030,42.517,Schlichenmaier and Naegler 2022,Sum of neodymium and dysprosium
REE,2040,58.078,Schlichenmaier and Naegler 2022,Sum of neodymium and dysprosium
REE,2050,79.847,Schlichenmaier and Naegler 2022,Sum of neodymium and dysprosium
Copper,Cumulative,481542.4019,IEA CM explorer (net zero scenario),From 2026
Cobalt,Cumulative,4563.885765,IEA CM explorer (net zero scenario),From 2026
Lithium,Cumulative,2894.736829,IEA CM explorer (net zero scenario),From 2026
Nickel,Cumulative,72226.99165,IEA CM explorer (net zero scenario),From 2026
REE,Cumulative,2467.246607,IEA CM explorer (net zero scenario),From 2026
Graphite,Cumulative,160672.406,IEA CM explorer (net zero scenario),From 2026
Dysprosium,Cumulative,50.0457485,Schlichenmaier and Naegler 2022,
Neodymium,Cumulative,1354.620818,Schlichenmaier and Naegler 2022,
Gallium,Cumulative,22.39305929,Schlichenmaier and Naegler 2022,
Germanium,Cumulative,8.915665118,Schlichenmaier and Naegler 2022,
Indium,Cumulative,52.5779767,Schlichenmaier and Naegler 2022,
Iridium,Cumulative,0.378043193,Schlichenmaier and Naegler 2022,
Manganese,Cumulative,1401354.547,Schlichenmaier and Naegler 2022,
Vanadium,Cumulative,5949.584078,Schlichenmaier and Naegler 2022,
Platinum,Cumulative,16.79181751,Schlichenmaier and Naegler 2022,
REE,Cumulative,1404.666566,Schlichenmaier and Naegler 2022,Sum of neodymium and dysprosium
