country,p_nom_min,p_nom_max,p_nom_opt,low_wind_scenario,high_wind_scenario
AL,0,12357.51513,4675.386808,0,9350.773615
BA,0,31.42261125,0.207971207,0,0.415942414
BE,2261.8,3133.027864,3132.951571,2261.8,3132.927864
BG,0,26778.35256,8.749048418,0,17.49809684
DE,9661,31939.742,31939.62394,9661,31939.642
DK,2652.6,64923.71736,2656.18717,2652.6,5312.374339
EE,0,24918.23725,3.227909838,0,6.455819675
ES,20,554532.9737,28.25836442,20,56.51672883
FI,73,95467.86151,20461.98188,73,40923.96375
FR,2528.2,382189.5418,133705.9041,2528.2,267411.8083
GB,23288.8,925963.5154,117233.3315,23288.8,234466.6631
GR,0,625830.8028,2.849989493,0,5.699978987
HR,0,47574.87849,2.801469165,0,5.602938331
IE,25.2,391136.7683,12674.79579,25.2,25349.59158
IT,30,648856.5836,1529.973472,30,3059.946944
LT,0,4968.430364,1836.939346,0,3673.878691
LV,0,23053.87209,316.918632,0,633.8372641
ME,0,8561.887143,3.783524662,0,7.567049324
NL,5714,57308.83348,5722.588674,5714,11445.17735
NO,138,1260226.517,141.4902503,138,282.9805007
PL,1200,24329.8426,24329.68796,1200,24329.7426
PT,25,269301.9779,27.77219408,25,55.54438815
RO,0,24246.7265,21912.22415,0,24246.6265
SE,203,146093.5235,211.3215,203,422.6430001
SI,0,207.3375818,0.332656021,0,0.665312042
