,component,carrier,bus_carrier,0
0,Generator,Offshore Wind (AC),AC,62914475.8385
1,Generator,Onshore Wind,AC,110321786.1703
2,Generator,Run of River,AC,81429317.89268
3,Generator,Solar,AC,99123413.92179
4,Generator,gas,gas,243886799.62932
5,Generator,nuclear,AC,150225346.3773
6,Generator,oil primary,oil primary,16390446.19671
7,Generator,solar rooftop,low voltage,530392510.84678
8,Generator,solar-hsat,AC,1640858332.81106
9,Generator,solid biomass,solid biomass,350655692.258
10,Generator,urban central heat vent,urban central heat,-9338044.8232
11,Line,AC,AC,-2762925.20361
12,Link,BEV charger,EV battery,319985964.57087
13,Link,BEV charger,low voltage,-355539960.63429
14,Link,DAC,AC,-30649109.61452
15,Link,DAC,co2,-55725653.84459
16,Link,DAC,co2 stored,55725653.84459
17,Link,DAC,urban central heat,-78015915.38242
18,Link,DC,AC,-8558580.78614
19,Link,Fischer-Tropsch,Hydrogen Storage,-429054345.07349
20,Link,Fischer-Tropsch,co2 stored,-88137587.8226
21,Link,Fischer-Tropsch,oil,342814421.71372
22,Link,Fischer-Tropsch,urban central heat,16196801.52652
23,Link,H2 Electrolysis,AC,-977628118.54744
24,Link,H2 Electrolysis,Hydrogen Storage,683753106.11208
25,Link,H2 Electrolysis,urban central heat,34283271.38689
26,Link,H2 pipeline,AC,-327188.68
27,Link,HVC to air,co2,10097707.03015
28,Link,HVC to air,non-sequestered HVC,-39275406.5739
29,Link,agriculture machinery oil,agriculture machinery oil,17188235.51024
30,Link,agriculture machinery oil,co2,4419095.34968
31,Link,agriculture machinery oil,oil,-17188235.51024
32,Link,co2 sequestered,co2 sequestered,83561643.8356
33,Link,co2 sequestered,co2 stored,-83561643.8356
34,Link,electricity distribution grid,AC,-1223755204.28419
35,Link,electricity distribution grid,low voltage,1187014847.65427
36,Link,gas for industry CC,co2,850680.93151
37,Link,gas for industry CC,co2 stored,16162937.69863
38,Link,gas for industry CC,gas,-85927366.81885
39,Link,gas for industry CC,gas for industry,77334630.13697
40,Link,gas pipeline,AC,-112023.39364
41,Link,industry methanol,co2,724514.53796
42,Link,industry methanol,industry methanol,2921315.06849
43,Link,industry methanol,methanol,-2921315.06849
44,Link,kerosene for aviation,co2,63927493.17854
45,Link,kerosene for aviation,kerosene for aviation,248648359.30975
46,Link,kerosene for aviation,oil,-248648359.30975
47,Link,methanolisation,AC,-46342757.83113
48,Link,methanolisation,Hydrogen Storage,-194648021.31257
49,Link,methanolisation,co2 stored,-42418892.46977
50,Link,methanolisation,methanol,171037216.32735
51,Link,methanolisation,urban central heat,4240517.53919
52,Link,naphtha for industry,naphtha for industry,92539506.84946
53,Link,naphtha for industry,oil,-92539506.84946
54,Link,naphtha for industry,process emissions,3596493.15069
55,Link,oil refining,co2,213075.80056
56,Link,oil refining,oil,15561679.95573
57,Link,oil refining,oil primary,-16390446.19671
58,Link,process emissions CC,co2,2237613.69864
59,Link,process emissions CC,co2 stored,42514660.27409
60,Link,process emissions CC,process emissions,-44752273.97272
61,Link,rural air heat pump,low voltage,-18721571.5788
62,Link,rural air heat pump,rural heat,54642072.01036
63,Link,rural biomass boiler,rural heat,21258040.48039
64,Link,rural biomass boiler,solid biomass,-24156864.18226
65,Link,rural gas boiler,co2,6708393.51229
66,Link,rural gas boiler,gas,-33880775.31461
67,Link,rural gas boiler,rural heat,33541967.56147
68,Link,rural ground heat pump,low voltage,-38959508.74166
69,Link,rural ground heat pump,rural heat,128596463.50584
70,Link,rural resistive heater,low voltage,-26816169.36118
71,Link,rural resistive heater,rural heat,24134552.42507
72,Link,shipping methanol,co2,41694377.93181
73,Link,shipping methanol,methanol,-168115901.25886
74,Link,shipping methanol,shipping methanol,168115901.25886
75,Link,solid biomass for industry CC,co2,-96802881.4508
76,Link,solid biomass for industry CC,co2 stored,96802881.4508
77,Link,solid biomass for industry CC,solid biomass,-277877747.33627
78,Link,solid biomass for industry CC,solid biomass for industry,250089972.60264
79,Link,urban central air heat pump,low voltage,-102441667.89775
80,Link,urban central air heat pump,urban central heat,394720633.26957
81,Link,urban central gas CHP,AC,893760.41154
82,Link,urban central gas CHP,co2,411545.49183
83,Link,urban central gas CHP,gas,-2078512.58498
84,Link,urban central gas CHP,urban central heat,893760.41154
85,Link,urban central gas boiler,co2,16584930.96078
86,Link,urban central gas boiler,gas,-83762277.57969
87,Link,urban central gas boiler,urban central heat,87112768.68288
88,Link,urban central resistive heater,low voltage,-18769218.17597
89,Link,urban central resistive heater,urban central heat,18581525.99421
90,Link,urban central solid biomass CHP CC,AC,1925613.67092
91,Link,urban central solid biomass CHP CC,co2,-2911990.85996
92,Link,urban central solid biomass CHP CC,co2 stored,2911990.85996
93,Link,urban central solid biomass CHP CC,solid biomass,-8359022.46196
94,Link,urban central solid biomass CHP CC,urban central heat,6932973.22995
95,Link,urban central water pits charger,urban central heat,-47611692.48671
96,Link,urban central water pits charger,urban central water pits,47611692.48671
97,Link,urban central water pits discharger,urban central heat,46596832.50078
98,Link,urban central water pits discharger,urban central water pits,-46596832.50078
99,Link,urban central water tanks charger,urban central heat,-37419005.8844
100,Link,urban central water tanks charger,urban central water tanks,37419005.8844
101,Link,urban central water tanks discharger,urban central heat,36687075.18703
102,Link,urban central water tanks discharger,urban central water tanks,-36687075.18703
103,Link,urban decentral air heat pump,low voltage,-55955798.83007
104,Link,urban decentral air heat pump,urban decentral heat,154245964.1502
105,Link,urban decentral biomass boiler,solid biomass,-40262058.2775
106,Link,urban decentral biomass boiler,urban decentral heat,35430611.2842
107,Link,urban decentral gas boiler,co2,7571097.73158
108,Link,urban decentral gas boiler,gas,-38237867.33119
109,Link,urban decentral gas boiler,urban decentral heat,37855488.65788
110,Link,urban decentral resistive heater,low voltage,-39613626.39374
111,Link,urban decentral resistive heater,urban decentral heat,35652263.75436
112,Load,H2 for industry,Hydrogen Storage,-60050739.72603
113,Load,agriculture electricity,low voltage,-12542898.14643
114,Load,agriculture heat,rural heat,-71800089.31753
115,Load,agriculture machinery electric,low voltage,-7366386.64725
116,Load,agriculture machinery oil,agriculture machinery oil,-17188235.51024
117,Load,electricity,low voltage,-449261319.21719
118,Load,gas for industry,gas for industry,-77334630.13699
119,Load,industry electricity,low voltage,-591419232.87671
120,Load,industry methanol,industry methanol,-2921315.06849
121,Load,kerosene for aviation,kerosene for aviation,-248648359.30989
122,Load,land transport EV,EV battery,-319985964.57088
123,Load,low-temperature heat for industry,urban central heat,-19874301.36986
124,Load,low-temperature heat for industry,urban decentral heat,-3342.46575
125,Load,naphtha for industry,naphtha for industry,-92539506.84932
126,Load,process emissions,process emissions,41155780.82192
127,Load,rural heat,rural heat,-190373006.66563
128,Load,shipping methanol,shipping methanol,-168115901.2588
129,Load,solid biomass for industry,solid biomass for industry,-250089972.60274
130,Load,urban central heat,urban central heat,-453987199.78206
131,Load,urban decentral heat,urban decentral heat,-263180985.3809
132,StorageUnit,Pumped Hydro Storage,AC,-5071521.36495
133,StorageUnit,Reservoir & Dam,AC,147515382.61162
134,Store,co2 sequestered,co2 sequestered,-83561643.8356
135,Store,non-sequestered HVC,non-sequestered HVC,39275406.5739
136,Store,urban central water pits,urban central water pits,-1014859.98593
137,Store,urban central water tanks,urban central water tanks,-731930.69738
