country,p_nom_min,p_nom_max,p_nom_opt
BE,5931.0,inf,5931.001129616048
BG,2080.0,inf,2080.005944924922
CH,3355.0,inf,3355.005720638603
CZ,4164.0,inf,4164.002789465742
DE,23093.0,inf,23093.235601338463
ES,7733.2,inf,7733.226847976257
FI,4362.0,inf,4362.00146467797
FR,64682.0,inf,64682.00104908668
GB,19181.0,inf,19181.04231594759
HU,1898.9,inf,1898.901494930439
IT,1472.0,inf,1472.000391209716
LT,2600.0,inf,2600.0042182645343
NL,60.0,inf,60.00115015254286
RO,1300.0,inf,1300.0000549873378
SE,9859.0,inf,9859.02470470553
SI,696.0,inf,696.0012898329101
SK,1940.0,inf,1940.0028669779135
