country,carrier,bus,p_nom,p_nom_min,p_nom_max,p_nom_opt,carrier_adj
AL,offwind-ac,AL0 0,0.0,0.0,6833.496975733095,1.4593758749500543,offwind
AL,offwind-dc,AL0 0,0.0,0.0,5524.018155894235,4673.92743173765,offwind
BA,offwind-ac,BA0 0,0.0,0.0,31.42261124584909,0.20797120699189686,offwind
BE,offwind-ac,BE0 0,2261.8,2261.8,2261.8,2261.8,offwind
BE,offwind-dc,BE0 0,0.0,0.0,871.2278638762812,871.1515711343852,offwind
BG,offwind-ac,BG0 0,0.0,0.0,2233.2511382028197,3.5689395590917306,offwind
BG,offwind-dc,BG0 0,0.0,0.0,24545.10142573915,5.180108859061299,offwind
DE,offwind-ac,DE0 0DE0 1,9661.0,9661.0,10126.161366188338,10126.145792484202,offwindoffwind
DE,offwind-dc,DE0 0DE0 1,0.0,0.0,21813.580632350076,21813.478151285493,offwindoffwind
DK,offwind-ac,DK0 0DK1 0,2652.6,2652.6,25854.01615473704,2652.6138822340417,offwindoffwind
DK,offwind-dc,DK0 0DK1 0,0.0,0.0,39069.70120204798,3.573287359520771,offwindoffwind
EE,offwind-ac,EE0 0,0.0,0.0,18625.940279811864,1.6990356152919883,offwind
EE,offwind-dc,EE0 0,0.0,0.0,6292.296971803143,1.5288742222653013,offwind
ES,offwind-ac,ES0 0ES6 0,20.0,20.0,45628.16570133055,20.78916199523962,offwindoffwind
ES,offwind-dc,ES0 0ES6 0,0.0,0.0,508904.80802513217,7.469202421558458,offwindoffwind
FI,offwind-ac,FI1 0,73.0,73.0,50597.562054951006,73.01189332615378,offwind
FI,offwind-dc,FI1 0,0.0,0.0,44870.29945186006,20388.969982213577,offwind
FR,offwind-ac,FR0 0FR5 0,2528.2,2528.2,54778.855773921474,25684.23947234091,offwindoffwind
FR,offwind-dc,FR0 0FR5 0,0.0,0.0,327410.6860333507,108021.66465305057,offwindoffwind
GB,offwind-ac,GB2 0GB3 0,23288.8,23288.8,117231.4744506798,117230.0325110734,offwindoffwind
GB,offwind-dc,GB2 0GB3 0,0.0,0.0,808732.0409601929,3.299036534918126,offwindoffwind
GR,offwind-ac,GR0 0,0.0,0.0,99531.97456554597,1.0843293410751416,offwind
GR,offwind-dc,GR0 0,0.0,0.0,526298.8282713648,1.7656601523579147,offwind
HR,offwind-ac,HR0 0,0.0,0.0,18324.981312508462,1.173544079348307,offwind
HR,offwind-dc,HR0 0,0.0,0.0,29249.897179530657,1.6279250859354883,offwind
IE,offwind-ac,IE3 0,25.2,25.2,48088.97226020931,11331.478040378692,offwind
IE,offwind-dc,IE3 0,0.0,0.0,343047.79604349,1343.3177493273918,offwind
IT,offwind-ac,IT0 0IT4 0,30.0,30.0,138819.92989544038,31.31532317243552,offwindoffwind
IT,offwind-dc,IT0 0IT4 0,0.0,0.0,510036.65373655735,1498.6581487605972,offwindoffwind
LT,offwind-ac,LT0 0,0.0,0.0,1120.1972256433276,4.672738365617902,offwind
LT,offwind-dc,LT0 0,0.0,0.0,3848.233138484524,1832.2666072424865,offwind
LV,offwind-ac,LV0 0,0.0,0.0,8009.769839507126,3.720692128115213,offwind
LV,offwind-dc,LV0 0,0.0,0.0,15044.10225420627,313.1979399048611,offwind
ME,offwind-ac,ME0 0,0.0,0.0,3039.000481250081,0.9178208133397436,offwind
ME,offwind-dc,ME0 0,0.0,0.0,5522.886661834632,2.8657038487977355,offwind
NL,offwind-ac,NL0 0,5714.0,5714.0,5714.0,5714.0,offwind
NL,offwind-dc,NL0 0,0.0,0.0,51594.833480758694,8.588673873133024,offwind
NO,offwind-ac,NO1 0,138.0,138.0,116993.66612547432,138.0290536672105,offwind
NO,offwind-dc,NO1 0,0.0,0.0,1143232.851177563,3.461196670836574,offwind
PL,offwind-ac,PL0 0,1200.0,1200.0,7012.586021773046,7012.4753617898705,offwind
PL,offwind-dc,PL0 0,0.0,0.0,17317.256576460153,17317.212596883615,offwind
PT,offwind-ac,PT0 0,25.0,25.0,17755.596851051945,25.02644457700545,offwind
PT,offwind-dc,PT0 0,0.0,0.0,251546.3810514731,2.745749499462561,offwind
RO,offwind-ac,RO0 0,0.0,0.0,1671.7083430641933,1671.6771223379405,offwind
RO,offwind-dc,RO0 0,0.0,0.0,22575.018153968493,20240.547027782297,offwind
SE,offwind-ac,SE1 0,203.0,203.0,79866.20810458992,203.07596699545297,offwind
SE,offwind-dc,SE1 0,0.0,0.0,66227.31536050774,8.245533034326819,offwind
SI,offwind-ac,SI0 0,0.0,0.0,207.33758177765128,0.3326560207618541,offwind
