country,p_nom_min,p_nom_max,p_nom_opt
AL,234.0,68889.0161516068,234.0021654194386
AT,3235.0,139683.62521674653,3235.0096019322677
BA,435.0,138456.22754206182,435.00480997059475
BE,2410.9,15235.080726247625,15230.407509444627
BG,702.8,142640.3054957259,702.8045583661926
CH,87.0,76970.00785692023,87.00178603895884
CZ,339.424,103089.68339452133,339.4613921054917
DE,54414.0,487914.81948768336,54414.11425278359
DK,4557.637,80564.81616766364,80564.31796252445
EE,688.0,93754.8435104809,9924.091723985512
ES,30927.87,938540.4247978191,171565.62989398633
FI,9468.4,683020.5055605696,9468.419923619249
FR,23569.7,968580.517645093,23569.71074238923
GB,14699.699999999999,438655.77596283366,269236.3295525391
GR,5025.6,215610.29088230967,17135.0754786046
HR,1140.0,78083.10567552118,1140.005539454422
HU,323.0,136564.2954315924,8234.291889780761
IE,4755.2,142153.52163826948,4755.2007193841255
IT,10870.622,503221.510294401,57029.4794016087
LT,1195.0,128600.669835443,1195.0116523925183
LU,152.744,2252.8789201727045,152.74920068665432
LV,100.0,150062.78586995738,100.12889543913043
ME,118.0,38139.17515184976,118.0009428509148
MK,73.0,66931.11059487553,73.00106267404564
NL,5044.3,46851.74862768655,46851.374129382915
NO,5528.8,790538.3173643998,5528.873416315705
PL,9037.0,418529.162434262,59784.27888752685
PT,5327.6,163131.46195984987,5327.657062459146
RO,5511.0,324062.0554572898,5511.025116932474
RS,772.1,184130.21594516773,772.1059962607333
SE,16587.8,942669.5721826402,16587.86061416834
SI,3.3,28593.136563554348,3.3007192653089565
SK,4.0,52302.641775965196,4.1287546388033025
XK,135.0,26249.218281280126,135.0004611679285
