cost,component,carrier,0
capital,Generator,load,0.0
capital,Generator,nuclear,114610888556.9251
capital,Generator,offwind-ac,1675455000.07148
capital,Generator,offwind-dc,17842169472.87765
capital,Generator,offwind-float,6453745548.94986
capital,Generator,onwind,13505097172.46188
capital,Generator,ror,5077664615.18057
capital,Generator,solar,40535875621.9585
capital,Generator,solar-hsat,0.01383
capital,Link,BEV charger,0.0
capital,Link,H2 Electrolysis,0.00046
capital,Link,battery charger,178980889.93491
capital,Link,battery discharger,0.0
capital,Link,co2 sequestered,0.0
capital,Link,residential rural air heat pump,179757560.7648
capital,Link,residential rural ground heat pump,7391642636.46785
capital,Link,residential urban decentral air heat pump,10188098934.74459
capital,Link,services rural air heat pump,67556809.72055
capital,Link,services rural ground heat pump,2797010958.70213
capital,Link,services urban decentral air heat pump,4020607760.37995
capital,Link,urban central air heat pump,10847685696.07085
capital,Link,urban central aquifer thermal energy storage charger,4189449579.46808
capital,Link,urban central aquifer thermal energy storage discharger,19050345771.19034
capital,StorageUnit,PHS,3493418313.08276
capital,StorageUnit,hydro,3591477981.4725
capital,Store,H2 Store,0.00062
capital,Store,battery,11428080530.24549
capital,Store,co2,0.0
capital,Store,co2 sequestered,0.00023
capital,Store,co2 stored,0.00046
capital,Store,urban central aquifer thermal energy storage,0.0
marginal,Generator,load,0.00082
marginal,Generator,nuclear,3881515485.30703
marginal,Generator,offwind-ac,304700.74743
marginal,Generator,offwind-dc,5963221.53946
marginal,Generator,offwind-float,1767299.17869
marginal,Generator,onwind,5632643.44099
marginal,Generator,ror,609710.44879
marginal,Generator,solar,21861434.20287
marginal,Generator,solar-hsat,1e-05
marginal,Link,BEV charger,4206103.10834
marginal,Link,H2 Electrolysis,0.0
marginal,Link,battery charger,116706.00094
marginal,Link,battery discharger,120945.53735
marginal,Link,co2 sequestered,0.0
marginal,Link,residential rural air heat pump,-7302.5952
marginal,Link,residential rural ground heat pump,-1946838.94198
marginal,Link,residential urban decentral air heat pump,-3435161.73828
marginal,Link,services rural air heat pump,-1357.48909
marginal,Link,services rural ground heat pump,-765697.34819
marginal,Link,services urban decentral air heat pump,-1353635.70139
marginal,Link,urban central air heat pump,-9067376.31492
marginal,Link,urban central aquifer thermal energy storage charger,11124702.93
marginal,Link,urban central aquifer thermal energy storage discharger,1916584.37378
marginal,StorageUnit,PHS,12549.40452
marginal,StorageUnit,hydro,619963.55956
marginal,Store,H2 Store,-0.0
marginal,Store,battery,0.0
marginal,Store,co2,0.0
marginal,Store,co2 sequestered,0.0
marginal,Store,co2 stored,-0.0
marginal,Store,urban central aquifer thermal energy storage,-517964.89608
