cost,component,location,carrier,0
capital,Generator,BE0 0,load,0.0
capital,Generator,BE0 0,nuclear,9034782290.62225
capital,Generator,BE0 0,offwind-ac,154061551.18574
capital,Generator,BE0 0,offwind-dc,177045973.77658
capital,Generator,BE0 0,offwind-float,368522957.9228
capital,Generator,BE0 0,onwind,1434062454.65576
capital,Generator,BE0 0,ror,18186779.19648
capital,Generator,BE0 0,solar,3123927910.96546
capital,Generator,BE0 0,solar-hsat,0.00262
capital,Generator,CH0 0,load,0.0
capital,Generator,CH0 0,nuclear,2528946042.32215
capital,Generator,CH0 0,onwind,0.00041
capital,Generator,CH0 0,ror,1295123214.9052
capital,Generator,CH0 0,solar,1587003756.28923
capital,Generator,CH0 0,solar-hsat,0.0044
capital,Generator,DE0 0,load,0.0
capital,Generator,DE0 0,nuclear,54245662557.20855
capital,Generator,DE0 0,offwind-ac,808349686.87527
capital,Generator,DE0 0,offwind-dc,4792078687.00943
capital,Generator,DE0 0,offwind-float,6085222591.02407
capital,Generator,DE0 0,onwind,2516266507.407
capital,Generator,DE0 0,ror,1613897124.36741
capital,Generator,DE0 0,solar,25586290745.8494
capital,Generator,DE0 0,solar-hsat,0.00246
capital,Generator,EU,load,0.0
capital,Generator,FR0 0,load,0.0
capital,Generator,FR0 0,nuclear,48756270613.85416
capital,Generator,FR0 0,offwind-ac,0.03791
capital,Generator,FR0 0,offwind-dc,9283368834.05852
capital,Generator,FR0 0,offwind-float,0.00177
capital,Generator,FR0 0,onwind,5144661375.42741
capital,Generator,FR0 0,ror,2150457496.71148
capital,Generator,FR0 0,solar,6142751611.36509
capital,Generator,FR0 0,solar-hsat,0.00251
capital,Generator,NL0 0,load,0.0
capital,Generator,NL0 0,nuclear,45227052.918
capital,Generator,NL0 0,offwind-ac,713043761.97255
capital,Generator,NL0 0,offwind-dc,3589675978.03313
capital,Generator,NL0 0,offwind-float,0.00122
capital,Generator,NL0 0,onwind,4410106834.9713
capital,Generator,NL0 0,solar,4095901597.48933
capital,Generator,NL0 0,solar-hsat,0.00184
capital,Link,BE0 0,BEV charger,0.0
capital,Link,BE0 0,H2 Electrolysis,0.00023
capital,Link,BE0 0,battery charger,25104843.66801
capital,Link,BE0 0,battery discharger,0.0
capital,Link,BE0 0,residential rural air heat pump,3214988.28675
capital,Link,BE0 0,residential rural ground heat pump,115843965.29253
capital,Link,BE0 0,residential urban decentral air heat pump,771650742.179
capital,Link,BE0 0,services rural air heat pump,1459644.05925
capital,Link,BE0 0,services rural ground heat pump,51746926.93886
capital,Link,BE0 0,services urban decentral air heat pump,344894562.82903
capital,Link,BE0 0,urban central air heat pump,802206658.25804
capital,Link,BE0 0,urban central aquifer thermal energy storage charger,356646609.80815
capital,Link,BE0 0,urban central aquifer thermal energy storage discharger,1622545762.79832
capital,Link,CH0 0,BEV charger,0.0
capital,Link,CH0 0,H2 Electrolysis,0.00023
capital,Link,CH0 0,battery charger,0.00077
capital,Link,CH0 0,battery discharger,0.0
capital,Link,CH0 0,residential rural air heat pump,42600799.59062
capital,Link,CH0 0,residential rural ground heat pump,254543991.73325
capital,Link,CH0 0,residential urban decentral air heat pump,358976151.76629
capital,Link,CH0 0,services rural air heat pump,17785067.21344
capital,Link,CH0 0,services rural ground heat pump,104832085.97696
