component,carrier,location,bus_carrier,0
Generator,load,BE0 0,AC,0.0
Generator,load,BE0 0,EV battery,-0.0
Generator,load,BE0 0,H2,0.0
Generator,load,BE0 0,battery,0.0
Generator,load,BE0 0,residential rural heat,0.0
Generator,load,BE0 0,residential urban decentral heat,0.0
Generator,load,BE0 0,services rural heat,0.0
Generator,load,BE0 0,services urban decentral heat,0.0
Generator,load,BE0 0,urban central aquifer thermal energy storage,0.0
Generator,load,BE0 0,urban central heat,0.0
Generator,load,CH0 0,AC,0.0
Generator,load,CH0 0,EV battery,-0.0
Generator,load,CH0 0,H2,0.0
Generator,load,CH0 0,battery,0.0
Generator,load,CH0 0,residential rural heat,0.0
Generator,load,CH0 0,residential urban decentral heat,0.0
Generator,load,CH0 0,services rural heat,0.0
Generator,load,CH0 0,services urban decentral heat,0.0
Generator,load,CH0 0,urban central aquifer thermal energy storage,0.0
Generator,load,CH0 0,urban central heat,0.0
Generator,load,DE0 0,AC,0.0
Generator,load,DE0 0,EV battery,0.0
Generator,load,DE0 0,H2,0.0
Generator,load,DE0 0,battery,0.0
Generator,load,DE0 0,residential rural heat,0.0
Generator,load,DE0 0,residential urban decentral heat,0.0
Generator,load,DE0 0,services rural heat,0.0
Generator,load,DE0 0,services urban decentral heat,0.0
Generator,load,DE0 0,urban central aquifer thermal energy storage,0.0
Generator,load,DE0 0,urban central heat,0.0
Generator,load,EU,co2,0.0
Generator,load,EU,co2 sequestered,0.0
Generator,load,EU,co2 stored,0.0
Generator,load,EU,none,0.0
Generator,load,FR0 0,AC,0.0
Generator,load,FR0 0,EV battery,0.0
Generator,load,FR0 0,H2,0.0
Generator,load,FR0 0,battery,0.0
Generator,load,FR0 0,residential rural heat,0.0
Generator,load,FR0 0,residential urban decentral heat,0.0
Generator,load,FR0 0,services rural heat,0.0
Generator,load,FR0 0,services urban decentral heat,0.0
Generator,load,FR0 0,urban central aquifer thermal energy storage,0.0
Generator,load,FR0 0,urban central heat,0.0
Generator,load,NL0 0,AC,0.0
Generator,load,NL0 0,EV battery,-0.0
Generator,load,NL0 0,H2,0.0
Generator,load,NL0 0,battery,0.0
Generator,load,NL0 0,residential rural heat,0.0
Generator,load,NL0 0,residential urban decentral heat,0.0
Generator,load,NL0 0,services rural heat,0.0
Generator,load,NL0 0,services urban decentral heat,0.0
Generator,load,NL0 0,urban central aquifer thermal energy storage,0.0
Generator,load,NL0 0,urban central heat,0.0
Generator,nuclear,BE0 0,AC,21233332.83824
Generator,nuclear,CH0 0,AC,9749041.99673
Generator,nuclear,DE0 0,AC,135862111.72676
