cost,component,carrier,0
capital,Generator,biogas,0.0
capital,Generator,load,0.0
capital,Generator,nuclear,116391934154.5854
capital,Generator,offwind-ac,35024808286.24986
capital,Generator,offwind-dc,55185936898.19347
capital,Generator,onwind,68427405964.9964
capital,Generator,residential rural solar thermal,11980360.8969
capital,Generator,residential urban decentral solar thermal,12464476.49868
capital,Generator,ror,15121742314.61956
capital,Generator,services rural solar thermal,11090037.31333
capital,Generator,services urban decentral solar thermal,11903215.72573
capital,Generator,solar,85827114144.45695
capital,Generator,solar rooftop,8052562470.05992
capital,Generator,solar-hsat,66980468.71697
capital,Generator,solid biomass,0.0
capital,Generator,urban central solar thermal,12395827.06572
capital,Line,AC,8307694412.86228
capital,Link,BEV charger,0.0
capital,Link,CCGT,9074182.00863
capital,Link,DC,21590989009.30388
capital,Link,Fischer-Tropsch,11544565978.16819
capital,Link,H2 Electrolysis,46051276051.26618
capital,Link,H2 pipeline,3178657632.77549
capital,Link,HVC to air,0.0
capital,Link,battery charger,28363127.02221
capital,Link,battery discharger,0.0
capital,Link,co2 sequestered,0.0
capital,Link,coal for industry,0.0
capital,Link,electricity distribution grid,44152138488.49176
capital,Link,gas for industry,0.0
capital,Link,gas for industry CC,227957.44006
capital,Link,home battery charger,27167064.45031
capital,Link,home battery discharger,0.0
capital,Link,industry methanol,0.0
capital,Link,land transport oil,0.0
capital,Link,methanolisation,84729645.88629
capital,Link,naphtha for industry,0.0
capital,Link,process emissions,0.0
capital,Link,process emissions CC,4014831794.30839
capital,Link,residential rural air heat pump,2919680679.25171
capital,Link,residential rural ground heat pump,19435544077.23157
capital,Link,residential urban decentral air heat pump,35725043165.79431
capital,Link,services rural air heat pump,1198879294.21673
capital,Link,services rural ground heat pump,7272274416.69808
capital,Link,services urban decentral air heat pump,14321606849.32316
capital,Link,solid biomass for industry,0.0
capital,Link,solid biomass for industry CC,6083053461.80911
capital,Link,urban central air heat pump,20005454121.05126
capital,Link,waste CHP,36884983497.47551
capital,Link,waste CHP CC,46173511.65836
capital,StorageUnit,PHS,10238012412.75842
capital,StorageUnit,hydro,19440523664.00005
capital,Store,EV battery,0.0
capital,Store,H2 Store,8413233697.31804
capital,Store,battery,147245583.2408
capital,Store,co2,0.0
capital,Store,co2 sequestered,286405.73682
capital,Store,co2 stored,90833252.14612
capital,Store,coal,206815.60235
capital,Store,gas,390519.46343
capital,Store,home battery,45323315.85184
capital,Store,methanol,9116053.32595
capital,Store,non-sequestered HVC,0.0
capital,Store,oil,199775198.92341
marginal,Generator,biogas,0.0
marginal,Generator,load,61701264220702.67
marginal,Generator,nuclear,5988656705.53638
marginal,Generator,offwind-ac,20452796.79796
marginal,Generator,offwind-dc,27519536.63083
marginal,Generator,onwind,44365403.30627
marginal,Generator,residential rural solar thermal,646.3181
marginal,Generator,residential urban decentral solar thermal,748.46921
marginal,Generator,ror,1619992.11394
marginal,Generator,services rural solar thermal,533.94916
marginal,Generator,services urban decentral solar thermal,631.30816
marginal,Generator,solar,69660550.78497
marginal,Generator,solar rooftop,6293387.99274
marginal,Generator,solar-hsat,36939.14004
marginal,Generator,solid biomass,9412731425.89741
marginal,Generator,urban central solar thermal,1036.58564
marginal,Link,BEV charger,7805758.96908
marginal,Link,CCGT,264.65492
marginal,Link,DC,22679889.61047
marginal,Link,Fischer-Tropsch,3260810608.90117
marginal,Link,H2 Electrolysis,28671641.58765
marginal,Link,H2 pipeline,18274310.11829
marginal,Link,HVC to air,47.14637
marginal,Link,battery charger,86379.92578
marginal,Link,battery discharger,84037.26028
marginal,Link,co2 sequestered,55.995
marginal,Link,coal for industry,373408.72889
marginal,Link,electricity distribution grid,52141408.17024
marginal,Link,gas for industry,370720.14215
marginal,Link,gas for industry CC,0.3299
marginal,Link,home battery charger,59247.8398
marginal,Link,home battery discharger,57715.46148
marginal,Link,industry methanol,95154.36082
marginal,Link,land transport oil,9055850.36848
marginal,Link,methanolisation,91937.05746
marginal,Link,naphtha for industry,4718902.78689
marginal,Link,process emissions,401.35951
marginal,Link,process emissions CC,1671670.07571
marginal,Link,residential rural air heat pump,-254777.04676
marginal,Link,residential rural ground heat pump,-5134383.49815
marginal,Link,residential urban decentral air heat pump,-11802406.79995
marginal,Link,services rural air heat pump,-110565.00492
marginal,Link,services rural ground heat pump,-1918307.07254
marginal,Link,services urban decentral air heat pump,-4487162.01152
marginal,Link,solid biomass for industry,654831.58268
marginal,Link,solid biomass for industry CC,6152607.07456
marginal,Link,urban central air heat pump,-9147103.20723
marginal,Link,waste CHP,5959893999.62021
marginal,Link,waste CHP CC,14933109.60773
marginal,StorageUnit,PHS,891439.45266
marginal,StorageUnit,hydro,3402275.9792
marginal,Store,EV battery,-0.10193
marginal,Store,H2 Store,-0.0
marginal,Store,battery,0.00125
marginal,Store,co2,-1075945.9072
marginal,Store,co2 sequestered,525.71511
marginal,Store,co2 stored,-0.0
marginal,Store,coal,-0.00037
marginal,Store,gas,0.0
marginal,Store,home battery,0.00065
marginal,Store,methanol,0.0
marginal,Store,non-sequestered HVC,2048166.02633
marginal,Store,oil,-0.0
