component,carrier,0
Generator,solar,3420880732.74335
Generator,onwind,1767450224.32775
Generator,offwind-dc,1073316837.84519
Generator,offwind-ac,815865116.99311
Generator,solid biomass,689139166.1611
Link,residential urban decentral air heat pump,644276286.21053
Generator,load,617012582.52762
Link,urban central air heat pump,595143160.43873
Generator,nuclear,427400960.95802
Link,residential rural ground heat pump,364814012.59258
StorageUnit,hydro,337350609.97772
Generator,solar rooftop,313133972.3905
Link,services urban decentral air heat pump,252992816.36117
Link,land transport oil,243551837.58191
Store,non-sequestered HVC,221011435.239
Generator,ror,158726836.97639
Load,process emissions,152570000.0
Link,services rural ground heat pump,135303540.40021
Link,waste CHP,52047948.20297
Link,naphtha for industry,16139999.95993
Link,residential rural air heat pump,15727268.86952
Link,coal for industry,12823614.68509
Link,gas for industry,7389249.97021
Link,services rural air heat pump,6806436.89654
Link,industry methanol,2167604.40243
Generator,solar-hsat,1831079.95364
Link,waste CHP CC,128749.12501
Generator,urban central solar thermal,103161.25143
Generator,residential urban decentral solar thermal,75458.65314
Generator,residential rural solar thermal,64796.27604
Generator,services urban decentral solar thermal,63334.73764
Generator,services rural solar thermal,53297.98265
Link,gas for industry CC,3.39293
Store,battery,0.12182
Store,home battery,0.06501
Link,solid biomass for industry,0.0
Store,H2 Store,0.0
Store,methanol,-0.0
Store,gas,0.0
Store,co2 stored,0.0
Generator,biogas,0.0
Link,process emissions CC,0.0
Link,co2 sequestered,0.0
Link,process emissions,0.0
Store,oil,-0.0
Store,coal,-0.03752
Store,EV battery,-10.18865
Link,CCGT,-20.96643
Link,HVC to air,-3240.58999
Store,co2 sequestered,-5788.64926
Link,home battery discharger,-118022.3132
Link,home battery charger,-120455.01638
Link,battery discharger,-170293.06886
Link,battery charger,-173803.61533
Link,methanolisation,-5531443.31384
Load,industry methanol,-8740000.0
Link,H2 pipeline,-16340453.51606
StorageUnit,PHS,-29144575.11872
Link,solid biomass for industry CC,-61759170.51254
Link,BEV charger,-76260435.66691
Link,DC,-77435313.83133
Load,low-temperature heat for industry,-95180000.0
Load,coal for industry,-106061920.0
Store,co2,-115955143.46095
Line,AC,-120937735.68816
Load,H2 for industry,-140180000.0
Link,electricity distribution grid,-152944422.61986
Load,services rural heat,-204568447.88144
Load,services urban decentral heat,-452252347.74388
Load,naphtha for industry,-504800000.0
Load,gas for industry,-510950000.0
Load,residential rural heat,-547909224.68024
Load,solid biomass for industry,-627380000.0
Link,Fischer-Tropsch,-672166054.52322
Load,land transport EV,-686344015.27808
Link,H2 Electrolysis,-752308958.16487
Load,land transport oil,-947303921.78965
Load,urban central heat,-1147326184.40367
Load,residential urban decentral heat,-1152043401.26022
Load,industry electricity,-1557980000.0
Load,electricity,-1574967174.57493
