component,location,carrier,0
Generator,AL0 0,load,inf
Generator,AL0 0,offwind-ac,1747.46216
Generator,AL0 0,offwind-dc,5522.7771
Generator,AL0 0,onwind,234.06747
Generator,AL0 0,residential rural solar thermal,13.64413
Generator,AL0 0,residential urban decentral solar thermal,14.03439
Generator,AL0 0,ror,48.2
Generator,AL0 0,services rural solar thermal,13.06707
Generator,AL0 0,services urban decentral solar thermal,13.80353
Generator,AL0 0,solar,488.57659
Generator,AL0 0,solar rooftop,137.83635
Generator,AL0 0,solar-hsat,44.34448
Generator,AL0 0,urban central solar thermal,20.43352
Generator,AT0 0,load,inf
Generator,AT0 0,onwind,3235.25361
Generator,AT0 0,residential rural solar thermal,12.91786
Generator,AT0 0,residential urban decentral solar thermal,13.32046
Generator,AT0 0,ror,4468.08037
Generator,AT0 0,services rural solar thermal,11.44457
Generator,AT0 0,services urban decentral solar thermal,11.75463
Generator,AT0 0,solar,175930.99671
Generator,AT0 0,solar rooftop,335.93906
Generator,AT0 0,solar-hsat,69.17884
Generator,AT0 0,urban central solar thermal,21.9042
Generator,BA0 0,load,inf
Generator,BA0 0,offwind-ac,1.44966
Generator,BA0 0,onwind,435.13382
Generator,BA0 0,residential rural solar thermal,11.87583
Generator,BA0 0,residential urban decentral solar thermal,11.93929
Generator,BA0 0,services rural solar thermal,10.85583
Generator,BA0 0,services urban decentral solar thermal,11.08026
Generator,BA0 0,solar,271.74078
Generator,BA0 0,solar rooftop,64.73756
Generator,BA0 0,solar-hsat,35.87739
Generator,BA0 0,urban central solar thermal,20.22713
Generator,BE0 0,load,inf
Generator,BE0 0,nuclear,5931.09524
Generator,BE0 0,offwind-ac,2261.8
Generator,BE0 0,offwind-dc,871.18013
Generator,BE0 0,onwind,2414.55277
Generator,BE0 0,residential rural solar thermal,7.71788
Generator,BE0 0,residential urban decentral solar thermal,10.04715
Generator,BE0 0,ror,59.01534
Generator,BE0 0,services rural solar thermal,7.36188
Generator,BE0 0,services urban decentral solar thermal,9.37946
Generator,BE0 0,solar,5576.29416
Generator,BE0 0,solar rooftop,44.77275
Generator,BE0 0,solar-hsat,57.98989
Generator,BE0 0,urban central solar thermal,16.72854
Generator,BG0 0,load,inf
Generator,BG0 0,nuclear,2080.08909
Generator,BG0 0,offwind-ac,15.7265
Generator,BG0 0,offwind-dc,21.63543
Generator,BG0 0,onwind,702.93026
Generator,BG0 0,residential rural solar thermal,11.53973
Generator,BG0 0,residential urban decentral solar thermal,12.64017
Generator,BG0 0,ror,110.4
Generator,BG0 0,services rural solar thermal,10.94699
Generator,BG0 0,services urban decentral solar thermal,11.57502
Generator,BG0 0,solar,31324.74539
Generator,BG0 0,solar rooftop,253.29457
Generator,BG0 0,solar-hsat,65.09466
Generator,BG0 0,urban central solar thermal,20.25314
Generator,CH0 0,load,inf
Generator,CH0 0,nuclear,3355.0869
Generator,CH0 0,onwind,87.05009
Generator,CH0 0,residential rural solar thermal,14.031
Generator,CH0 0,residential urban decentral solar thermal,16.11712
Generator,CH0 0,ror,4202.6208
Generator,CH0 0,services rural solar thermal,12.81748
Generator,CH0 0,services urban decentral solar thermal,15.05045
Generator,CH0 0,solar,125274.11431
Generator,CH0 0,solar rooftop,16185.10467
Generator,CH0 0,solar-hsat,82.19206
Generator,CH0 0,urban central solar thermal,27.53005
Generator,CZ0 0,load,inf
Generator,CZ0 0,nuclear,4164.17265
Generator,CZ0 0,onwind,340.12579
Generator,CZ0 0,residential rural solar thermal,8.27186
Generator,CZ0 0,residential urban decentral solar thermal,9.00032
Generator,CZ0 0,ror,40.22638
Generator,CZ0 0,services rural solar thermal,7.39906
Generator,CZ0 0,services urban decentral solar thermal,7.98763
Generator,CZ0 0,solar,2172.5757
Generator,CZ0 0,solar rooftop,24.83258
Generator,CZ0 0,solar-hsat,38.50967
Generator,CZ0 0,urban central solar thermal,15.83262
Generator,DE0 0,load,inf
Generator,DE0 0,nuclear,15272.53081
Generator,DE0 0,offwind-ac,7858.0
Generator,DE0 0,offwind-dc,13.95472
Generator,DE0 0,onwind,30020.9882
Generator,DE0 0,residential rural solar thermal,10.12381
Generator,DE0 0,residential urban decentral solar thermal,11.5558
