component,location,carrier,0
Load,AL0 0,H2 for industry,
Load,AL0 0,electricity,
Load,AL0 0,industry electricity,
Load,AL0 0,land transport EV,
Load,AL0 0,low-temperature heat for industry,
Load,AL0 0,residential rural heat,
Load,AL0 0,residential urban decentral heat,
Load,AL0 0,services rural heat,
Load,AL0 0,services urban decentral heat,
Load,AL0 0,urban central heat,
Load,AT0 0,H2 for industry,
Load,AT0 0,electricity,
Load,AT0 0,industry electricity,
Load,AT0 0,land transport EV,
Load,AT0 0,low-temperature heat for industry,
Load,AT0 0,residential rural heat,
Load,AT0 0,residential urban decentral heat,
Load,AT0 0,services rural heat,
Load,AT0 0,services urban decentral heat,
Load,AT0 0,urban central heat,
Load,BA0 0,H2 for industry,
Load,BA0 0,electricity,
Load,BA0 0,industry electricity,
Load,BA0 0,land transport EV,
Load,BA0 0,low-temperature heat for industry,
Load,BA0 0,residential rural heat,
Load,BA0 0,residential urban decentral heat,
Load,BA0 0,services rural heat,
Load,BA0 0,services urban decentral heat,
Load,BA0 0,urban central heat,
Load,BE0 0,H2 for industry,
Load,BE0 0,electricity,
Load,BE0 0,industry electricity,
Load,BE0 0,land transport EV,
Load,BE0 0,low-temperature heat for industry,
Load,BE0 0,residential rural heat,
Load,BE0 0,residential urban decentral heat,
Load,BE0 0,services rural heat,
Load,BE0 0,services urban decentral heat,
Load,BE0 0,urban central heat,
Load,BG0 0,H2 for industry,
Load,BG0 0,electricity,
Load,BG0 0,industry electricity,
Load,BG0 0,land transport EV,
Load,BG0 0,low-temperature heat for industry,
Load,BG0 0,residential rural heat,
Load,BG0 0,residential urban decentral heat,
Load,BG0 0,services rural heat,
Load,BG0 0,services urban decentral heat,
Load,BG0 0,urban central heat,
Load,CH0 0,H2 for industry,
Load,CH0 0,electricity,
Load,CH0 0,industry electricity,
Load,CH0 0,land transport EV,
Load,CH0 0,low-temperature heat for industry,
Load,CH0 0,residential rural heat,
Load,CH0 0,residential urban decentral heat,
Load,CH0 0,services rural heat,
