cost,component,location,carrier,0
capital,Generator,AL0 0,load,0.0
capital,Generator,AL0 0,offwind-ac,322572283.19684
capital,Generator,AL0 0,offwind-dc,1130084508.05777
capital,Generator,AL0 0,onwind,22032529.86681
capital,Generator,AL0 0,residential rural solar thermal,371283.28786
capital,Generator,AL0 0,residential urban decentral solar thermal,381902.81829
capital,Generator,AL0 0,ror,14853811.92575
capital,Generator,AL0 0,services rural solar thermal,355580.38156
capital,Generator,AL0 0,services urban decentral solar thermal,375620.73423
capital,Generator,AL0 0,solar,14337669.1735
capital,Generator,AL0 0,solar rooftop,4816876.88643
capital,Generator,AL0 0,solar-hsat,1571642.54246
capital,Generator,AL0 0,urban central solar thermal,328132.23004
capital,Generator,AT0 0,load,0.0
capital,Generator,AT0 0,onwind,304531089.92046
capital,Generator,AT0 0,residential rural solar thermal,351520.07046
capital,Generator,AT0 0,residential urban decentral solar thermal,362475.60395
capital,Generator,AT0 0,ror,1376929988.78063
capital,Generator,AT0 0,services rural solar thermal,311428.95851
capital,Generator,AT0 0,services urban decentral solar thermal,319866.3347
capital,Generator,AT0 0,solar,5162835188.44794
capital,Generator,AT0 0,solar rooftop,11739842.59493
capital,Generator,AT0 0,solar-hsat,2451814.14864
capital,Generator,AT0 0,urban central solar thermal,351749.06941
capital,Generator,BA0 0,load,0.0
capital,Generator,BA0 0,offwind-ac,264256.28774
capital,Generator,BA0 0,onwind,40958698.66031
capital,Generator,BA0 0,residential rural solar thermal,323164.41402
capital,Generator,BA0 0,residential urban decentral solar thermal,324891.27965
capital,Generator,BA0 0,services rural solar thermal,295408.18704
capital,Generator,BA0 0,services urban decentral solar thermal,301515.36148
capital,Generator,BA0 0,solar,7974449.64171
capital,Generator,BA0 0,solar rooftop,2262340.98858
capital,Generator,BA0 0,solar-hsat,1271554.98231
capital,Generator,BA0 0,urban central solar thermal,324817.83552
capital,Generator,BE0 0,load,0.0
capital,Generator,BE0 0,nuclear,4470765968.58453
capital,Generator,BE0 0,offwind-ac,419079145.3416
capital,Generator,BE0 0,offwind-dc,177036273.21469
capital,Generator,BE0 0,onwind,227279364.51221
capital,Generator,BE0 0,residential rural solar thermal,210018.55197
capital,Generator,BE0 0,residential urban decentral solar thermal,273402.36646
capital,Generator,BE0 0,ror,18186779.19648
capital,Generator,BE0 0,services rural solar thermal,200330.99039
capital,Generator,BE0 0,services urban decentral solar thermal,255233.34424
capital,Generator,BE0 0,solar,163640792.50447
capital,Generator,BE0 0,solar rooftop,1564644.10715
capital,Generator,BE0 0,solar-hsat,2055258.8902
capital,Generator,BE0 0,urban central solar thermal,268635.59017
capital,Generator,BG0 0,load,0.0
capital,Generator,BG0 0,nuclear,1567938324.61928
capital,Generator,BG0 0,offwind-ac,2904889.35985
capital,Generator,BG0 0,offwind-dc,4669177.50192
capital,Generator,BG0 0,onwind,66166101.65383
capital,Generator,BG0 0,residential rural solar thermal,314018.3407
capital,Generator,BG0 0,residential urban decentral solar thermal,343963.42169
capital,Generator,BG0 0,ror,34022009.05814
capital,Generator,BG0 0,services rural solar thermal,297888.92676
capital,Generator,BG0 0,services urban decentral solar thermal,314978.72889
capital,Generator,BG0 0,solar,919249596.78002
capital,Generator,BG0 0,solar rooftop,8851719.586
capital,Generator,BG0 0,solar-hsat,2307063.96652
capital,Generator,BG0 0,urban central solar thermal,325235.58047
capital,Generator,CH0 0,load,0.0
capital,Generator,CH0 0,nuclear,2529011545.34492
capital,Generator,CH0 0,onwind,8193935.19959
capital,Generator,CH0 0,residential rural solar thermal,381810.76882
capital,Generator,CH0 0,residential urban decentral solar thermal,438578.08757
capital,Generator,CH0 0,ror,1295123214.9052
capital,Generator,CH0 0,services rural solar thermal,348788.41525
capital,Generator,CH0 0,services urban decentral solar thermal,409551.912
capital,Generator,CH0 0,solar,3676268637.35227
capital,Generator,CH0 0,solar rooftop,565610260.11939
capital,Generator,CH0 0,solar-hsat,2913024.27657
capital,Generator,CH0 0,urban central solar thermal,442091.95327
capital,Generator,CZ0 0,load,0.0
capital,Generator,CZ0 0,nuclear,3138887610.65423
capital,Generator,CZ0 0,onwind,32015689.78249
capital,Generator,CZ0 0,residential rural solar thermal,225093.34528
capital,Generator,CZ0 0,residential urban decentral solar thermal,244916.04054
capital,Generator,CZ0 0,ror,12396579.18494
capital,Generator,CZ0 0,services rural solar thermal,201342.75693
capital,Generator,CZ0 0,services urban decentral solar thermal,217358.96447
capital,Generator,CZ0 0,solar,63755963.97555
capital,Generator,CZ0 0,solar rooftop,867807.97422
capital,Generator,CZ0 0,solar-hsat,1364847.39401
capital,Generator,CZ0 0,urban central solar thermal,254248.48121
capital,Generator,DE0 0,load,0.0
capital,Generator,DE0 0,nuclear,11512192653.48968
capital,Generator,DE0 0,offwind-ac,1460336957.2813
capital,Generator,DE0 0,offwind-dc,3068690.20553
capital,Generator,DE0 0,onwind,2825844693.67818
capital,Generator,DE0 0,residential rural solar thermal,275488.5574
capital,Generator,DE0 0,residential urban decentral solar thermal,314455.62017
capital,Generator,DE0 0,ror,506429478.63486
capital,Generator,DE0 0,services rural solar thermal,248016.12142
capital,Generator,DE0 0,services urban decentral solar thermal,292077.32715
capital,Generator,DE0 0,solar,581807426.50249
capital,Generator,DE0 0,solar rooftop,1791575.92202
capital,Generator,DE0 0,solar-hsat,2156623.48435
capital,Generator,DE0 0,urban central solar thermal,336585.60687
capital,Generator,DE0 1,load,0.0
capital,Generator,DE0 1,nuclear,5895477436.56666
capital,Generator,DE0 1,offwind-ac,419728685.39665
capital,Generator,DE0 1,offwind-dc,55570719.05958
capital,Generator,DE0 1,onwind,2296557503.7752
capital,Generator,DE0 1,residential rural solar thermal,297732.27753
capital,Generator,DE0 1,residential urban decentral solar thermal,305284.60647
capital,Generator,DE0 1,ror,1107467645.73254
capital,Generator,DE0 1,services rural solar thermal,268731.64139
capital,Generator,DE0 1,services urban decentral solar thermal,278843.40693
capital,Generator,DE0 1,solar,5340762624.90624
capital,Generator,DE0 1,solar rooftop,2546610.48525
capital,Generator,DE0 1,solar-hsat,2623768.1599
capital,Generator,DE0 1,urban central solar thermal,323928.13945
capital,Generator,DK0 0,load,0.0
capital,Generator,DK0 0,offwind-ac,299811238.58379
capital,Generator,DK0 0,offwind-dc,2932256.76982
capital,Generator,DK0 0,onwind,4653978416.31779
capital,Generator,DK0 0,residential rural solar thermal,197364.92699
capital,Generator,DK0 0,residential urban decentral solar thermal,236647.37521
capital,Generator,DK0 0,services rural solar thermal,183977.08509
