component,carrier,location,bus_carrier,0
Generator,biogas,EU,biogas,0.0
Generator,load,AL0 0,AC,2.60049
Generator,load,AL0 0,EV battery,2.54543
Generator,load,AL0 0,H2,2.56005
Generator,load,AL0 0,battery,2.61864
Generator,load,AL0 0,home battery,2.62853
Generator,load,AL0 0,low voltage,2.60708
Generator,load,AL0 0,residential rural heat,0.0
Generator,load,AL0 0,residential urban decentral heat,0.0
Generator,load,AL0 0,services rural heat,0.0
Generator,load,AL0 0,services urban decentral heat,0.0
Generator,load,AL0 0,urban central heat,0.0
Generator,load,AT0 0,AC,2.63672
Generator,load,AT0 0,EV battery,2.71262
Generator,load,AT0 0,H2,2.56372
Generator,load,AT0 0,battery,2.63587
Generator,load,AT0 0,home battery,2.67297
Generator,load,AT0 0,low voltage,2.64061
Generator,load,AT0 0,residential rural heat,0.0
Generator,load,AT0 0,residential urban decentral heat,0.0
Generator,load,AT0 0,services rural heat,0.0
Generator,load,AT0 0,services urban decentral heat,0.0
Generator,load,AT0 0,urban central heat,0.0
Generator,load,BA0 0,AC,2.60381
Generator,load,BA0 0,EV battery,2.60032
Generator,load,BA0 0,H2,2.56108
Generator,load,BA0 0,battery,2.60451
Generator,load,BA0 0,home battery,2.62708
Generator,load,BA0 0,low voltage,2.60397
Generator,load,BA0 0,residential rural heat,0.0
Generator,load,BA0 0,residential urban decentral heat,0.0
Generator,load,BA0 0,services rural heat,0.0
Generator,load,BA0 0,services urban decentral heat,0.0
Generator,load,BA0 0,urban central heat,0.0
Generator,load,BE0 0,AC,0.0
Generator,load,BE0 0,EV battery,2.70674
Generator,load,BE0 0,H2,2.56506
Generator,load,BE0 0,battery,0.0
Generator,load,BE0 0,home battery,0.0
Generator,load,BE0 0,low voltage,0.0
Generator,load,BE0 0,residential rural heat,0.0
Generator,load,BE0 0,residential urban decentral heat,0.0
Generator,load,BE0 0,services rural heat,0.0
Generator,load,BE0 0,services urban decentral heat,0.0
Generator,load,BE0 0,urban central heat,0.0
Generator,load,BG0 0,AC,0.0
Generator,load,BG0 0,EV battery,2.64495
Generator,load,BG0 0,H2,2.56308
Generator,load,BG0 0,battery,0.0
Generator,load,BG0 0,home battery,0.0
Generator,load,BG0 0,low voltage,0.0
Generator,load,BG0 0,residential rural heat,0.0
Generator,load,BG0 0,residential urban decentral heat,0.0
Generator,load,BG0 0,services rural heat,0.0
Generator,load,BG0 0,services urban decentral heat,0.0
Generator,load,BG0 0,urban central heat,0.0
Generator,load,CH0 0,AC,0.0
Generator,load,CH0 0,EV battery,2.66547
Generator,load,CH0 0,H2,2.56364
Generator,load,CH0 0,battery,0.0
Generator,load,CH0 0,home battery,0.0
Generator,load,CH0 0,low voltage,0.0
Generator,load,CH0 0,residential rural heat,0.0
Generator,load,CH0 0,residential urban decentral heat,0.0
Generator,load,CH0 0,services rural heat,0.0
Generator,load,CH0 0,services urban decentral heat,0.0
Generator,load,CH0 0,urban central heat,0.0
Generator,load,CZ0 0,AC,0.0
Generator,load,CZ0 0,EV battery,2.69382
Generator,load,CZ0 0,H2,2.56531
Generator,load,CZ0 0,battery,0.0
Generator,load,CZ0 0,home battery,0.0
Generator,load,CZ0 0,low voltage,0.0
Generator,load,CZ0 0,residential rural heat,0.0
Generator,load,CZ0 0,residential urban decentral heat,0.0
Generator,load,CZ0 0,services rural heat,0.0
Generator,load,CZ0 0,services urban decentral heat,0.0
Generator,load,CZ0 0,urban central heat,0.0
Generator,load,DE0 0,AC,0.0
