,0
AC,50.226672524683224
EV battery,69.17955561939469
H2,68.16683326761758
battery,30.063133154934835
co2,0.009327076496816291
co2 sequestered,-4.944119891684055
co2 stored,114.99227311800189
coal,100000.0061756209
coal for industry,100000.01056624998
gas,100000.00718477773
gas for industry,100000.00927813302
home battery,23.606956238740388
industry methanol,107.4865619444887
land transport oil,120.62287898539816
low voltage,77.33581903729922
methanol,107.18757668432688
naphtha for industry,118.10235338021312
non-sequestered HVC,23.855103227238015
oil,120.58033778324436
process emissions,78.51722696574447
residential rural heat,82.94776310791939
residential urban decentral heat,96.66750401176175
services rural heat,82.99745383419709
services urban decentral heat,97.39158111327143
solid biomass,13.65850197051329
solid biomass for industry,-16.804455932107917
urban central heat,60.63494102416707
