cost,component,carrier,0
capital,Generator,biogas,0.0
capital,Generator,coal,0.0
capital,Generator,gas,0.0
capital,Generator,load,0.0
capital,Generator,nuclear,116390275109.25374
capital,Generator,offwind-ac,34773814911.51762
capital,Generator,offwind-dc,51148816194.37296
capital,Generator,oil primary,0.0
capital,Generator,onwind,66279114835.05674
capital,Generator,residential rural solar thermal,6326096.86769
capital,Generator,residential urban decentral solar thermal,6714846.58003
capital,Generator,ror,15121742314.61956
capital,Generator,services rural solar thermal,6059644.27705
capital,Generator,services urban decentral solar thermal,6134441.03645
capital,Generator,solar,78819844447.49707
capital,Generator,solar rooftop,9233392361.08971
capital,Generator,solar-hsat,77242810.17976
capital,Generator,solid biomass,0.0
capital,Generator,urban central solar thermal,7518398.90083
capital,Line,AC,6983872536.8143
capital,Link,BEV charger,0.0
capital,Link,CCGT,16847689937.68232
capital,Link,DC,13364831275.82898
capital,Link,Fischer-Tropsch,9682442528.42342
capital,Link,H2 Electrolysis,47527284571.6398
capital,Link,H2 pipeline,3641745046.51301
capital,Link,HVC to air,0.0
capital,Link,agriculture machinery oil,0.0
capital,Link,battery charger,1936455706.89012
capital,Link,battery discharger,0.0
capital,Link,co2 sequestered,0.0
capital,Link,coal for industry,0.0
capital,Link,electricity distribution grid,47989872105.1493
capital,Link,gas for industry,0.0
capital,Link,gas for industry CC,2674843956.07018
capital,Link,home battery charger,20333180.96043
capital,Link,home battery discharger,0.0
capital,Link,industry methanol,0.0
capital,Link,kerosene for aviation,0.0
capital,Link,land transport oil,0.0
capital,Link,methanolisation,2864858067.58511
capital,Link,naphtha for industry,0.0
capital,Link,oil refining,0.0
capital,Link,process emissions,0.0
capital,Link,process emissions CC,4014820113.34686
capital,Link,residential rural air heat pump,5162393541.19705
capital,Link,residential rural ground heat pump,18773246745.24294
capital,Link,residential urban decentral air heat pump,39417701833.26232
capital,Link,services rural air heat pump,2218207565.11823
capital,Link,services rural ground heat pump,10202109468.22003
capital,Link,services urban decentral air heat pump,16145943895.16702
capital,Link,shipping methanol,0.0
capital,Link,shipping oil,0.0
capital,Link,solid biomass for industry,0.0
