cost,component,location,carrier,0
capital,Generator,AL0 0,load,0.0
capital,Generator,AL0 0,offwind-ac,9931853.47488
capital,Generator,AL0 0,offwind-dc,818233010.50637
capital,Generator,AL0 0,onwind,22037583.53606
capital,Generator,AL0 0,residential rural solar thermal,611578.82832
capital,Generator,AL0 0,residential urban decentral solar thermal,623616.63878
capital,Generator,AL0 0,ror,14853811.92575
capital,Generator,AL0 0,services rural solar thermal,587532.00712
capital,Generator,AL0 0,services urban decentral solar thermal,576164.4488
capital,Generator,AL0 0,solar,451073213.77437
capital,Generator,AL0 0,solar rooftop,89855614.43427
capital,Generator,AL0 0,solar-hsat,30605102.13042
capital,Generator,AL0 0,urban central solar thermal,609480.68479
capital,Generator,AT0 0,load,0.0
capital,Generator,AT0 0,onwind,304646117.48068
capital,Generator,AT0 0,residential rural solar thermal,864266.2373
capital,Generator,AT0 0,residential urban decentral solar thermal,868603.68001
capital,Generator,AT0 0,ror,1376929988.78063
capital,Generator,AT0 0,services rural solar thermal,774355.71733
capital,Generator,AT0 0,services urban decentral solar thermal,711185.4237
capital,Generator,AT0 0,solar,3642686579.37809
capital,Generator,AT0 0,solar rooftop,413292072.70795
capital,Generator,AT0 0,solar-hsat,39570383.51063
capital,Generator,AT0 0,urban central solar thermal,944395.07447
capital,Generator,BA0 0,load,0.0
capital,Generator,BA0 0,offwind-ac,1148809.63128
capital,Generator,BA0 0,onwind,40962591.32841
capital,Generator,BA0 0,residential rural solar thermal,634075.91985
capital,Generator,BA0 0,residential urban decentral solar thermal,624741.23498
capital,Generator,BA0 0,services rural solar thermal,570723.977
capital,Generator,BA0 0,services urban decentral solar thermal,561780.98027
capital,Generator,BA0 0,solar,99663399.17687
capital,Generator,BA0 0,solar rooftop,79789277.65755
capital,Generator,BA0 0,solar-hsat,16057836.19284
capital,Generator,BA0 0,urban central solar thermal,658504.76887
capital,Generator,BE0 0,load,0.0
capital,Generator,BE0 0,nuclear,4470991760.84543
capital,Generator,BE0 0,offwind-ac,419079145.3416
capital,Generator,BE0 0,offwind-dc,176424094.73922
capital,Generator,BE0 0,onwind,1430693013.21896
capital,Generator,BE0 0,residential rural solar thermal,502440.14907
capital,Generator,BE0 0,residential urban decentral solar thermal,717803.52603
capital,Generator,BE0 0,ror,18186779.19648
capital,Generator,BE0 0,services rural solar thermal,614114.90767
capital,Generator,BE0 0,services urban decentral solar thermal,651691.4662
capital,Generator,BE0 0,solar,1615461827.36995
capital,Generator,BE0 0,solar rooftop,16015184.36581
capital,Generator,BE0 0,solar-hsat,29914110.56029
capital,Generator,BE0 0,urban central solar thermal,773326.16088
capital,Generator,BG0 0,load,0.0
capital,Generator,BG0 0,nuclear,1567872148.11865
capital,Generator,BG0 0,offwind-ac,22969936.30234
capital,Generator,BG0 0,offwind-dc,57147425.43192
capital,Generator,BG0 0,onwind,66175600.7695
capital,Generator,BG0 0,residential rural solar thermal,654248.56978
capital,Generator,BG0 0,residential urban decentral solar thermal,736177.39073
capital,Generator,BG0 0,ror,34022009.05814
capital,Generator,BG0 0,services rural solar thermal,654660.55618
capital,Generator,BG0 0,services urban decentral solar thermal,655139.67407
capital,Generator,BG0 0,solar,326423323.29553
capital,Generator,BG0 0,solar rooftop,214147935.67002
capital,Generator,BG0 0,solar-hsat,28080181.02465
capital,Generator,BG0 0,urban central solar thermal,811109.77827
capital,Generator,CH0 0,load,0.0
capital,Generator,CH0 0,nuclear,2529006264.22093
capital,Generator,CH0 0,onwind,8206362.76439
capital,Generator,CH0 0,residential rural solar thermal,770613.70807
capital,Generator,CH0 0,residential urban decentral solar thermal,952364.62629
capital,Generator,CH0 0,ror,1295123214.9052
capital,Generator,CH0 0,services rural solar thermal,677953.47696
capital,Generator,CH0 0,services urban decentral solar thermal,817559.16394
capital,Generator,CH0 0,solar,1992063455.80019
capital,Generator,CH0 0,solar rooftop,563299581.50925
capital,Generator,CH0 0,solar-hsat,1767067112.12666
capital,Generator,CH0 0,urban central solar thermal,1038067.21362
capital,Generator,CZ0 0,load,0.0
capital,Generator,CZ0 0,nuclear,3138890185.72079
capital,Generator,CZ0 0,onwind,45140826.00682
capital,Generator,CZ0 0,residential rural solar thermal,610699.11142
capital,Generator,CZ0 0,residential urban decentral solar thermal,680219.70779
capital,Generator,CZ0 0,ror,12396579.18494
capital,Generator,CZ0 0,services rural solar thermal,585489.06934
capital,Generator,CZ0 0,services urban decentral solar thermal,576637.93516
capital,Generator,CZ0 0,solar,390080091.66899
capital,Generator,CZ0 0,solar rooftop,15786230.69633
capital,Generator,CZ0 0,solar-hsat,19677774.43234
capital,Generator,CZ0 0,urban central solar thermal,745528.55648
capital,Generator,DE0 0,load,0.0
capital,Generator,DE0 0,nuclear,11512964791.73812
capital,Generator,DE0 0,offwind-ac,1460336957.2813
capital,Generator,DE0 0,offwind-dc,4736566819.21572
capital,Generator,DE0 0,onwind,2825989043.45397
capital,Generator,DE0 0,residential rural solar thermal,786439.7943
capital,Generator,DE0 0,residential urban decentral solar thermal,918349.16185
capital,Generator,DE0 0,ror,506429478.63486
capital,Generator,DE0 0,services rural solar thermal,830432.05254
capital,Generator,DE0 0,services urban decentral solar thermal,834495.47123
capital,Generator,DE0 0,solar,2849544183.86776
capital,Generator,DE0 0,solar rooftop,19691013.28418
capital,Generator,DE0 0,solar-hsat,38707952.25402
capital,Generator,DE0 0,urban central solar thermal,989696.03321
capital,Generator,DE0 1,load,0.0
capital,Generator,DE0 1,nuclear,5895671503.25424
capital,Generator,DE0 1,offwind-ac,419637549.75187
capital,Generator,DE0 1,offwind-dc,55565895.65115
capital,Generator,DE0 1,onwind,2296176903.6467
capital,Generator,DE0 1,residential rural solar thermal,861716.57766
capital,Generator,DE0 1,residential urban decentral solar thermal,881755.44631
capital,Generator,DE0 1,ror,1107467645.73254
capital,Generator,DE0 1,services rural solar thermal,841307.98054
capital,Generator,DE0 1,services urban decentral solar thermal,789537.77507
capital,Generator,DE0 1,solar,4021620844.75931
capital,Generator,DE0 1,solar rooftop,45159485.31662
capital,Generator,DE0 1,solar-hsat,26641997.00186
capital,Generator,DE0 1,urban central solar thermal,967573.74445
capital,Generator,DK0 0,load,0.0
capital,Generator,DK0 0,offwind-ac,299878525.21371
capital,Generator,DK0 0,offwind-dc,22422924.24481
capital,Generator,DK0 0,onwind,6072749384.38194
capital,Generator,DK0 0,residential rural solar thermal,500886.4184
capital,Generator,DK0 0,residential urban decentral solar thermal,674775.48856
capital,Generator,DK0 0,services rural solar thermal,544769.68858
capital,Generator,DK0 0,services urban decentral solar thermal,540971.67604
capital,Generator,DK0 0,solar,48123906.73062
capital,Generator,DK0 0,solar rooftop,3525416.00356
capital,Generator,DK0 0,solar-hsat,13426435.89542
capital,Generator,DK0 0,urban central solar thermal,667249.57366
capital,Generator,DK1 0,load,0.0
capital,Generator,DK1 0,offwind-ac,204920017.53459
capital,Generator,DK1 0,offwind-dc,13545355.5305
capital,Generator,DK1 0,onwind,1509279629.5923
capital,Generator,DK1 0,residential rural solar thermal,456462.23494
capital,Generator,DK1 0,residential urban decentral solar thermal,593004.20014
capital,Generator,DK1 0,services rural solar thermal,499158.35769
capital,Generator,DK1 0,services urban decentral solar thermal,491119.26743
capital,Generator,DK1 0,solar,363131123.95816
capital,Generator,DK1 0,solar rooftop,11411964.63277
capital,Generator,DK1 0,solar-hsat,71829375.39844
capital,Generator,DK1 0,urban central solar thermal,603201.89902
capital,Generator,EE0 0,load,0.0
capital,Generator,EE0 0,offwind-ac,12876125.97977
capital,Generator,EE0 0,offwind-dc,9340216.38771
capital,Generator,EE0 0,onwind,976261162.20705
capital,Generator,EE0 0,residential rural solar thermal,471798.6398
capital,Generator,EE0 0,residential urban decentral solar thermal,507837.69596
capital,Generator,EE0 0,services rural solar thermal,473247.12141
capital,Generator,EE0 0,services urban decentral solar thermal,462047.14887
capital,Generator,EE0 0,solar,134176493.53376
capital,Generator,EE0 0,solar rooftop,35458151.67213
capital,Generator,EE0 0,solar-hsat,59367207.59689
capital,Generator,EE0 0,urban central solar thermal,511829.47563
capital,Generator,ES0 0,load,0.0
capital,Generator,ES0 0,nuclear,3543184422.56374
capital,Generator,ES0 0,offwind-ac,12769537.01377
capital,Generator,ES0 0,offwind-dc,48168552.37751
capital,Generator,ES0 0,onwind,6313464333.30084
capital,Generator,ES0 0,residential rural solar thermal,944149.93795
capital,Generator,ES0 0,residential urban decentral solar thermal,1121367.47739
capital,Generator,ES0 0,ror,40062148.34745
capital,Generator,ES0 0,services rural solar thermal,1080284.29967
capital,Generator,ES0 0,services urban decentral solar thermal,993667.7412
capital,Generator,ES0 0,solar,7986002666.24081
capital,Generator,ES0 0,solar rooftop,2798496504.51848
capital,Generator,ES0 0,solar-hsat,6146082249.88516
capital,Generator,ES0 0,urban central solar thermal,1188780.63453
capital,Generator,ES6 0,load,0.0
capital,Generator,ES6 0,nuclear,2286143933.54747
capital,Generator,ES6 0,offwind-ac,4652539.33593
capital,Generator,ES6 0,offwind-dc,7433706.25652
capital,Generator,ES6 0,onwind,190578492.73892
capital,Generator,ES6 0,residential rural solar thermal,601905.93409
capital,Generator,ES6 0,residential urban decentral solar thermal,691617.19558
capital,Generator,ES6 0,ror,45303586.30495
capital,Generator,ES6 0,services rural solar thermal,714776.37004
capital,Generator,ES6 0,services urban decentral solar thermal,650027.10821
capital,Generator,ES6 0,solar,21122664.50999
capital,Generator,ES6 0,solar rooftop,48243348.43977
capital,Generator,ES6 0,solar-hsat,24463077.77796
capital,Generator,ES6 0,urban central solar thermal,604949.72701
capital,Generator,EU,biogas,0.0
capital,Generator,EU,gas,0.0
capital,Generator,EU,load,0.0
capital,Generator,EU,oil primary,0.0
capital,Generator,EU,solid biomass,0.0
capital,Generator,FI1 0,load,0.0
capital,Generator,FI1 0,nuclear,3288059550.92368
capital,Generator,FI1 0,offwind-ac,36008500.20141
capital,Generator,FI1 0,offwind-dc,5728666390.10622
capital,Generator,FI1 0,onwind,891401060.29273
capital,Generator,FI1 0,residential rural solar thermal,427109.79945
capital,Generator,FI1 0,residential urban decentral solar thermal,543639.45999
capital,Generator,FI1 0,ror,453195348.92122
capital,Generator,FI1 0,services rural solar thermal,469298.80997
capital,Generator,FI1 0,services urban decentral solar thermal,456491.34596
capital,Generator,FI1 0,solar,41366698.51928
capital,Generator,FI1 0,solar rooftop,6490875.19953
capital,Generator,FI1 0,solar-hsat,34681230.95728
capital,Generator,FI1 0,urban central solar thermal,580094.35472
capital,Generator,FR0 0,load,0.0
capital,Generator,FR0 0,nuclear,48763724505.50388
capital,Generator,FR0 0,offwind-ac,7820017509.22764
capital,Generator,FR0 0,offwind-dc,23093067282.03644
capital,Generator,FR0 0,onwind,2217695572.43584
capital,Generator,FR0 0,residential rural solar thermal,1089146.5021
capital,Generator,FR0 0,residential urban decentral solar thermal,1192494.80817
capital,Generator,FR0 0,ror,2104829751.47617
capital,Generator,FR0 0,services rural solar thermal,1196028.68004
capital,Generator,FR0 0,services urban decentral solar thermal,1119720.07843
capital,Generator,FR0 0,solar,5074193188.62487
capital,Generator,FR0 0,solar rooftop,126175631.17194
capital,Generator,FR0 0,solar-hsat,35877963.52801
capital,Generator,FR0 0,urban central solar thermal,1323331.26006
capital,Generator,FR5 0,load,0.0
capital,Generator,FR5 0,offwind-ac,7134076.28762
capital,Generator,FR5 0,offwind-dc,12546751.11106
capital,Generator,FR5 0,onwind,12343216.6558
capital,Generator,FR5 0,residential rural solar thermal,631905.52408
capital,Generator,FR5 0,residential urban decentral solar thermal,0.0
capital,Generator,FR5 0,ror,45627745.23532
capital,Generator,FR5 0,services rural solar thermal,619734.72241
capital,Generator,FR5 0,services urban decentral solar thermal,503960.64922
capital,Generator,FR5 0,solar,303336682.72867
capital,Generator,FR5 0,solar rooftop,18435161.27188
capital,Generator,FR5 0,solar-hsat,14542848.94974
capital,Generator,GB2 0,load,0.0
capital,Generator,GB2 0,nuclear,12016828709.79965
capital,Generator,GB2 0,offwind-ac,21542278667.65713
capital,Generator,GB2 0,offwind-dc,25452558.83022
capital,Generator,GB2 0,onwind,27848437537.63712
capital,Generator,GB2 0,residential rural solar thermal,848696.46574
capital,Generator,GB2 0,residential urban decentral solar thermal,933640.32947
capital,Generator,GB2 0,ror,678984076.15559
capital,Generator,GB2 0,services rural solar thermal,737070.70563
capital,Generator,GB2 0,services urban decentral solar thermal,868227.91826
capital,Generator,GB2 0,solar,2340103927.46292
capital,Generator,GB2 0,solar rooftop,15700741.20164
capital,Generator,GB2 0,solar-hsat,33867194.5049
capital,Generator,GB2 0,urban central solar thermal,956447.75055
capital,Generator,GB3 0,load,0.0
capital,Generator,GB3 0,nuclear,2441594103.40771
capital,Generator,GB3 0,offwind-ac,1093704145.02564
capital,Generator,GB3 0,offwind-dc,22339419.4266
capital,Generator,GB3 0,onwind,469416575.26248
capital,Generator,GB3 0,residential rural solar thermal,462663.02435
capital,Generator,GB3 0,residential urban decentral solar thermal,415940.29457
capital,Generator,GB3 0,ror,441577325.90046
capital,Generator,GB3 0,services rural solar thermal,409585.32141
capital,Generator,GB3 0,services urban decentral solar thermal,384646.29633
capital,Generator,GB3 0,solar,10590447.1083
capital,Generator,GB3 0,solar rooftop,3450440.36197
capital,Generator,GB3 0,solar-hsat,6919388.29026
capital,Generator,GB3 0,urban central solar thermal,412411.30833
capital,Generator,GR0 0,load,0.0
capital,Generator,GR0 0,offwind-ac,14377400.8764
capital,Generator,GR0 0,offwind-dc,28819739.96917
capital,Generator,GR0 0,onwind,1271120703.61483
capital,Generator,GR0 0,residential rural solar thermal,758977.2445
capital,Generator,GR0 0,residential urban decentral solar thermal,898444.17657
capital,Generator,GR0 0,ror,31772365.34325
capital,Generator,GR0 0,services rural solar thermal,804057.69398
capital,Generator,GR0 0,services urban decentral solar thermal,809278.95495
capital,Generator,GR0 0,solar,4042314750.68864
capital,Generator,GR0 0,solar rooftop,565201233.1022
capital,Generator,GR0 0,solar-hsat,157568231.16317
capital,Generator,GR0 0,urban central solar thermal,904795.69405
capital,Generator,HR0 0,load,0.0
capital,Generator,HR0 0,offwind-ac,9343871.6824
capital,Generator,HR0 0,offwind-dc,16428611.36541
capital,Generator,HR0 0,onwind,107343839.74092
capital,Generator,HR0 0,residential rural solar thermal,698426.55284
capital,Generator,HR0 0,residential urban decentral solar thermal,707967.9747
capital,Generator,HR0 0,ror,85877138.08148
capital,Generator,HR0 0,services rural solar thermal,665342.22156
capital,Generator,HR0 0,services urban decentral solar thermal,609282.08399
capital,Generator,HR0 0,solar,212495766.88533
capital,Generator,HR0 0,solar rooftop,66013871.90338
