component,carrier,bus_carrier,0
Link,electricity distribution grid,low voltage,5344560006.64615
Generator,solar,AC,3120669878.16904
Generator,onwind,AC,1865430785.46118
Link,urban central air heat pump,urban central heat,1650941756.59679
Link,H2 Electrolysis,H2,1552439480.17432
Generator,solid biomass,solid biomass,1049092778.32537
Link,BEV charger,EV battery,980490894.82138
Link,battery charger,battery,951433735.41608
Link,battery discharger,AC,932211416.37427
Generator,offwind-ac,AC,895283312.27672
Generator,offwind-dc,AC,842272813.60085
Link,residential urban decentral air heat pump,residential urban decentral heat,749653487.43868
Generator,nuclear,AC,748630387.56161
Link,solid biomass for industry CC,solid biomass for industry,748201073.62222
Link,kerosene for aviation,kerosene for aviation,743906974.65427
Link,methanolisation,methanol,511709540.18122
Link,Fischer-Tropsch,oil,508679661.02598
Link,residential rural ground heat pump,residential rural heat,507036553.66646
Link,shipping methanol,shipping methanol,502969701.99818
Generator,solar rooftop,low voltage,446728539.3047
Generator,gas,gas,418275277.66152
Link,services rural ground heat pump,services rural heat,389903307.04018
StorageUnit,hydro,AC,340449610.39765
Link,services urban decentral air heat pump,services urban decentral heat,290522662.85095
Link,solid biomass for industry CC,co2 stored,289607852.236
Link,electrobiofuels,oil,289207766.79507
Generator,oil primary,oil primary,288905881.1424
Link,naphtha for industry,naphtha for industry,276859994.74228
Link,oil refining,oil,274297649.11264
Link,co2 sequestered,co2 sequestered,249995448.82883
Link,gas for industry CC,gas for industry,231320113.19961
Link,kerosene for aviation,co2,191258483.18361
Generator,ror,AC,159946712.58397
Link,process emissions CC,co2 stored,127191207.94681
Link,shipping methanol,co2,124741375.95749
Load,process emissions,process emissions,123130000.0
Store,non-sequestered HVC,non-sequestered HVC,117504290.159
Link,waste CHP CC,urban central heat,87766520.02382
Link,CCGT,AC,79925603.96221
Link,H2 Electrolysis,urban central heat,77249220.37197
Link,biogas to gas,gas,72965849.95716
Generator,biogas,biogas,72965534.71809
Link,SMR CC,H2,63322714.89836
Link,agriculture machinery oil,agriculture machinery oil,51423809.56017
Link,gas for industry CC,co2 stored,48345903.65872
Link,residential rural air heat pump,residential rural heat,40502998.60471
Link,services rural air heat pump,services rural heat,29174432.91634
Link,waste CHP CC,co2 stored,26642231.58819
Link,CCGT,co2,26375449.30753
Link,waste CHP CC,AC,24927797.82551
Link,Fischer-Tropsch,urban central heat,23969180.2611
Link,home battery charger,home battery,21020721.25446
Generator,solar-hsat,AC,20644293.62372
Link,home battery discharger,low voltage,20596548.21342
Link,SMR CC,co2 stored,16353779.41288
Link,agriculture machinery oil,co2,13221061.43792
Link,methanolisation,urban central heat,12260517.24169
Link,naphtha for industry,process emissions,10759999.79566
Link,industry methanol,industry methanol,8739985.62403
Link,SMR,H2,8728961.33902
Link,process emissions CC,co2,6694274.10246
Link,oil refining,co2,3755776.45485
Link,waste CHP CC,co2,2960247.95424
Link,gas for industry CC,co2,2544521.2452
Link,Sabatier,gas,2297385.90416
Link,SMR,co2,2274124.13832
Link,industry methanol,co2,2167601.40474
Link,SMR CC,co2,1817086.60143
Link,waste CHP,urban central heat,1769631.17665
