component,location,carrier,0
Generator,AL0 0,load,inf
Generator,AL0 0,offwind-ac,46.57916
Generator,AL0 0,offwind-dc,2162.07093
Generator,AL0 0,onwind,234.50987
Generator,AL0 0,residential rural solar thermal,90.35564
Generator,AL0 0,residential urban decentral solar thermal,59.92282
Generator,AL0 0,ror,48.2
Generator,AL0 0,services rural solar thermal,57.03209
Generator,AL0 0,services urban decentral solar thermal,37.95717
Generator,AL0 0,solar,22978.59434
Generator,AL0 0,solar rooftop,2470.33904
Generator,AL0 0,solar-hsat,369.25375
Generator,AL0 0,urban central solar thermal,209.22061
Generator,AT0 0,load,inf
Generator,AT0 0,onwind,3235.43887
Generator,AT0 0,residential rural solar thermal,44.83636
Generator,AT0 0,residential urban decentral solar thermal,47.82566
Generator,AT0 0,ror,4468.08037
Generator,AT0 0,services rural solar thermal,32.34212
Generator,AT0 0,services urban decentral solar thermal,31.96197
Generator,AT0 0,solar,153368.81183
Generator,AT0 0,solar rooftop,18057.99625
Generator,AT0 0,solar-hsat,382.29926
Generator,AT0 0,urban central solar thermal,88.31387
Generator,BA0 0,load,inf
Generator,BA0 0,offwind-ac,12.10871
Generator,BA0 0,onwind,435.10505
Generator,BA0 0,residential rural solar thermal,46.64047
Generator,BA0 0,residential urban decentral solar thermal,44.60852
Generator,BA0 0,services rural solar thermal,32.56776
Generator,BA0 0,services urban decentral solar thermal,31.22849
Generator,BA0 0,solar,4089.13053
Generator,BA0 0,solar rooftop,2202.2015
Generator,BA0 0,solar-hsat,296.91818
Generator,BA0 0,urban central solar thermal,98.70074
Generator,BE0 0,load,inf
Generator,BE0 0,nuclear,5931.52401
Generator,BE0 0,offwind-ac,2261.8
Generator,BE0 0,offwind-dc,867.50983
Generator,BE0 0,onwind,15113.41497
Generator,BE0 0,residential rural solar thermal,25.01924
Generator,BE0 0,residential urban decentral solar thermal,29.392
Generator,BE0 0,ror,59.01534
Generator,BE0 0,services rural solar thermal,25.65548
Generator,BE0 0,services urban decentral solar thermal,27.45773
Generator,BE0 0,solar,69748.6318
Generator,BE0 0,solar rooftop,490.0819
Generator,BE0 0,solar-hsat,437.30225
Generator,BE0 0,urban central solar thermal,48.64127
Generator,BG0 0,load,inf
Generator,BG0 0,nuclear,2080.82074
Generator,BG0 0,offwind-ac,123.69841
Generator,BG0 0,offwind-dc,167.87322
Generator,BG0 0,onwind,704.56318
Generator,BG0 0,residential rural solar thermal,32.89209
Generator,BG0 0,residential urban decentral solar thermal,34.17378
Generator,BG0 0,ror,110.4
Generator,BG0 0,services rural solar thermal,31.67122
Generator,BG0 0,services urban decentral solar thermal,31.63118
Generator,BG0 0,solar,13473.01425
Generator,BG0 0,solar rooftop,4239.33119
Generator,BG0 0,solar-hsat,530.26265
Generator,BG0 0,urban central solar thermal,85.25348
Generator,CH0 0,load,inf
Generator,CH0 0,nuclear,3355.07695
Generator,CH0 0,onwind,87.22549
Generator,CH0 0,residential rural solar thermal,52.05254
Generator,CH0 0,residential urban decentral solar thermal,60.01172
Generator,CH0 0,ror,4202.6208
Generator,CH0 0,services rural solar thermal,38.34304
Generator,CH0 0,services urban decentral solar thermal,43.14996
Generator,CH0 0,solar,124603.50794
Generator,CH0 0,solar rooftop,16182.47133
Generator,CH0 0,solar-hsat,636.35181
Generator,CH0 0,urban central solar thermal,135.60471
Generator,CZ0 0,load,inf
Generator,CZ0 0,nuclear,4164.6302
Generator,CZ0 0,onwind,340.48598
Generator,CZ0 0,residential rural solar thermal,24.89969
Generator,CZ0 0,residential urban decentral solar thermal,26.64051
Generator,CZ0 0,ror,40.22638
Generator,CZ0 0,services rural solar thermal,23.99112
Generator,CZ0 0,services urban decentral solar thermal,24.62199
Generator,CZ0 0,solar,4490.18808
Generator,CZ0 0,solar rooftop,333.84509
Generator,CZ0 0,solar-hsat,340.02062
Generator,CZ0 0,urban central solar thermal,43.42744
Generator,DE0 0,load,inf
Generator,DE0 0,nuclear,15273.26996
Generator,DE0 0,offwind-ac,7858.0
Generator,DE0 0,offwind-dc,21541.03639
Generator,DE0 0,onwind,30021.10094
Generator,DE0 0,residential rural solar thermal,30.57587
Generator,DE0 0,residential urban decentral solar thermal,35.28037
Generator,DE0 0,ror,1643.34253
Generator,DE0 0,services rural solar thermal,30.04709
Generator,DE0 0,services urban decentral solar thermal,32.29914
Generator,DE0 0,solar,75551.74953
Generator,DE0 0,solar rooftop,663.26445
Generator,DE0 0,solar-hsat,556.1596
Generator,DE0 0,urban central solar thermal,60.35844
Generator,DE0 1,load,inf
Generator,DE0 1,nuclear,7821.6085
Generator,DE0 1,offwind-ac,2267.38641
Generator,DE0 1,offwind-dc,268.12065
Generator,DE0 1,onwind,24409.26077
Generator,DE0 1,residential rural solar thermal,34.54065
Generator,DE0 1,residential urban decentral solar thermal,35.39467
Generator,DE0 1,ror,3593.68631
Generator,DE0 1,services rural solar thermal,30.48732
Generator,DE0 1,services urban decentral solar thermal,30.42722
Generator,DE0 1,solar,157273.28507
Generator,DE0 1,solar rooftop,2874.99514
Generator,DE0 1,solar-hsat,477.37618
Generator,DE0 1,urban central solar thermal,60.47936
Generator,DK0 0,load,inf
Generator,DK0 0,offwind-ac,1602.65714
Generator,DK0 0,offwind-dc,57.60907
Generator,DK0 0,onwind,64522.86992
Generator,DK0 0,residential rural solar thermal,24.03923
Generator,DK0 0,residential urban decentral solar thermal,26.17017
Generator,DK0 0,services rural solar thermal,24.33508
Generator,DK0 0,services urban decentral solar thermal,24.09022
Generator,DK0 0,solar,1641.73384
Generator,DK0 0,solar rooftop,116.58029
Generator,DK0 0,solar-hsat,307.18054
