,0
AC,46.462068316508095
EV battery,61.06377720579374
H2,72.15522335452245
agriculture machinery oil,139.71503233887998
battery,35.74058893551705
biogas,62.42532266676612
co2,-310.0714167830868
co2 sequestered,-153.51222426660908
co2 stored,-153.5142401105432
gas,24.573484779573626
gas for industry,68.03386428596748
home battery,36.6258930956224
industry methanol,133.77017988636297
kerosene for aviation,139.7148311688586
low voltage,69.31709706903162
methanol,56.550282640192265
naphtha for industry,67.19138232068381
non-sequestered HVC,-53.229273657252804
oil,59.98597836458468
oil primary,52.920134209000004
process emissions,-185.13657484234645
residential rural heat,78.65739091102157
residential urban decentral heat,86.71613649593846
services rural heat,55.52791668965996
services urban decentral heat,88.2061107193568
shipping methanol,133.770415194422
solid biomass,99.81481302186769
solid biomass for industry,60.01148528499962
urban central heat,64.16637807996601
