component,carrier,location,bus_carrier,0
Generator,biogas,EU,biogas,74616591.10608
Generator,gas,EU,gas,441588177.71496
Generator,load,AL0 0,AC,1.22013
Generator,load,AL0 0,EV battery,1.29246
Generator,load,AL0 0,H2,1.14235
Generator,load,AL0 0,battery,1.2943
Generator,load,AL0 0,home battery,1.32206
Generator,load,AL0 0,low voltage,1.24378
Generator,load,AL0 0,residential rural heat,0.0
Generator,load,AL0 0,residential urban decentral heat,0.0
Generator,load,AL0 0,services rural heat,0.0
Generator,load,AL0 0,services urban decentral heat,0.0
Generator,load,AL0 0,urban central heat,0.0
Generator,load,AT0 0,AC,1.0432
Generator,load,AT0 0,EV battery,1.40199
Generator,load,AT0 0,H2,1.18383
Generator,load,AT0 0,battery,1.10308
Generator,load,AT0 0,home battery,1.19483
Generator,load,AT0 0,low voltage,1.08683
Generator,load,AT0 0,residential rural heat,0.0
Generator,load,AT0 0,residential urban decentral heat,0.0
Generator,load,AT0 0,services rural heat,0.0
Generator,load,AT0 0,services urban decentral heat,0.0
Generator,load,AT0 0,urban central heat,0.0
Generator,load,BA0 0,AC,1.096
Generator,load,BA0 0,EV battery,1.34224
Generator,load,BA0 0,H2,1.14242
Generator,load,BA0 0,battery,1.19596
Generator,load,BA0 0,home battery,1.26783
Generator,load,BA0 0,low voltage,1.14809
Generator,load,BA0 0,residential rural heat,0.0
Generator,load,BA0 0,residential urban decentral heat,0.0
Generator,load,BA0 0,services rural heat,0.0
Generator,load,BA0 0,services urban decentral heat,0.0
Generator,load,BA0 0,urban central heat,0.0
Generator,load,BE0 0,AC,0.89376
Generator,load,BE0 0,EV battery,1.41272
Generator,load,BE0 0,H2,1.16568
Generator,load,BE0 0,battery,0.94759
Generator,load,BE0 0,home battery,0.9957
Generator,load,BE0 0,low voltage,0.91331
Generator,load,BE0 0,residential rural heat,0.0
Generator,load,BE0 0,residential urban decentral heat,0.0
Generator,load,BE0 0,services rural heat,0.0
Generator,load,BE0 0,services urban decentral heat,0.0
Generator,load,BE0 0,urban central heat,0.0
Generator,load,BG0 0,AC,0.89978
Generator,load,BG0 0,EV battery,1.372
Generator,load,BG0 0,H2,1.1364
Generator,load,BG0 0,battery,0.94896
Generator,load,BG0 0,home battery,1.00345
Generator,load,BG0 0,low voltage,0.92855
Generator,load,BG0 0,residential rural heat,0.0
Generator,load,BG0 0,residential urban decentral heat,0.0
Generator,load,BG0 0,services rural heat,0.0
Generator,load,BG0 0,services urban decentral heat,0.0
Generator,load,BG0 0,urban central heat,0.0
Generator,load,CH0 0,AC,0.9336
Generator,load,CH0 0,EV battery,1.38112
Generator,load,CH0 0,H2,1.20259
Generator,load,CH0 0,battery,0.92879
Generator,load,CH0 0,home battery,0.99018
Generator,load,CH0 0,low voltage,0.92089
Generator,load,CH0 0,residential rural heat,0.0
Generator,load,CH0 0,residential urban decentral heat,0.0
Generator,load,CH0 0,services rural heat,0.0
Generator,load,CH0 0,services urban decentral heat,0.0
