component,location,carrier,0
Generator,AL0 0,load,inf
Generator,AL0 0,offwind-ac,268.78996
Generator,AL0 0,offwind-dc,5523.08541
Generator,AL0 0,onwind,234.10608
Generator,AL0 0,residential rural solar thermal,15.2733
Generator,AL0 0,residential urban decentral solar thermal,15.30896
Generator,AL0 0,ror,48.2
Generator,AL0 0,services rural solar thermal,14.75449
Generator,AL0 0,services urban decentral solar thermal,14.56505
Generator,AL0 0,solar,9121.21689
Generator,AL0 0,solar rooftop,527.0817
Generator,AL0 0,solar-hsat,198.12721
Generator,AL0 0,urban central solar thermal,25.59948
Generator,AT0 0,load,inf
Generator,AT0 0,onwind,3235.10941
Generator,AT0 0,residential rural solar thermal,17.7003
Generator,AT0 0,residential urban decentral solar thermal,17.47548
Generator,AT0 0,ror,4468.08037
Generator,AT0 0,services rural solar thermal,16.46126
Generator,AT0 0,services urban decentral solar thermal,15.73256
Generator,AT0 0,solar,168651.40882
Generator,AT0 0,solar rooftop,4298.05073
Generator,AT0 0,solar-hsat,254.09204
Generator,AT0 0,urban central solar thermal,33.19483
Generator,BA0 0,load,inf
Generator,BA0 0,offwind-ac,3.30268
Generator,BA0 0,onwind,435.13647
Generator,BA0 0,residential rural solar thermal,15.192
Generator,BA0 0,residential urban decentral solar thermal,14.95505
Generator,BA0 0,services rural solar thermal,14.39572
Generator,BA0 0,services urban decentral solar thermal,14.17154
Generator,BA0 0,solar,722.85557
Generator,BA0 0,solar rooftop,2166.90151
Generator,BA0 0,solar-hsat,141.8501
Generator,BA0 0,urban central solar thermal,25.21638
Generator,BE0 0,load,inf
Generator,BE0 0,nuclear,5931.05367
Generator,BE0 0,offwind-ac,2261.8
Generator,BE0 0,offwind-dc,871.20163
Generator,BE0 0,onwind,5989.8965
Generator,BE0 0,residential rural solar thermal,11.80285
Generator,BE0 0,residential urban decentral solar thermal,14.48624
Generator,BE0 0,ror,59.01534
Generator,BE0 0,services rural solar thermal,12.9187
Generator,BE0 0,services urban decentral solar thermal,13.3725
Generator,BE0 0,solar,71073.13313
