cost,component,carrier,0
capital,Generator,biogas,0.0
capital,Generator,gas,0.0
capital,Generator,load,0.0
capital,Generator,nuclear,116401569196.38402
capital,Generator,offwind-ac,42546935039.69356
capital,Generator,offwind-dc,115184475994.52795
capital,Generator,oil primary,0.0
capital,Generator,onwind,77067577485.14029
capital,Generator,residential rural solar thermal,23022610.96635
capital,Generator,residential urban decentral solar thermal,23975418.99164
capital,Generator,ror,15121742314.61956
capital,Generator,services rural solar thermal,15528590.42071
capital,Generator,services urban decentral solar thermal,15363659.0903
capital,Generator,solar,50723078299.52025
capital,Generator,solar rooftop,11342231604.79176
capital,Generator,solar-hsat,3405488430.50434
capital,Generator,solid biomass,0.0
capital,Generator,urban central solar thermal,34380427.41025
capital,Line,AC,9097043860.03406
capital,Link,BEV charger,0.0
capital,Link,CCGT,26672954.51339
capital,Link,DC,23721973074.96152
capital,Link,Fischer-Tropsch,6794598272.0842
capital,Link,H2 Electrolysis,43410735823.97878
capital,Link,H2 pipeline,1885036815.89255
capital,Link,HVC to air,0.0
capital,Link,agriculture machinery oil,0.0
capital,Link,battery charger,3031278304.87798
capital,Link,battery discharger,0.0
capital,Link,co2 sequestered,0.0
capital,Link,electricity distribution grid,50849044288.22169
capital,Link,gas for industry,0.0
capital,Link,gas for industry CC,1211951058.69489
capital,Link,home battery charger,992071423.79482
capital,Link,home battery discharger,0.0
capital,Link,industry methanol,0.0
capital,Link,kerosene for aviation,0.0
capital,Link,methanolisation,4705949372.12411
capital,Link,naphtha for industry,0.0
capital,Link,oil refining,0.0
capital,Link,process emissions,0.0
capital,Link,process emissions CC,3186808505.33996
capital,Link,residential rural air heat pump,3723852272.36521
capital,Link,residential rural ground heat pump,19829443215.58813
capital,Link,residential urban decentral air heat pump,24704350030.16482
capital,Link,services rural air heat pump,1785315462.3309
capital,Link,services rural ground heat pump,10745529193.17363
capital,Link,services urban decentral air heat pump,10265315050.62872
capital,Link,shipping methanol,0.0
capital,Link,solid biomass for industry,0.0
capital,Link,solid biomass for industry CC,7255276393.82476
capital,Link,urban central air heat pump,39808072854.92849
capital,Link,waste CHP,26723934.71796
capital,Link,waste CHP CC,31246533715.06656
capital,StorageUnit,PHS,10238012412.75842
capital,StorageUnit,hydro,19440523664.00005
capital,Store,H2 Store,6779774348.45153
capital,Store,battery,20597640253.72347
capital,Store,co2,0.0
capital,Store,co2 sequestered,4314663520.71337
capital,Store,co2 stored,1670995.18397
capital,Store,gas,1573362.15971
capital,Store,home battery,5252639251.75065
capital,Store,methanol,328617410.32757
capital,Store,non-sequestered HVC,0.0
capital,Store,oil,998721.40126
marginal,Generator,biogas,0.0
marginal,Generator,gas,6318684814.7137
marginal,Generator,load,21017083420219.34
marginal,Generator,nuclear,9111960474.09982
marginal,Generator,offwind-ac,25309690.29884
marginal,Generator,offwind-dc,56229364.5705
marginal,Generator,oil primary,9276.25527
marginal,Generator,onwind,50349747.71672
marginal,Generator,residential rural solar thermal,1130.50071
marginal,Generator,residential urban decentral solar thermal,1308.40079
marginal,Generator,ror,1638215.79586
marginal,Generator,services rural solar thermal,662.24927
marginal,Generator,services urban decentral solar thermal,594.72791
marginal,Generator,solar,40629484.75178
marginal,Generator,solar rooftop,7856614.27195
marginal,Generator,solar-hsat,2841011.5231
marginal,Generator,solid biomass,11356028587.89918
marginal,Generator,urban central solar thermal,4133.87308
marginal,Link,BEV charger,10896380.86315
marginal,Link,CCGT,1195.57784
marginal,Link,DC,21932230.7049
marginal,Link,Fischer-Tropsch,1935459080.91334
marginal,Link,H2 Electrolysis,26583547.0676
marginal,Link,H2 pipeline,9804046.48322
marginal,Link,HVC to air,0.08698
marginal,Link,agriculture machinery oil,249196.1858
marginal,Link,battery charger,8322556.18258
marginal,Link,battery discharger,7936823.24972
marginal,Link,co2 sequestered,1535432.48116
marginal,Link,electricity distribution grid,57408315.59071
marginal,Link,gas for industry,0.07794
marginal,Link,gas for industry CC,2737651.86404
marginal,Link,home battery charger,1632365.94797
marginal,Link,home battery discharger,1610907.29084
marginal,Link,industry methanol,85546.55823
marginal,Link,kerosene for aviation,5711621.90457
marginal,Link,methanolisation,5858505.25983
marginal,Link,naphtha for industry,2654854.42947
marginal,Link,oil refining,1.77643
marginal,Link,process emissions,0.02502
marginal,Link,process emissions CC,1210241.55408
marginal,Link,residential rural air heat pump,-206095.94551
marginal,Link,residential rural ground heat pump,-5349009.77117
marginal,Link,residential urban decentral air heat pump,-7455932.90814
marginal,Link,services rural air heat pump,-142370.65029
marginal,Link,services rural ground heat pump,-4043662.24819
marginal,Link,services urban decentral air heat pump,-2989456.62016
marginal,Link,shipping methanol,5023889.93628
marginal,Link,solid biomass for industry,0.06017
marginal,Link,solid biomass for industry CC,7861233.98911
marginal,Link,urban central air heat pump,-15928674.23282
marginal,Link,waste CHP,9707.71116
marginal,Link,waste CHP CC,3176706884.0205
marginal,StorageUnit,PHS,968442.59443
marginal,StorageUnit,hydro,3429746.69554
marginal,Store,H2 Store,-0.0
marginal,Store,battery,5e-05
marginal,Store,co2,-0.00957
marginal,Store,co2 sequestered,13022527.94249
marginal,Store,co2 stored,-0.0
marginal,Store,gas,-0.0
marginal,Store,home battery,-0.0
marginal,Store,methanol,-0.0
marginal,Store,non-sequestered HVC,1080031.87408
marginal,Store,oil,0.0
