component,carrier,bus_carrier,0
Link,electricity distribution grid,low voltage,5397604478.80842
Generator,offwind-dc,AC,2247262184.72614
Generator,solar,AC,2018053627.34236
Generator,onwind,AC,2004343570.43702
Link,H2 Electrolysis,H2,1840885090.09538
Link,urban central air heat pump,urban central heat,1619988879.86784
Generator,offwind-ac,AC,987829341.86931
Link,BEV charger,EV battery,980491122.86313
Link,Fischer-Tropsch,oil,862023274.42306
Generator,solid biomass,solid biomass,831355543.77355
Link,battery charger,battery,782025902.76573
Link,battery discharger,AC,766226045.162
Link,residential urban decentral air heat pump,residential urban decentral heat,749883835.09691
Link,solid biomass for industry CC,solid biomass for industry,748219991.27014
Generator,nuclear,AC,650272659.80965
Link,kerosene for aviation,kerosene for aviation,557551684.38803
Link,residential rural ground heat pump,residential rural heat,527024250.43693
Link,methanolisation,methanol,511709291.6625
Link,shipping methanol,shipping methanol,502969377.52834
Link,services rural ground heat pump,services rural heat,404673133.31933
Generator,solar rooftop,low voltage,384977633.46268
StorageUnit,hydro,AC,341214832.6621
Link,services urban decentral air heat pump,services urban decentral heat,290726910.88306
Link,solid biomass for industry CC,co2 stored,289615174.73202
Link,naphtha for industry,naphtha for industry,276859991.86721
Generator,gas,gas,257077965.69717
Link,gas for industry CC,gas for industry,231369742.60605
Generator,load,kerosene for aviation,186355292.2354
Generator,ror,AC,164167094.56986
Link,home battery charger,home battery,161789925.26676
Link,home battery discharger,low voltage,158521395.83354
Link,co2 sequestered,co2 sequestered,143821531.48632
Link,kerosene for aviation,co2,143346538.05616
Generator,solar-hsat,AC,142583204.65483
Link,process emissions CC,co2 stored,127195575.64012
Link,shipping methanol,co2,124741295.48581
Load,process emissions,process emissions,123130000.0
Store,non-sequestered HVC,non-sequestered HVC,117504290.159
Link,H2 Electrolysis,urban central heat,91622803.70812
Link,waste CHP CC,urban central heat,89590874.40546
Link,gas for industry CC,co2 stored,48356276.20466
Link,Fischer-Tropsch,urban central heat,40678709.47534
Link,agriculture machinery oil,agriculture machinery oil,27611757.17639
Link,waste CHP CC,co2 stored,27189332.82355
Link,waste CHP CC,AC,25439692.96987
Generator,load,agriculture machinery oil,23812062.17801
