cost,component,location,carrier,0
capital,Generator,AL0 0,load,0.0
capital,Generator,AL0 0,offwind-ac,89504471.04444
capital,Generator,AL0 0,offwind-dc,1129751723.03454
capital,Generator,AL0 0,onwind,22040227.91404
capital,Generator,AL0 0,residential rural solar thermal,1855636.80672
capital,Generator,AL0 0,residential urban decentral solar thermal,1707427.02043
capital,Generator,AL0 0,ror,14853811.92575
capital,Generator,AL0 0,services rural solar thermal,427377.7847
capital,Generator,AL0 0,services urban decentral solar thermal,423601.10292
capital,Generator,AL0 0,solar,204729544.2562
capital,Generator,AL0 0,solar rooftop,13634350.16865
capital,Generator,AL0 0,solar-hsat,6756418.82032
capital,Generator,AL0 0,urban central solar thermal,1543256.09175
capital,Generator,AT0 0,load,0.0
capital,Generator,AT0 0,onwind,304537979.34383
capital,Generator,AT0 0,residential rural solar thermal,544615.89456
capital,Generator,AT0 0,residential urban decentral solar thermal,575861.41994
capital,Generator,AT0 0,ror,1376929988.78063
capital,Generator,AT0 0,services rural solar thermal,404420.4648
capital,Generator,AT0 0,services urban decentral solar thermal,390947.97776
capital,Generator,AT0 0,solar,4714057017.84106
capital,Generator,AT0 0,solar rooftop,554418217.25981
capital,Generator,AT0 0,solar-hsat,9071912.66973
capital,Generator,AT0 0,urban central solar thermal,667681.65496
capital,Generator,BA0 0,load,0.0
capital,Generator,BA0 0,offwind-ac,538494.41714
capital,Generator,BA0 0,onwind,40970687.44976
capital,Generator,BA0 0,residential rural solar thermal,609860.02133
capital,Generator,BA0 0,residential urban decentral solar thermal,688447.47498
capital,Generator,BA0 0,services rural solar thermal,394028.06142
capital,Generator,BA0 0,services urban decentral solar thermal,390543.47077
capital,Generator,BA0 0,solar,8397080.85789
capital,Generator,BA0 0,solar rooftop,57198552.84476
capital,Generator,BA0 0,solar-hsat,4520558.29998
capital,Generator,BA0 0,urban central solar thermal,839808.99448
capital,Generator,BE0 0,load,0.0
capital,Generator,BE0 0,nuclear,4470930576.90768
capital,Generator,BE0 0,offwind-ac,419079145.3416
capital,Generator,BE0 0,offwind-dc,177041486.24589
capital,Generator,BE0 0,onwind,1321613548.46862
capital,Generator,BE0 0,residential rural solar thermal,263970.85817
capital,Generator,BE0 0,residential urban decentral solar thermal,337015.80974
capital,Generator,BE0 0,ror,18186779.19648
capital,Generator,BE0 0,services rural solar thermal,288672.85943
capital,Generator,BE0 0,services urban decentral solar thermal,305154.07948
capital,Generator,BE0 0,solar,2248074154.68607
capital,Generator,BE0 0,solar rooftop,6447225.74937
capital,Generator,BE0 0,solar-hsat,5472832.94753
capital,Generator,BE0 0,urban central solar thermal,365546.7422
capital,Generator,BG0 0,load,0.0
capital,Generator,BG0 0,nuclear,1567913317.24782
capital,Generator,BG0 0,offwind-ac,11116312.62535
capital,Generator,BG0 0,offwind-dc,494746525.90934
capital,Generator,BG0 0,onwind,66212070.56577
capital,Generator,BG0 0,residential rural solar thermal,566756.52033
capital,Generator,BG0 0,residential urban decentral solar thermal,619054.71396
capital,Generator,BG0 0,ror,34022009.05814
capital,Generator,BG0 0,services rural solar thermal,474293.17821
capital,Generator,BG0 0,services urban decentral solar thermal,474185.42895
capital,Generator,BG0 0,solar,197060430.00771
capital,Generator,BG0 0,solar rooftop,184040106.36543
capital,Generator,BG0 0,solar-hsat,9139674.80133
capital,Generator,BG0 0,urban central solar thermal,515056.19115
capital,Generator,CH0 0,load,0.0
capital,Generator,CH0 0,nuclear,2529273839.33287
capital,Generator,CH0 0,onwind,8194858.70418
capital,Generator,CH0 0,residential rural solar thermal,590780.34816
capital,Generator,CH0 0,residential urban decentral solar thermal,730795.29815
capital,Generator,CH0 0,ror,1295123214.9052
capital,Generator,CH0 0,services rural solar thermal,347990.17331
capital,Generator,CH0 0,services urban decentral solar thermal,380477.53332
capital,Generator,CH0 0,solar,2171590563.27994
capital,Generator,CH0 0,solar rooftop,258058583.44488
capital,Generator,CH0 0,solar-hsat,1574448288.55639
capital,Generator,CH0 0,urban central solar thermal,955432.34046
capital,Generator,CZ0 0,load,0.0
capital,Generator,CZ0 0,nuclear,3138913207.36635
capital,Generator,CZ0 0,onwind,31960457.3843
capital,Generator,CZ0 0,residential rural solar thermal,344594.97564
capital,Generator,CZ0 0,residential urban decentral solar thermal,376762.31457
capital,Generator,CZ0 0,ror,12396579.18494
capital,Generator,CZ0 0,services rural solar thermal,340666.84155
capital,Generator,CZ0 0,services urban decentral solar thermal,333706.22211
capital,Generator,CZ0 0,solar,63844978.55376
capital,Generator,CZ0 0,solar rooftop,13890960.70651
capital,Generator,CZ0 0,solar-hsat,4409772.54299
capital,Generator,CZ0 0,urban central solar thermal,424386.6339
capital,Generator,DE0 0,load,0.0
capital,Generator,DE0 0,nuclear,11516357471.45522
capital,Generator,DE0 0,offwind-ac,1460336957.2813
capital,Generator,DE0 0,offwind-dc,3011119133.19842
capital,Generator,DE0 0,onwind,2825994005.95786
capital,Generator,DE0 0,residential rural solar thermal,349163.61661
capital,Generator,DE0 0,residential urban decentral solar thermal,405905.02875
capital,Generator,DE0 0,ror,506429478.63486
capital,Generator,DE0 0,services rural solar thermal,345954.24833
capital,Generator,DE0 0,services urban decentral solar thermal,374361.97262
capital,Generator,DE0 0,solar,1470874829.88957
capital,Generator,DE0 0,solar rooftop,192071975.68642
capital,Generator,DE0 0,solar-hsat,11222616.59361
capital,Generator,DE0 0,urban central solar thermal,475743.5807
capital,Generator,DE0 1,load,0.0
capital,Generator,DE0 1,nuclear,5895591971.1083
capital,Generator,DE0 1,offwind-ac,419734773.36387
capital,Generator,DE0 1,offwind-dc,55571996.9637
capital,Generator,DE0 1,onwind,2296273997.44319
capital,Generator,DE0 1,residential rural solar thermal,442620.18126
capital,Generator,DE0 1,residential urban decentral solar thermal,445373.2382
capital,Generator,DE0 1,ror,1107467645.73254
capital,Generator,DE0 1,services rural solar thermal,392139.00364
capital,Generator,DE0 1,services urban decentral solar thermal,380548.66491
capital,Generator,DE0 1,solar,4129189650.51274
capital,Generator,DE0 1,solar rooftop,1196376471.60128
capital,Generator,DE0 1,solar-hsat,9025141.83245
capital,Generator,DE0 1,urban central solar thermal,495592.11528
capital,Generator,DK0 0,load,0.0
capital,Generator,DK0 0,offwind-ac,299779975.70333
capital,Generator,DK0 0,offwind-dc,10156200.392
capital,Generator,DK0 0,onwind,5859992664.89018
capital,Generator,DK0 0,residential rural solar thermal,266053.19956
capital,Generator,DK0 0,residential urban decentral solar thermal,310629.57087
capital,Generator,DK0 0,services rural solar thermal,277896.37098
capital,Generator,DK0 0,services urban decentral solar thermal,274344.9408
capital,Generator,DK0 0,solar,48108833.50287
capital,Generator,DK0 0,solar rooftop,1184390.97304
capital,Generator,DK0 0,solar-hsat,2218655.16043
capital,Generator,DK0 0,urban central solar thermal,312945.09278
capital,Generator,DK1 0,load,0.0
capital,Generator,DK1 0,offwind-ac,2116265804.41547
capital,Generator,DK1 0,offwind-dc,663842046.76403
capital,Generator,DK1 0,onwind,1509370727.33971
capital,Generator,DK1 0,residential rural solar thermal,274052.28143
capital,Generator,DK1 0,residential urban decentral solar thermal,312363.47782
capital,Generator,DK1 0,services rural solar thermal,288206.40769
capital,Generator,DK1 0,services urban decentral solar thermal,283599.98908
capital,Generator,DK1 0,solar,927557380.4731
capital,Generator,DK1 0,solar rooftop,15713052.16822
capital,Generator,DK1 0,solar-hsat,3610431.3789
capital,Generator,DK1 0,urban central solar thermal,313226.7387
capital,Generator,EE0 0,load,0.0
capital,Generator,EE0 0,offwind-ac,5985499.31582
capital,Generator,EE0 0,offwind-dc,4086780.21578
capital,Generator,EE0 0,onwind,1529809032.03113
capital,Generator,EE0 0,residential rural solar thermal,356339.2344
capital,Generator,EE0 0,residential urban decentral solar thermal,367231.88501
capital,Generator,EE0 0,services rural solar thermal,340492.18451
capital,Generator,EE0 0,services urban decentral solar thermal,334023.99666
capital,Generator,EE0 0,solar,26005448.79899
capital,Generator,EE0 0,solar rooftop,26384856.47422
capital,Generator,EE0 0,solar-hsat,3677478.36627
capital,Generator,EE0 0,urban central solar thermal,366819.42353
capital,Generator,ES0 0,load,0.0
capital,Generator,ES0 0,nuclear,3543530562.22653
capital,Generator,ES0 0,offwind-ac,4199836.73087
capital,Generator,ES0 0,offwind-dc,33682088.68104
capital,Generator,ES0 0,onwind,11235995956.58021
capital,Generator,ES0 0,residential rural solar thermal,1840316.9957
capital,Generator,ES0 0,residential urban decentral solar thermal,2319131.09801
capital,Generator,ES0 0,ror,40062148.34745
capital,Generator,ES0 0,services rural solar thermal,507233.86586
capital,Generator,ES0 0,services urban decentral solar thermal,485060.71301
capital,Generator,ES0 0,solar,11114811829.28992
capital,Generator,ES0 0,solar rooftop,1765510580.56381
capital,Generator,ES0 0,solar-hsat,1305989174.59614
capital,Generator,ES0 0,urban central solar thermal,4368083.21599
capital,Generator,ES6 0,load,0.0
capital,Generator,ES6 0,nuclear,2286127551.06881
capital,Generator,ES6 0,offwind-ac,1658787.89543
capital,Generator,ES6 0,offwind-dc,3629980.32456
capital,Generator,ES6 0,onwind,256255894.25404
capital,Generator,ES6 0,residential rural solar thermal,359622.28035
capital,Generator,ES6 0,residential urban decentral solar thermal,386942.40258
capital,Generator,ES6 0,ror,45303586.30495
capital,Generator,ES6 0,services rural solar thermal,329606.72168
