component,carrier,location,bus_carrier,0
Generator,biogas,EU,biogas,0.0
Generator,gas,EU,gas,257077965.69717
Generator,load,AL0 0,AC,8.25157
Generator,load,AL0 0,EV battery,7.80952
Generator,load,AL0 0,H2,6.06328
Generator,load,AL0 0,battery,8.30774
Generator,load,AL0 0,home battery,8.34605
Generator,load,AL0 0,low voltage,8.26617
Generator,load,AL0 0,residential rural heat,0.0
Generator,load,AL0 0,residential urban decentral heat,0.0
Generator,load,AL0 0,services rural heat,0.0
Generator,load,AL0 0,services urban decentral heat,0.0
Generator,load,AL0 0,urban central heat,0.0
Generator,load,AT0 0,AC,8.21261
Generator,load,AT0 0,EV battery,8.61898
Generator,load,AT0 0,H2,6.06683
Generator,load,AT0 0,battery,8.23378
Generator,load,AT0 0,home battery,8.2575
Generator,load,AT0 0,low voltage,8.2224
Generator,load,AT0 0,residential rural heat,0.0
Generator,load,AT0 0,residential urban decentral heat,0.0
Generator,load,AT0 0,services rural heat,0.0
Generator,load,AT0 0,services urban decentral heat,0.0
Generator,load,AT0 0,urban central heat,0.0
Generator,load,BA0 0,AC,8.13701
Generator,load,BA0 0,EV battery,8.09816
Generator,load,BA0 0,H2,6.06433
Generator,load,BA0 0,battery,8.21079
Generator,load,BA0 0,home battery,8.26109
Generator,load,BA0 0,low voltage,8.16939
Generator,load,BA0 0,residential rural heat,0.0
Generator,load,BA0 0,residential urban decentral heat,0.0
Generator,load,BA0 0,services rural heat,0.0
Generator,load,BA0 0,services urban decentral heat,0.0
Generator,load,BA0 0,urban central heat,0.0
Generator,load,BE0 0,AC,6.90868
Generator,load,BE0 0,EV battery,8.72468
Generator,load,BE0 0,H2,6.07006
Generator,load,BE0 0,battery,7.00853
Generator,load,BE0 0,home battery,7.08516
Generator,load,BE0 0,low voltage,6.9335
Generator,load,BE0 0,residential rural heat,0.0
Generator,load,BE0 0,residential urban decentral heat,0.0
Generator,load,BE0 0,services rural heat,0.0
Generator,load,BE0 0,services urban decentral heat,0.0
Generator,load,BE0 0,urban central heat,0.0
Generator,load,BG0 0,AC,6.9112
Generator,load,BG0 0,EV battery,8.39356
Generator,load,BG0 0,H2,6.06566
Generator,load,BG0 0,battery,7.01289
Generator,load,BG0 0,home battery,7.12031
Generator,load,BG0 0,low voltage,6.96579
Generator,load,BG0 0,residential rural heat,0.0
Generator,load,BG0 0,residential urban decentral heat,0.0
Generator,load,BG0 0,services rural heat,0.0
Generator,load,BG0 0,services urban decentral heat,0.0
Generator,load,BG0 0,urban central heat,0.0
Generator,load,CH0 0,AC,6.9702
Generator,load,CH0 0,EV battery,8.47043
Generator,load,CH0 0,H2,6.06649
Generator,load,CH0 0,battery,6.97251
Generator,load,CH0 0,home battery,7.09542
Generator,load,CH0 0,low voltage,6.95358
Generator,load,CH0 0,residential rural heat,0.0
Generator,load,CH0 0,residential urban decentral heat,0.0
Generator,load,CH0 0,services rural heat,0.0
Generator,load,CH0 0,services urban decentral heat,0.0
Generator,load,CH0 0,urban central heat,0.0
Generator,load,CZ0 0,AC,6.91186
Generator,load,CZ0 0,EV battery,8.56502
Generator,load,CZ0 0,H2,6.06915
Generator,load,CZ0 0,battery,7.01178
Generator,load,CZ0 0,home battery,7.11393
Generator,load,CZ0 0,low voltage,6.97267
Generator,load,CZ0 0,residential rural heat,0.0
Generator,load,CZ0 0,residential urban decentral heat,0.0
Generator,load,CZ0 0,services rural heat,0.0
Generator,load,CZ0 0,services urban decentral heat,0.0
Generator,load,CZ0 0,urban central heat,0.0
Generator,load,DE0 0,AC,6.90323
Generator,load,DE0 0,EV battery,8.94047
Generator,load,DE0 0,H2,6.06986
Generator,load,DE0 0,battery,6.99453
Generator,load,DE0 0,home battery,7.07678
Generator,load,DE0 0,low voltage,6.95554
Generator,load,DE0 0,residential rural heat,0.0
Generator,load,DE0 0,residential urban decentral heat,0.0
Generator,load,DE0 0,services rural heat,0.0
Generator,load,DE0 0,services urban decentral heat,0.0
Generator,load,DE0 0,urban central heat,0.0
Generator,load,DE0 1,AC,6.97372
Generator,load,DE0 1,EV battery,8.77638
Generator,load,DE0 1,H2,6.07009
Generator,load,DE0 1,battery,6.97552
Generator,load,DE0 1,home battery,7.09241
Generator,load,DE0 1,low voltage,6.95025
Generator,load,DE0 1,residential rural heat,0.0
Generator,load,DE0 1,residential urban decentral heat,0.0
Generator,load,DE0 1,services rural heat,0.0
Generator,load,DE0 1,services urban decentral heat,0.0
Generator,load,DE0 1,urban central heat,0.0
Generator,load,DK0 0,AC,7.69699
Generator,load,DK0 0,EV battery,8.49345
Generator,load,DK0 0,H2,6.07101
Generator,load,DK0 0,battery,7.80075
Generator,load,DK0 0,home battery,7.89511
Generator,load,DK0 0,low voltage,7.72709
Generator,load,DK0 0,residential rural heat,0.0
Generator,load,DK0 0,residential urban decentral heat,0.0
Generator,load,DK0 0,services rural heat,0.0
Generator,load,DK0 0,services urban decentral heat,0.0
Generator,load,DK0 0,urban central heat,0.0
Generator,load,DK1 0,AC,7.89911
Generator,load,DK1 0,EV battery,8.33993
Generator,load,DK1 0,H2,6.07063
Generator,load,DK1 0,battery,8.01863
Generator,load,DK1 0,home battery,8.0941
Generator,load,DK1 0,low voltage,7.92839
Generator,load,DK1 0,residential rural heat,0.0
Generator,load,DK1 0,residential urban decentral heat,0.0
Generator,load,DK1 0,services rural heat,0.0
Generator,load,DK1 0,services urban decentral heat,0.0
Generator,load,DK1 0,urban central heat,0.0
Generator,load,EE0 0,AC,7.41177
Generator,load,EE0 0,EV battery,7.822
Generator,load,EE0 0,H2,6.07436
Generator,load,EE0 0,battery,7.55229
Generator,load,EE0 0,home battery,7.67977
Generator,load,EE0 0,low voltage,7.47676
Generator,load,EE0 0,residential rural heat,0.0
Generator,load,EE0 0,residential urban decentral heat,0.0
Generator,load,EE0 0,services rural heat,0.0
Generator,load,EE0 0,services urban decentral heat,0.0
Generator,load,EE0 0,urban central heat,0.0
Generator,load,ES0 0,AC,6.9618
Generator,load,ES0 0,EV battery,8.8013
Generator,load,ES0 0,H2,6.0763
Generator,load,ES0 0,battery,6.96457
Generator,load,ES0 0,home battery,7.09697
Generator,load,ES0 0,low voltage,6.93991
Generator,load,ES0 0,residential rural heat,0.0
Generator,load,ES0 0,residential urban decentral heat,0.0
Generator,load,ES0 0,services rural heat,0.0
Generator,load,ES0 0,services urban decentral heat,0.0
Generator,load,ES0 0,urban central heat,0.0
Generator,load,ES6 0,AC,6.98099
Generator,load,ES6 0,EV battery,6.72567
Generator,load,ES6 0,H2,6.07874
Generator,load,ES6 0,battery,6.98404
Generator,load,ES6 0,home battery,7.12127
Generator,load,ES6 0,low voltage,6.94268
Generator,load,ES6 0,residential rural heat,0.0
Generator,load,ES6 0,residential urban decentral heat,0.0
Generator,load,ES6 0,services rural heat,0.0
Generator,load,ES6 0,services urban decentral heat,0.0
Generator,load,ES6 0,urban central heat,0.0
Generator,load,EU,agriculture machinery oil,23812062.17801
Generator,load,EU,biogas,0.0
Generator,load,EU,co2,0.0
Generator,load,EU,co2 sequestered,229.98375
Generator,load,EU,co2 stored,178.3961
Generator,load,EU,gas,0.0
Generator,load,EU,gas for industry,250.7386
Generator,load,EU,industry methanol,190.96625
Generator,load,EU,kerosene for aviation,186355292.2354
Generator,load,EU,methanol,8.51973
Generator,load,EU,naphtha for industry,8.13323
Generator,load,EU,non-sequestered HVC,431.48852
Generator,load,EU,none,0.0
Generator,load,EU,oil,8.59657
Generator,load,EU,oil primary,0.0
Generator,load,EU,process emissions,82.22715
Generator,load,EU,shipping methanol,327.05759
Generator,load,EU,solid biomass,7.83001
Generator,load,EU,solid biomass for industry,3.3713
Generator,load,FI1 0,AC,6.97952
Generator,load,FI1 0,EV battery,8.47306
Generator,load,FI1 0,H2,6.07345
Generator,load,FI1 0,battery,6.98142
Generator,load,FI1 0,home battery,7.09853
Generator,load,FI1 0,low voltage,6.96609
Generator,load,FI1 0,residential rural heat,0.0
Generator,load,FI1 0,residential urban decentral heat,0.0
Generator,load,FI1 0,services rural heat,0.0
Generator,load,FI1 0,services urban decentral heat,0.0
Generator,load,FI1 0,urban central heat,0.0
Generator,load,FR0 0,AC,6.97659
Generator,load,FR0 0,EV battery,8.92149
Generator,load,FR0 0,H2,6.06883
Generator,load,FR0 0,battery,6.97808
Generator,load,FR0 0,home battery,7.09836
Generator,load,FR0 0,low voltage,6.94794
Generator,load,FR0 0,residential rural heat,0.0
Generator,load,FR0 0,residential urban decentral heat,0.0
Generator,load,FR0 0,services rural heat,0.0
Generator,load,FR0 0,services urban decentral heat,0.0
Generator,load,FR0 0,urban central heat,0.0
Generator,load,FR5 0,AC,7.99891
Generator,load,FR5 0,EV battery,4.74334
Generator,load,FR5 0,H2,5.99018
Generator,load,FR5 0,battery,8.03982
Generator,load,FR5 0,home battery,8.06297
Generator,load,FR5 0,low voltage,8.04373
Generator,load,FR5 0,residential rural heat,0.0
Generator,load,FR5 0,residential urban decentral heat,0.0
Generator,load,FR5 0,services rural heat,0.0
Generator,load,FR5 0,services urban decentral heat,0.0
Generator,load,GB2 0,AC,6.89709
Generator,load,GB2 0,EV battery,8.83192
Generator,load,GB2 0,H2,6.07088
Generator,load,GB2 0,battery,6.96925
Generator,load,GB2 0,home battery,7.11327
Generator,load,GB2 0,low voltage,6.94673
Generator,load,GB2 0,residential rural heat,0.0
Generator,load,GB2 0,residential urban decentral heat,0.0
Generator,load,GB2 0,services rural heat,0.0
Generator,load,GB2 0,services urban decentral heat,0.0
Generator,load,GB2 0,urban central heat,0.0
Generator,load,GB3 0,AC,6.90358
Generator,load,GB3 0,EV battery,7.73212
Generator,load,GB3 0,H2,6.07149
Generator,load,GB3 0,battery,7.00491
Generator,load,GB3 0,home battery,7.13773
Generator,load,GB3 0,low voltage,6.95112
Generator,load,GB3 0,residential rural heat,0.0
Generator,load,GB3 0,residential urban decentral heat,0.0
Generator,load,GB3 0,services rural heat,0.0
Generator,load,GB3 0,services urban decentral heat,0.0
Generator,load,GB3 0,urban central heat,0.0
Generator,load,GR0 0,AC,7.17308
Generator,load,GR0 0,EV battery,8.51999
Generator,load,GR0 0,H2,6.06453
Generator,load,GR0 0,battery,7.17462
Generator,load,GR0 0,home battery,7.28924
Generator,load,GR0 0,low voltage,7.15378
Generator,load,GR0 0,residential rural heat,0.0
Generator,load,GR0 0,residential urban decentral heat,0.0
Generator,load,GR0 0,services rural heat,0.0
Generator,load,GR0 0,services urban decentral heat,0.0
Generator,load,GR0 0,urban central heat,0.0
Generator,load,HR0 0,AC,7.99033
Generator,load,HR0 0,EV battery,8.41478
Generator,load,HR0 0,H2,6.06517
Generator,load,HR0 0,battery,8.08089
Generator,load,HR0 0,home battery,8.14018
Generator,load,HR0 0,low voltage,8.0189
Generator,load,HR0 0,residential rural heat,0.0
Generator,load,HR0 0,residential urban decentral heat,0.0
Generator,load,HR0 0,services rural heat,0.0
Generator,load,HR0 0,services urban decentral heat,0.0
Generator,load,HR0 0,urban central heat,0.0
Generator,load,HU0 0,AC,6.89031
Generator,load,HU0 0,EV battery,8.54042
Generator,load,HU0 0,H2,6.06618
Generator,load,HU0 0,battery,6.97253
Generator,load,HU0 0,home battery,7.02813
Generator,load,HU0 0,low voltage,6.92601
Generator,load,HU0 0,residential rural heat,0.0
Generator,load,HU0 0,residential urban decentral heat,0.0
Generator,load,HU0 0,services rural heat,0.0
Generator,load,HU0 0,services urban decentral heat,0.0
Generator,load,HU0 0,urban central heat,0.0
Generator,load,IE3 0,AC,7.11569
Generator,load,IE3 0,EV battery,8.46413
Generator,load,IE3 0,H2,6.0707
Generator,load,IE3 0,battery,7.22322
Generator,load,IE3 0,home battery,7.36567
Generator,load,IE3 0,low voltage,7.16942
Generator,load,IE3 0,residential rural heat,0.0
Generator,load,IE3 0,residential urban decentral heat,0.0
Generator,load,IE3 0,services rural heat,0.0
Generator,load,IE3 0,services urban decentral heat,0.0
Generator,load,IE3 0,urban central heat,0.0
Generator,load,IT0 0,AC,0.0
Generator,load,IT0 0,EV battery,9.02973
Generator,load,IT0 0,H2,6.05972
Generator,load,IT0 0,battery,0.0
Generator,load,IT0 0,home battery,7.06445
Generator,load,IT0 0,low voltage,6.91557
Generator,load,IT0 0,residential rural heat,0.0
Generator,load,IT0 0,residential urban decentral heat,0.0
Generator,load,IT0 0,services rural heat,0.0
Generator,load,IT0 0,services urban decentral heat,0.0
Generator,load,IT0 0,urban central heat,0.0
Generator,load,IT4 0,AC,7.26955
Generator,load,IT4 0,EV battery,7.98382
Generator,load,IT4 0,H2,6.06141
Generator,load,IT4 0,battery,7.41098
Generator,load,IT4 0,home battery,7.56183
Generator,load,IT4 0,low voltage,7.30948
Generator,load,IT4 0,residential rural heat,0.0
Generator,load,IT4 0,residential urban decentral heat,0.0
Generator,load,IT4 0,services rural heat,0.0
Generator,load,IT4 0,services urban decentral heat,0.0
Generator,load,IT4 0,urban central heat,0.0
Generator,load,LT0 0,AC,0.0
Generator,load,LT0 0,EV battery,8.40408
Generator,load,LT0 0,H2,6.07234
Generator,load,LT0 0,battery,0.0
Generator,load,LT0 0,home battery,7.0891
Generator,load,LT0 0,low voltage,6.93583
Generator,load,LT0 0,residential rural heat,0.0
Generator,load,LT0 0,residential urban decentral heat,0.0
Generator,load,LT0 0,services rural heat,0.0
Generator,load,LT0 0,services urban decentral heat,0.0
Generator,load,LT0 0,urban central heat,0.0
Generator,load,LU0 0,AC,8.35827
Generator,load,LU0 0,EV battery,8.13207
Generator,load,LU0 0,H2,6.06904
Generator,load,LU0 0,battery,8.39795
Generator,load,LU0 0,home battery,8.43532
Generator,load,LU0 0,low voltage,8.37323
Generator,load,LU0 0,residential rural heat,0.0
Generator,load,LU0 0,residential urban decentral heat,0.0
Generator,load,LU0 0,services rural heat,0.0
Generator,load,LU0 0,services urban decentral heat,0.0
Generator,load,LU0 0,urban central heat,0.0
Generator,load,LV0 0,AC,7.45396
Generator,load,LV0 0,EV battery,8.12081
Generator,load,LV0 0,H2,6.07372
Generator,load,LV0 0,battery,7.609
Generator,load,LV0 0,home battery,7.72911
Generator,load,LV0 0,low voltage,7.51424
Generator,load,LV0 0,residential rural heat,0.0
Generator,load,LV0 0,residential urban decentral heat,0.0
