,0
AC,55.45216835350734
EV battery,81.78348794108015
H2,72.05497839615269
agriculture machinery oil,100000.00404425668
battery,40.57983530579848
co2,-388616.9923924283
co2 sequestered,-30.29052758218004
co2 stored,-30.293177588009968
gas,24.57620367050919
gas for industry,4313.669093084881
home battery,51.531348538883115
industry methanol,96458.56051008393
kerosene for aviation,100000.00526239727
low voltage,82.29777038554765
methanol,77.57614776376535
naphtha for industry,843.7878133800962
non-sequestered HVC,-9973.898819088296
oil,86.56596015286992
oil primary,52.92103611937499
process emissions,-19483.429388212717
residential rural heat,86.8947009785566
residential urban decentral heat,101.73868409672264
services rural heat,61.67353695393862
services urban decentral heat,103.9245671334731
shipping methanol,96458.56071039541
solid biomass,13.65896182316373
solid biomass for industry,-150386.23477147357
urban central heat,72.02673655336407
