cost,component,carrier,0
capital,Generator,biogas,0.0
capital,Generator,gas,0.0
capital,Generator,load,0.0
capital,Generator,nuclear,116470242927.65569
capital,Generator,offwind-ac,41021631231.59544
capital,Generator,offwind-dc,108660285840.61958
capital,Generator,oil primary,0.0
capital,Generator,onwind,80437188436.43536
capital,Generator,residential rural solar thermal,72771894.49907
capital,Generator,residential urban decentral solar thermal,75682453.03044
capital,Generator,ror,15121742314.61956
capital,Generator,services rural solar thermal,73546378.26864
capital,Generator,services urban decentral solar thermal,69769143.0971
capital,Generator,solar,52402043268.56925
capital,Generator,solar rooftop,10397112609.43588
capital,Generator,solar-hsat,3883607802.34031
capital,Generator,solid biomass,0.0
capital,Generator,urban central solar thermal,79233753.40372
capital,Line,AC,8999397943.77724
capital,Link,BEV charger,0.0
capital,Link,CCGT,141000772.33955
capital,Link,DC,23096613747.71382
capital,Link,Fischer-Tropsch,6857789357.89831
capital,Link,H2 Electrolysis,43976795625.34296
capital,Link,H2 pipeline,2593751196.48424
capital,Link,HVC to air,0.0
capital,Link,agriculture machinery oil,0.0
capital,Link,battery charger,3276387989.50589
capital,Link,battery discharger,0.0
capital,Link,co2 sequestered,0.0
capital,Link,electricity distribution grid,48747700311.97079
capital,Link,gas for industry,0.0
capital,Link,gas for industry CC,1214804722.7735
capital,Link,home battery charger,780741628.31238
capital,Link,home battery discharger,0.0
capital,Link,industry methanol,0.0
capital,Link,kerosene for aviation,0.0
capital,Link,methanolisation,4721114238.45459
capital,Link,naphtha for industry,0.0
capital,Link,oil refining,0.0
capital,Link,process emissions,0.0
capital,Link,process emissions CC,3189709798.68111
capital,Link,residential rural air heat pump,6464602707.45642
capital,Link,residential rural ground heat pump,20922150428.51029
capital,Link,residential urban decentral air heat pump,29396040324.85428
capital,Link,services rural air heat pump,3180792834.92041
capital,Link,services rural ground heat pump,10640441322.84802
capital,Link,services urban decentral air heat pump,12203975795.92469
capital,Link,shipping methanol,0.0
capital,Link,solid biomass for industry,0.0
capital,Link,solid biomass for industry CC,7258141517.42497
capital,Link,urban central air heat pump,48751283278.62099
capital,Link,waste CHP,142021096.66098
capital,Link,waste CHP CC,34813706926.92084
capital,StorageUnit,PHS,10238012412.75842
capital,StorageUnit,hydro,19440523664.00005
capital,Store,EV battery,0.0
capital,Store,H2 Store,6510729186.09547
capital,Store,battery,16118203428.81507
capital,Store,co2,0.0
capital,Store,co2 sequestered,4314729576.16016
capital,Store,co2 stored,10194485.39135
capital,Store,gas,9647202.96384
capital,Store,home battery,1374764653.02147
capital,Store,methanol,346376548.09445
capital,Store,non-sequestered HVC,0.0
capital,Store,oil,6220119.68652
marginal,Generator,biogas,0.0
marginal,Generator,gas,6318149240.9049
marginal,Generator,load,21019454578063.74
marginal,Generator,nuclear,9412242145.87887
marginal,Generator,offwind-ac,24203554.28255
marginal,Generator,offwind-dc,52844996.66075
marginal,Generator,oil primary,208034.49499
marginal,Generator,onwind,52554232.08597
marginal,Generator,residential rural solar thermal,3957.90851
marginal,Generator,residential urban decentral solar thermal,4412.86092
marginal,Generator,ror,1615573.69947
marginal,Generator,services rural solar thermal,4226.09271
marginal,Generator,services urban decentral solar thermal,3303.44872
marginal,Generator,solar,40945369.58578
marginal,Generator,solar rooftop,7773983.51858
marginal,Generator,solar-hsat,3363387.70327
marginal,Generator,solid biomass,11354781797.93582
marginal,Generator,urban central solar thermal,7854.61448
marginal,Link,BEV charger,10998824.43955
marginal,Link,CCGT,9505.70114
marginal,Link,DC,23878790.46859
marginal,Link,Fischer-Tropsch,1935878478.15248
marginal,Link,H2 Electrolysis,25499672.58063
marginal,Link,H2 pipeline,15364079.21764
marginal,Link,HVC to air,0.64055
marginal,Link,agriculture machinery oil,273770.00286
marginal,Link,battery charger,7946657.40064
marginal,Link,battery discharger,8054804.7715
marginal,Link,co2 sequestered,1392995.33933
marginal,Link,electricity distribution grid,59658620.10425
marginal,Link,gas for industry,0.76753
marginal,Link,gas for industry CC,2646474.37416
marginal,Link,home battery charger,1309245.17648
marginal,Link,home battery discharger,1263249.95885
marginal,Link,industry methanol,84360.78318
marginal,Link,kerosene for aviation,5359562.397
marginal,Link,methanolisation,6169721.20646
marginal,Link,naphtha for industry,2607651.63374
marginal,Link,oil refining,42.70493
marginal,Link,process emissions,0.13657
marginal,Link,process emissions CC,1388395.73812
marginal,Link,residential rural air heat pump,-412536.54203
marginal,Link,residential rural ground heat pump,-5055654.27982
marginal,Link,residential urban decentral air heat pump,-7514185.44362
marginal,Link,services rural air heat pump,-344897.53591
marginal,Link,services rural ground heat pump,-3798480.28578
marginal,Link,services urban decentral air heat pump,-2805599.38823
marginal,Link,shipping methanol,5015709.04234
marginal,Link,solid biomass for industry,0.40096
marginal,Link,solid biomass for industry CC,8132845.76191
marginal,Link,urban central air heat pump,-15956812.21795
marginal,Link,waste CHP,66137.61286
marginal,Link,waste CHP CC,3176638121.40933
marginal,StorageUnit,PHS,1080500.22906
marginal,StorageUnit,hydro,3268667.25673
marginal,Store,EV battery,-2.10681
marginal,Store,H2 Store,-0.0
marginal,Store,battery,-0.0
marginal,Store,co2,-0.35857
marginal,Store,co2 sequestered,12923023.77383
marginal,Store,co2 stored,-0.0
marginal,Store,gas,0.0
marginal,Store,home battery,0.0
marginal,Store,methanol,0.0
marginal,Store,non-sequestered HVC,1287203.95655
marginal,Store,oil,-0.0
