component,carrier,bus_carrier,0
Link,electricity distribution grid,low voltage,5401311434.76246
Generator,offwind-dc,AC,2136190967.3592
Generator,onwind,AC,2105297228.39551
Generator,solar,AC,2059062017.78316
Link,H2 Electrolysis,H2,1840874436.71628
Link,urban central air heat pump,urban central heat,1620748994.13927
Link,BEV charger,EV battery,980489434.10941
Generator,offwind-ac,AC,956767262.69746
Link,Fischer-Tropsch,oil,862017372.75222
Generator,solid biomass,solid biomass,831355500.43271
Link,battery charger,battery,796962629.21578
Link,battery discharger,AC,780862511.83415
Link,residential urban decentral air heat pump,residential urban decentral heat,749572940.19738
Link,solid biomass for industry CC,solid biomass for industry,748219952.32901
Generator,nuclear,AC,671707588.83171
Link,kerosene for aviation,kerosene for aviation,555405467.80852
Link,methanolisation,methanol,511706591.53032
Link,residential rural ground heat pump,residential rural heat,505920021.98477
Link,shipping methanol,shipping methanol,502967981.52451
Link,services rural ground heat pump,services rural heat,383999347.76386
Generator,solar rooftop,low voltage,383869412.89546
StorageUnit,hydro,AC,339061662.81252
Link,services urban decentral air heat pump,services urban decentral heat,290451362.3496
Link,solid biomass for industry CC,co2 stored,289615159.65899
Link,naphtha for industry,naphtha for industry,276859916.80207
Generator,gas,gas,257073479.42513
Link,gas for industry CC,gas for industry,231362805.52013
Generator,load,kerosene for aviation,188501508.81491
Generator,solar-hsat,AC,173648397.40661
Generator,ror,AC,160597111.839
Link,co2 sequestered,co2 sequestered,143822348.8841
Link,kerosene for aviation,co2,142794745.77357
Link,process emissions CC,co2 stored,127195781.43483
Link,home battery charger,home battery,126978054.91321
Link,shipping methanol,co2,124740949.26329
Link,home battery discharger,low voltage,124414407.89191
Load,process emissions,process emissions,123130000.0
Store,non-sequestered HVC,non-sequestered HVC,117504290.159
Link,H2 Electrolysis,urban central heat,90745351.56758
Link,waste CHP CC,urban central heat,89543843.00726
Link,gas for industry CC,co2 stored,48354826.35371
Link,residential rural air heat pump,residential rural heat,41593500.12847
Link,Fischer-Tropsch,urban central heat,40607147.2415
Link,services rural air heat pump,services rural heat,34956199.97415
Link,agriculture machinery oil,agriculture machinery oil,29756221.70473
Link,waste CHP CC,co2 stored,27188810.68088
Link,waste CHP CC,AC,25439204.42721
Generator,load,agriculture machinery oil,21667597.64967
Link,methanolisation,urban central heat,12384672.08066
Link,naphtha for industry,process emissions,10759996.76656
Link,industry methanol,industry methanol,8738485.51806
Link,agriculture machinery oil,co2,7650324.60029
Link,process emissions CC,co2,6694514.81236
Link,waste CHP CC,co2,3020978.96454
Link,gas for industry CC,co2,2544990.86072
Link,industry methanol,co2,2167229.36387
Generator,urban central solar thermal,urban central heat,788068.84008
Generator,residential urban decentral solar thermal,residential urban decentral heat,438227.9443
Generator,services rural solar thermal,services rural heat,424913.33883
Generator,residential rural solar thermal,residential rural heat,395972.59219
Generator,services urban decentral solar thermal,services urban decentral heat,335645.16942
Generator,load,gas for industry,7142.82066
Generator,oil primary,oil primary,3931.08118
Link,oil refining,oil,3732.31006
Link,CCGT,AC,2236.83495
Generator,load,EV battery,2230.86297
Generator,load,H2,2171.30898
Generator,load,home battery,2067.80001
Generator,load,battery,1973.21275
Generator,load,low voltage,1830.97577
Generator,load,AC,1824.77011
Link,waste CHP,urban central heat,1817.41458
Generator,load,shipping methanol,1723.06142
Generator,load,industry methanol,1514.48194
Generator,load,co2 sequestered,1137.01063
Link,CCGT,co2,738.15553
Generator,load,co2 stored,722.88195
