component,location,carrier,0
Generator,AL0 0,load,inf
Generator,AL0 0,offwind-ac,240.25893
Generator,AL0 0,offwind-dc,5518.8124
Generator,AL0 0,onwind,234.48278
Generator,AL0 0,residential rural solar thermal,64.53082
Generator,AL0 0,residential urban decentral solar thermal,63.19443
Generator,AL0 0,ror,48.2
Generator,AL0 0,services rural solar thermal,62.53284
Generator,AL0 0,services urban decentral solar thermal,58.79132
Generator,AL0 0,solar,8791.1812
Generator,AL0 0,solar rooftop,2685.06406
Generator,AL0 0,solar-hsat,649.21976
Generator,AL0 0,urban central solar thermal,107.10716
Generator,AT0 0,load,inf
Generator,AT0 0,onwind,3235.14899
Generator,AT0 0,residential rural solar thermal,83.76592
Generator,AT0 0,residential urban decentral solar thermal,82.493
Generator,AT0 0,ror,4468.08037
Generator,AT0 0,services rural solar thermal,77.4648
Generator,AT0 0,services urban decentral solar thermal,70.78298
Generator,AT0 0,solar,143033.29548
Generator,AT0 0,solar rooftop,13319.32045
Generator,AT0 0,solar-hsat,987.9869
Generator,AT0 0,urban central solar thermal,153.69094
Generator,BA0 0,load,inf
Generator,BA0 0,offwind-ac,17.36766
Generator,BA0 0,onwind,435.76448
Generator,BA0 0,residential rural solar thermal,66.16238
Generator,BA0 0,residential urban decentral solar thermal,63.56107
Generator,BA0 0,services rural solar thermal,60.26314
Generator,BA0 0,services urban decentral solar thermal,57.74453
Generator,BA0 0,solar,3664.73548
Generator,BA0 0,solar rooftop,1992.99298
Generator,BA0 0,solar-hsat,562.21233
Generator,BA0 0,urban central solar thermal,109.38926
Generator,BE0 0,load,inf
Generator,BE0 0,nuclear,5932.17787
Generator,BE0 0,offwind-ac,2261.8
Generator,BE0 0,offwind-dc,871.1209
Generator,BE0 0,onwind,15185.91596
Generator,BE0 0,residential rural solar thermal,52.4495
Generator,BE0 0,residential urban decentral solar thermal,69.20598
Generator,BE0 0,ror,59.01534
Generator,BE0 0,services rural solar thermal,62.34943
Generator,BE0 0,services urban decentral solar thermal,62.90908
Generator,BE0 0,solar,95878.97349
Generator,BE0 0,solar rooftop,1312.43461
Generator,BE0 0,solar-hsat,676.91366
Generator,BE0 0,urban central solar thermal,126.88518
Generator,BG0 0,load,inf
Generator,BG0 0,nuclear,2080.19045
Generator,BG0 0,offwind-ac,621.18382
Generator,BG0 0,offwind-dc,1571.49609
Generator,BG0 0,onwind,704.77637
Generator,BG0 0,residential rural solar thermal,67.95979
Generator,BG0 0,residential urban decentral solar thermal,73.06783
Generator,BG0 0,ror,110.4
Generator,BG0 0,services rural solar thermal,67.55531
Generator,BG0 0,services urban decentral solar thermal,66.56904
Generator,BG0 0,solar,7649.95936
Generator,BG0 0,solar rooftop,6574.752
Generator,BG0 0,solar-hsat,711.38215
Generator,BG0 0,urban central solar thermal,137.09097
Generator,CH0 0,load,inf
Generator,CH0 0,nuclear,3355.21112
Generator,CH0 0,onwind,87.26405
Generator,CH0 0,residential rural solar thermal,77.68748
Generator,CH0 0,residential urban decentral solar thermal,89.97708
Generator,CH0 0,ror,4202.6208
Generator,CH0 0,services rural solar thermal,70.07821
Generator,CH0 0,services urban decentral solar thermal,80.21762
Generator,CH0 0,solar,120362.84409
Generator,CH0 0,solar rooftop,15925.23879
Generator,CH0 0,solar-hsat,4073.24543
Generator,CH0 0,urban central solar thermal,166.73851
Generator,CZ0 0,load,inf
Generator,CZ0 0,nuclear,4164.46022
Generator,CZ0 0,onwind,341.56252
Generator,CZ0 0,residential rural solar thermal,60.90209
Generator,CZ0 0,residential urban decentral solar thermal,65.1351
Generator,CZ0 0,ror,40.22638
Generator,CZ0 0,services rural solar thermal,59.77984
Generator,CZ0 0,services urban decentral solar thermal,56.98326
Generator,CZ0 0,solar,4920.50313
Generator,CZ0 0,solar rooftop,589.60834
Generator,CZ0 0,solar-hsat,623.84381
Generator,CZ0 0,urban central solar thermal,124.48619
Generator,DE0 0,load,inf
Generator,DE0 0,nuclear,15274.72077
Generator,DE0 0,offwind-ac,7858.0
Generator,DE0 0,offwind-dc,5612.79483
Generator,DE0 0,onwind,30035.87102
Generator,DE0 0,residential rural solar thermal,77.47954
Generator,DE0 0,residential urban decentral solar thermal,92.64215
Generator,DE0 0,ror,1643.34253
Generator,DE0 0,services rural solar thermal,81.42627
Generator,DE0 0,services urban decentral solar thermal,81.27442
Generator,DE0 0,solar,68572.37988
Generator,DE0 0,solar rooftop,904.38999
Generator,DE0 0,solar-hsat,979.95869
Generator,DE0 0,urban central solar thermal,161.36371
Generator,DE0 1,load,inf
Generator,DE0 1,nuclear,7843.46761
Generator,DE0 1,offwind-ac,2266.49143
Generator,DE0 1,offwind-dc,268.06993
Generator,DE0 1,onwind,24394.51795
Generator,DE0 1,residential rural solar thermal,84.82076
Generator,DE0 1,residential urban decentral solar thermal,85.96283
Generator,DE0 1,ror,3593.68631
Generator,DE0 1,services rural solar thermal,82.1091
Generator,DE0 1,services urban decentral solar thermal,75.72672
Generator,DE0 1,solar,169498.25369
Generator,DE0 1,solar rooftop,4045.36517
Generator,DE0 1,solar-hsat,763.57936
Generator,DE0 1,urban central solar thermal,159.88607
Generator,DK0 0,load,inf
Generator,DK0 0,offwind-ac,1602.99486
Generator,DK0 0,offwind-dc,173.47365
Generator,DK0 0,onwind,63850.59073
Generator,DK0 0,residential rural solar thermal,51.58588
Generator,DK0 0,residential urban decentral solar thermal,64.38801
Generator,DK0 0,services rural solar thermal,55.93201
Generator,DK0 0,services urban decentral solar thermal,54.13452
Generator,DK0 0,solar,1640.72611
Generator,DK0 0,solar rooftop,135.24069
Generator,DK0 0,solar-hsat,265.51992
Generator,DK0 0,urban central solar thermal,109.70098
Generator,DK1 0,load,inf
Generator,DK1 0,offwind-ac,10843.13397
Generator,DK1 0,offwind-dc,2912.56124
Generator,DK1 0,onwind,16034.56411
Generator,DK1 0,residential rural solar thermal,47.82182
Generator,DK1 0,residential urban decentral solar thermal,57.63422
Generator,DK1 0,services rural solar thermal,52.04348
Generator,DK1 0,services urban decentral solar thermal,49.66118
Generator,DK1 0,solar,18051.04986
Generator,DK1 0,solar rooftop,417.37184
Generator,DK1 0,solar-hsat,596.15286
