cost,component,location,carrier,0
capital,Generator,AL0 0,load,0.0
capital,Generator,AL0 0,offwind-ac,44350529.68607
capital,Generator,AL0 0,offwind-dc,1129273242.41894
capital,Generator,AL0 0,onwind,22071622.36168
capital,Generator,AL0 0,residential rural solar thermal,1756008.49593
capital,Generator,AL0 0,residential urban decentral solar thermal,1719642.91635
capital,Generator,AL0 0,ror,14853811.92575
capital,Generator,AL0 0,services rural solar thermal,1701639.66457
capital,Generator,AL0 0,services urban decentral solar thermal,1599825.5929
capital,Generator,AL0 0,solar,257984212.48238
capital,Generator,AL0 0,solar rooftop,93833176.48436
capital,Generator,AL0 0,solar-hsat,23009436.12514
capital,Generator,AL0 0,urban central solar thermal,1719982.86716
capital,Generator,AT0 0,load,0.0
capital,Generator,AT0 0,onwind,304521241.71619
capital,Generator,AT0 0,residential rural solar thermal,2279432.98628
capital,Generator,AT0 0,residential urban decentral solar thermal,2244794.27707
capital,Generator,AT0 0,ror,1376929988.78063
capital,Generator,AT0 0,services rural solar thermal,2107967.08811
capital,Generator,AT0 0,services urban decentral solar thermal,1926141.95089
capital,Generator,AT0 0,solar,4197425950.19872
capital,Generator,AT0 0,solar rooftop,465461574.44597
capital,Generator,AT0 0,solar-hsat,35015911.41775
capital,Generator,AT0 0,urban central solar thermal,2468049.60591
capital,Generator,BA0 0,load,0.0
capital,Generator,BA0 0,offwind-ac,3165922.53157
capital,Generator,BA0 0,onwind,41018061.16194
capital,Generator,BA0 0,residential rural solar thermal,1800406.57195
capital,Generator,BA0 0,residential urban decentral solar thermal,1729619.69065
capital,Generator,BA0 0,services rural solar thermal,1639876.76923
capital,Generator,BA0 0,services urban decentral solar thermal,1571340.35939
capital,Generator,BA0 0,solar,107544580.80886
capital,Generator,BA0 0,solar rooftop,69647821.45272
capital,Generator,BA0 0,solar-hsat,19925747.05432
capital,Generator,BA0 0,urban central solar thermal,1756630.05326
capital,Generator,BE0 0,load,0.0
capital,Generator,BE0 0,nuclear,4471582043.37408
capital,Generator,BE0 0,offwind-ac,419079145.3416
