component,carrier,location,bus_carrier,0
Generator,biogas,EU,biogas,0.0
Generator,gas,EU,gas,257073479.42513
Generator,load,AL0 0,AC,51.33606
Generator,load,AL0 0,EV battery,55.19324
Generator,load,AL0 0,H2,54.29048
Generator,load,AL0 0,battery,53.16577
Generator,load,AL0 0,home battery,54.30401
Generator,load,AL0 0,low voltage,51.5987
Generator,load,AL0 0,residential rural heat,0.0
Generator,load,AL0 0,residential urban decentral heat,0.12295
Generator,load,AL0 0,services rural heat,0.0
Generator,load,AL0 0,services urban decentral heat,0.18657
Generator,load,AL0 0,urban central heat,0.0
Generator,load,AT0 0,AC,52.21556
Generator,load,AT0 0,EV battery,58.10902
Generator,load,AT0 0,H2,54.32742
Generator,load,AT0 0,battery,53.96641
Generator,load,AT0 0,home battery,55.42467
Generator,load,AT0 0,low voltage,52.96761
Generator,load,AT0 0,residential rural heat,0.11868
Generator,load,AT0 0,residential urban decentral heat,3.06803
Generator,load,AT0 0,services rural heat,0.11745
Generator,load,AT0 0,services urban decentral heat,2.74972
Generator,load,AT0 0,urban central heat,0.0
Generator,load,BA0 0,AC,51.89891
Generator,load,BA0 0,EV battery,56.05168
Generator,load,BA0 0,H2,54.30181
Generator,load,BA0 0,battery,53.52933
Generator,load,BA0 0,home battery,54.66376
Generator,load,BA0 0,low voltage,52.3814
Generator,load,BA0 0,residential rural heat,0.0
Generator,load,BA0 0,residential urban decentral heat,0.38408
Generator,load,BA0 0,services rural heat,0.0
Generator,load,BA0 0,services urban decentral heat,0.41222
Generator,load,BA0 0,urban central heat,0.0
Generator,load,BE0 0,AC,41.51535
Generator,load,BE0 0,EV battery,58.33845
Generator,load,BE0 0,H2,54.38462
Generator,load,BE0 0,battery,45.49754
Generator,load,BE0 0,home battery,50.29082
Generator,load,BE0 0,low voltage,42.10695
Generator,load,BE0 0,residential rural heat,0.0
Generator,load,BE0 0,residential urban decentral heat,0.549
Generator,load,BE0 0,services rural heat,0.0
Generator,load,BE0 0,services urban decentral heat,0.45758
Generator,load,BE0 0,urban central heat,0.0
Generator,load,BG0 0,AC,44.23744
Generator,load,BG0 0,EV battery,57.04991
Generator,load,BG0 0,H2,54.31311
Generator,load,BG0 0,battery,49.62163
Generator,load,BG0 0,home battery,49.94646
Generator,load,BG0 0,low voltage,42.84218
Generator,load,BG0 0,residential rural heat,0.0
Generator,load,BG0 0,residential urban decentral heat,0.50863
Generator,load,BG0 0,services rural heat,0.0
Generator,load,BG0 0,services urban decentral heat,0.41826
Generator,load,BG0 0,urban central heat,0.0
Generator,load,CH0 0,AC,43.94978
Generator,load,CH0 0,EV battery,57.4322
Generator,load,CH0 0,H2,54.31978
Generator,load,CH0 0,battery,49.22064
Generator,load,CH0 0,home battery,49.68361
Generator,load,CH0 0,low voltage,43.14079
Generator,load,CH0 0,residential rural heat,0.59425
Generator,load,CH0 0,residential urban decentral heat,4.38374
Generator,load,CH0 0,services rural heat,0.58359
Generator,load,CH0 0,services urban decentral heat,4.7419
Generator,load,CH0 0,urban central heat,0.0
Generator,load,CZ0 0,AC,43.95265
Generator,load,CZ0 0,EV battery,57.82367
Generator,load,CZ0 0,H2,54.36899
Generator,load,CZ0 0,battery,44.09962
Generator,load,CZ0 0,home battery,49.59926
Generator,load,CZ0 0,low voltage,43.0767
Generator,load,CZ0 0,residential rural heat,0.10369
Generator,load,CZ0 0,residential urban decentral heat,2.27805
Generator,load,CZ0 0,services rural heat,0.1028
Generator,load,CZ0 0,services urban decentral heat,1.41895
Generator,load,CZ0 0,urban central heat,0.0
Generator,load,DE0 0,AC,43.96786
Generator,load,DE0 0,EV battery,57.51517
Generator,load,DE0 0,H2,54.37825
Generator,load,DE0 0,battery,49.24625
Generator,load,DE0 0,home battery,50.02859
Generator,load,DE0 0,low voltage,43.34103
Generator,load,DE0 0,residential rural heat,0.0
Generator,load,DE0 0,residential urban decentral heat,1.12071
Generator,load,DE0 0,services rural heat,0.0
Generator,load,DE0 0,services urban decentral heat,1.1239
Generator,load,DE0 0,urban central heat,0.0
Generator,load,DE0 1,AC,44.09432
Generator,load,DE0 1,EV battery,58.10374
Generator,load,DE0 1,H2,54.37558
Generator,load,DE0 1,battery,49.40107
Generator,load,DE0 1,home battery,49.99598
Generator,load,DE0 1,low voltage,43.37339
Generator,load,DE0 1,residential rural heat,0.01285
Generator,load,DE0 1,residential urban decentral heat,1.54159
Generator,load,DE0 1,services rural heat,0.01293
Generator,load,DE0 1,services urban decentral heat,1.35236
Generator,load,DE0 1,urban central heat,0.0
Generator,load,DK0 0,AC,49.44305
Generator,load,DK0 0,EV battery,57.50904
Generator,load,DK0 0,H2,54.39171
Generator,load,DK0 0,battery,52.25505
Generator,load,DK0 0,home battery,53.71068
Generator,load,DK0 0,low voltage,50.04703
Generator,load,DK0 0,residential rural heat,1.46404
Generator,load,DK0 0,residential urban decentral heat,0.72909
Generator,load,DK0 0,services rural heat,1.46116
Generator,load,DK0 0,services urban decentral heat,0.41022
Generator,load,DK0 0,urban central heat,0.0
Generator,load,DK1 0,AC,45.65004
Generator,load,DK1 0,EV battery,56.80767
Generator,load,DK1 0,H2,54.38896
Generator,load,DK1 0,battery,50.76584
Generator,load,DK1 0,home battery,53.21934
Generator,load,DK1 0,low voltage,46.40538
Generator,load,DK1 0,residential rural heat,1.42208
Generator,load,DK1 0,residential urban decentral heat,0.99529
Generator,load,DK1 0,services rural heat,1.43061
Generator,load,DK1 0,services urban decentral heat,0.83393
Generator,load,DK1 0,urban central heat,0.0
Generator,load,EE0 0,AC,44.03296
Generator,load,EE0 0,EV battery,54.85407
Generator,load,EE0 0,H2,54.40808
Generator,load,EE0 0,battery,49.08919
Generator,load,EE0 0,home battery,52.00722
Generator,load,EE0 0,low voltage,45.77192
Generator,load,EE0 0,residential rural heat,5.47184
Generator,load,EE0 0,residential urban decentral heat,3.8749
Generator,load,EE0 0,services rural heat,5.3453
Generator,load,EE0 0,services urban decentral heat,4.16235
Generator,load,EE0 0,urban central heat,0.0
Generator,load,ES0 0,AC,44.98714
Generator,load,ES0 0,EV battery,57.93181
Generator,load,ES0 0,H2,54.44908
Generator,load,ES0 0,battery,50.37356
Generator,load,ES0 0,home battery,50.50091
Generator,load,ES0 0,low voltage,43.43097
Generator,load,ES0 0,residential rural heat,0.0
Generator,load,ES0 0,residential urban decentral heat,0.0
Generator,load,ES0 0,services rural heat,0.0
Generator,load,ES0 0,services urban decentral heat,0.0
Generator,load,ES0 0,urban central heat,0.0
Generator,load,ES6 0,AC,44.00084
Generator,load,ES6 0,EV battery,48.89904
Generator,load,ES6 0,H2,54.46734
Generator,load,ES6 0,battery,49.41066
Generator,load,ES6 0,home battery,49.99391
Generator,load,ES6 0,low voltage,42.19609
Generator,load,ES6 0,residential rural heat,0.0
Generator,load,ES6 0,residential urban decentral heat,0.0
Generator,load,ES6 0,services rural heat,0.0
Generator,load,ES6 0,services urban decentral heat,0.0
Generator,load,ES6 0,urban central heat,0.0
Generator,load,EU,agriculture machinery oil,21667597.64967
Generator,load,EU,biogas,0.0
Generator,load,EU,co2,0.0
Generator,load,EU,co2 sequestered,1137.01063
Generator,load,EU,co2 stored,722.88195
Generator,load,EU,gas,0.0
Generator,load,EU,gas for industry,7142.82066
Generator,load,EU,industry methanol,1514.48194
Generator,load,EU,kerosene for aviation,188501508.81491
Generator,load,EU,methanol,84.79004
Generator,load,EU,naphtha for industry,83.19837
Generator,load,EU,non-sequestered HVC,212.16997
Generator,load,EU,none,0.0
Generator,load,EU,oil,96.86346
Generator,load,EU,oil primary,0.0
Generator,load,EU,process emissions,314.07284
