,0
AC,53.31551665799647
EV battery,69.88785124567681
H2,72.86205698089293
agriculture machinery oil,99999.98108806023
battery,39.424261827856185
co2,-388610.07774653926
co2 sequestered,-31.00670029009775
co2 stored,-30.963071272538492
gas,24.558707177983287
gas for industry,4313.697199281153
home battery,33.066917580054074
industry methanol,96458.70116185604
kerosene for aviation,99999.98134420063
low voltage,77.4505777129406
methanol,79.42275475816078
naphtha for industry,845.5533916685238
non-sequestered HVC,-9978.584125696229
oil,88.31958502789095
oil primary,52.9204270995
process emissions,-19483.695848283183
residential rural heat,92.74867552494841
residential urban decentral heat,106.00864466086796
services rural heat,64.11939936477857
services urban decentral heat,109.27052050692804
shipping methanol,96458.70148014347
solid biomass,13.653349060575694
solid biomass for industry,-150383.30774935207
urban central heat,76.70454477922493
