cost,component,location,carrier,0
capital,Generator,AL0 0,load,0.0
capital,Generator,AL0 0,offwind-ac,14697369.56087
capital,Generator,AL0 0,offwind-dc,1130306642.1309
capital,Generator,AL0 0,onwind,22029102.16444
capital,Generator,AL0 0,residential rural solar thermal,192861.78949
capital,Generator,AL0 0,residential urban decentral solar thermal,193070.84351
capital,Generator,AL0 0,ror,14853811.92575
capital,Generator,AL0 0,services rural solar thermal,191592.17966
capital,Generator,AL0 0,services urban decentral solar thermal,191989.58589
capital,Generator,AL0 0,solar,214110347.54987
capital,Generator,AL0 0,solar rooftop,100148128.14847
capital,Generator,AL0 0,solar-hsat,3323005.10551
capital,Generator,AL0 0,urban central solar thermal,209739.74014
capital,Generator,AT0 0,load,0.0
capital,Generator,AT0 0,onwind,304510968.42455
capital,Generator,AT0 0,residential rural solar thermal,250888.51798
capital,Generator,AT0 0,residential urban decentral solar thermal,246162.1999
capital,Generator,AT0 0,ror,1376929988.78063
capital,Generator,AT0 0,services rural solar thermal,219206.21427
capital,Generator,AT0 0,services urban decentral solar thermal,202989.46808
capital,Generator,AT0 0,solar,4037453726.31314
capital,Generator,AT0 0,solar rooftop,632418069.14732
capital,Generator,AT0 0,solar-hsat,3728594.08803
capital,Generator,AT0 0,urban central solar thermal,304654.93477
capital,Generator,BA0 0,load,0.0
capital,Generator,BA0 0,offwind-ac,246318.43727
capital,Generator,BA0 0,onwind,40946933.87166
capital,Generator,BA0 0,residential rural solar thermal,195613.12063
capital,Generator,BA0 0,residential urban decentral solar thermal,189506.25122
capital,Generator,BA0 0,services rural solar thermal,183043.97121
capital,Generator,BA0 0,services urban decentral solar thermal,182709.47572
capital,Generator,BA0 0,solar,56294248.68948
capital,Generator,BA0 0,solar rooftop,79338604.1181
capital,Generator,BA0 0,solar-hsat,2823523.67158
capital,Generator,BA0 0,urban central solar thermal,213491.43579
capital,Generator,BE0 0,load,0.0
capital,Generator,BE0 0,nuclear,4470737782.01154
capital,Generator,BE0 0,offwind-ac,419079145.3416
capital,Generator,BE0 0,offwind-dc,177042734.47271
capital,Generator,BE0 0,onwind,1433291979.16468
capital,Generator,BE0 0,residential rural solar thermal,149478.41924
capital,Generator,BE0 0,residential urban decentral solar thermal,207711.55123
capital,Generator,BE0 0,ror,18186779.19648
capital,Generator,BE0 0,services rural solar thermal,167882.79297
capital,Generator,BE0 0,services urban decentral solar thermal,183017.95757
capital,Generator,BE0 0,solar,2510702879.68488
capital,Generator,BE0 0,solar rooftop,11697811.44688
capital,Generator,BE0 0,solar-hsat,2901509.34659
capital,Generator,BE0 0,urban central solar thermal,256291.64902
capital,Generator,BG0 0,load,0.0
capital,Generator,BG0 0,nuclear,1567871317.8947
capital,Generator,BG0 0,offwind-ac,10300929.98324
capital,Generator,BG0 0,offwind-dc,565723707.2384
capital,Generator,BG0 0,onwind,66155771.0907
capital,Generator,BG0 0,residential rural solar thermal,201910.34626
capital,Generator,BG0 0,residential urban decentral solar thermal,213731.24247
capital,Generator,BG0 0,ror,34022009.05814
capital,Generator,BG0 0,services rural solar thermal,198778.60835
capital,Generator,BG0 0,services urban decentral solar thermal,199729.11714
capital,Generator,BG0 0,solar,149600907.26678
capital,Generator,BG0 0,solar rooftop,281159090.54463
capital,Generator,BG0 0,solar-hsat,3131278.66508
capital,Generator,BG0 0,urban central solar thermal,265537.37921
capital,Generator,CH0 0,load,0.0
capital,Generator,CH0 0,nuclear,2528981055.83019
capital,Generator,CH0 0,onwind,8190638.9678
capital,Generator,CH0 0,residential rural solar thermal,216237.98181
capital,Generator,CH0 0,residential urban decentral solar thermal,258776.76563
capital,Generator,CH0 0,ror,1295123214.9052
capital,Generator,CH0 0,services rural solar thermal,195580.29158
capital,Generator,CH0 0,services urban decentral solar thermal,220543.83615
capital,Generator,CH0 0,solar,3659485178.34083
capital,Generator,CH0 0,solar rooftop,565359989.68329
