cost,component,carrier,0
capital,Generator,biogas,0.0
capital,Generator,gas,0.0
capital,Generator,load,0.0
capital,Generator,nuclear,116448896317.06647
capital,Generator,offwind-ac,39688098139.25173
capital,Generator,offwind-dc,107814301335.09113
capital,Generator,oil primary,0.0
capital,Generator,onwind,80838321112.07368
capital,Generator,residential rural solar thermal,79364594.01564
capital,Generator,residential urban decentral solar thermal,81709827.77462
capital,Generator,ror,15121742314.61956
capital,Generator,services rural solar thermal,80177463.0162
capital,Generator,services urban decentral solar thermal,76379501.8658
capital,Generator,solar,53936359720.67013
capital,Generator,solar rooftop,12912772544.2178
capital,Generator,solar-hsat,1497621008.64148
capital,Generator,solid biomass,0.0
capital,Generator,urban central solar thermal,84668806.55119
capital,Line,AC,8968273223.2316
capital,Link,BEV charger,0.0
capital,Link,CCGT,166654463.23726
capital,Link,DC,22871993905.34236
capital,Link,Fischer-Tropsch,6860407250.73576
capital,Link,H2 Electrolysis,43933082438.25218
capital,Link,H2 pipeline,2640501328.72013
capital,Link,HVC to air,0.0
capital,Link,V2G,0.0
capital,Link,agriculture machinery oil,0.0
capital,Link,battery charger,3223426272.26026
capital,Link,battery discharger,0.0
capital,Link,co2 sequestered,0.0
capital,Link,electricity distribution grid,48432458345.20034
capital,Link,gas for industry,0.0
capital,Link,gas for industry CC,1215480730.72001
capital,Link,home battery charger,495478984.72591
capital,Link,home battery discharger,0.0
capital,Link,industry methanol,0.0
capital,Link,kerosene for aviation,0.0
capital,Link,methanolisation,4703134172.96865
capital,Link,naphtha for industry,0.0
capital,Link,oil refining,0.0
capital,Link,process emissions,0.0
capital,Link,process emissions CC,3190347704.45264
capital,Link,residential rural air heat pump,6578338614.26344
capital,Link,residential rural ground heat pump,20772179419.4746
capital,Link,residential urban decentral air heat pump,29396068155.77506
capital,Link,services rural air heat pump,3195735474.38374
capital,Link,services rural ground heat pump,10626499982.72843
capital,Link,services urban decentral air heat pump,12203988905.39684
capital,Link,shipping methanol,0.0
capital,Link,solid biomass for industry,0.0
capital,Link,solid biomass for industry CC,7258783667.40164
capital,Link,urban central air heat pump,48588436086.97918
capital,Link,waste CHP,167637824.45546
capital,Link,waste CHP CC,35411461191.14084
capital,StorageUnit,PHS,10238012412.75842
capital,StorageUnit,hydro,19440523664.00005
capital,Store,EV battery,0.0
capital,Store,H2 Store,6810256571.2511
capital,Store,battery,15568462809.63756
capital,Store,co2,0.0
capital,Store,co2 sequestered,4314891008.06035
capital,Store,co2 stored,7754701.01028
capital,Store,gas,7791833.85646
capital,Store,home battery,922597334.10664
capital,Store,methanol,351829801.98799
capital,Store,non-sequestered HVC,0.0
capital,Store,oil,7626677.82264
marginal,Generator,biogas,0.0
marginal,Generator,gas,6318730665.57803
marginal,Generator,load,21018784281486.516
marginal,Generator,nuclear,9357164040.98357
marginal,Generator,offwind-ac,22467783.58982
marginal,Generator,offwind-dc,52113309.95731
marginal,Generator,oil primary,813284.87092
marginal,Generator,onwind,53702211.18459
marginal,Generator,residential rural solar thermal,3748.704
marginal,Generator,residential urban decentral solar thermal,4260.57154
marginal,Generator,ror,1565180.77261
marginal,Generator,services rural solar thermal,4107.96346
marginal,Generator,services urban decentral solar thermal,3271.08531
marginal,Generator,solar,43128125.37316
marginal,Generator,solar rooftop,9322382.82439
marginal,Generator,solar-hsat,1135404.23543
marginal,Generator,solid biomass,11354877566.14822
marginal,Generator,urban central solar thermal,7405.38976
marginal,Link,BEV charger,13937227.4393
marginal,Link,CCGT,7758.68834
marginal,Link,DC,23673349.16274
marginal,Link,Fischer-Tropsch,1935563295.41503
marginal,Link,H2 Electrolysis,25307614.08416
marginal,Link,H2 pipeline,15864779.93746
marginal,Link,HVC to air,0.61186
marginal,Link,V2G,2793878.84612
marginal,Link,agriculture machinery oil,323885.1527
marginal,Link,battery charger,8142450.91193
marginal,Link,battery discharger,7752543.95661
marginal,Link,co2 sequestered,1553954.92176
marginal,Link,electricity distribution grid,60285498.15683
marginal,Link,gas for industry,0.51915
marginal,Link,gas for industry CC,2514232.22323
marginal,Link,home battery charger,997348.29384
marginal,Link,home battery discharger,993991.93229
marginal,Link,industry methanol,93775.39159
marginal,Link,kerosene for aviation,5995336.19618
marginal,Link,methanolisation,5737868.53373
marginal,Link,naphtha for industry,2923780.74121
marginal,Link,oil refining,164.13872
marginal,Link,process emissions,0.13221
marginal,Link,process emissions CC,1374634.68204
marginal,Link,residential rural air heat pump,-428516.76761
marginal,Link,residential rural ground heat pump,-5178610.30187
marginal,Link,residential urban decentral air heat pump,-7367793.80453
marginal,Link,services rural air heat pump,-346675.05881
marginal,Link,services rural ground heat pump,-3868276.40611
marginal,Link,services urban decentral air heat pump,-2997258.42173
marginal,Link,shipping methanol,5011828.70032
marginal,Link,solid biomass for industry,0.35874
marginal,Link,solid biomass for industry CC,8388531.85023
marginal,Link,urban central air heat pump,-16567123.14482
marginal,Link,waste CHP,61511.50268
marginal,Link,waste CHP CC,3176611712.19204
marginal,StorageUnit,PHS,1035235.91949
marginal,StorageUnit,hydro,3359627.23516
marginal,Store,EV battery,-0.0
marginal,Store,H2 Store,-0.0
marginal,Store,battery,-0.0
marginal,Store,co2,-0.2207
marginal,Store,co2 sequestered,12891376.35223
marginal,Store,co2 stored,-0.0
marginal,Store,gas,-0.0
marginal,Store,home battery,-0.0
marginal,Store,methanol,-0.0
marginal,Store,non-sequestered HVC,1285494.5485
marginal,Store,oil,0.0
