component,carrier,bus_carrier,0
Link,electricity distribution grid,low voltage,5370320027.98465
Generator,solar,AC,2168336716.81147
Generator,onwind,AC,2131935845.72746
Generator,offwind-dc,AC,2118162147.91067
Link,H2 Electrolysis,H2,1840860371.05003
Link,urban central air heat pump,urban central heat,1620304073.50145
Link,BEV charger,EV battery,1260670840.88892
Generator,offwind-ac,AC,920604022.01112
Link,Fischer-Tropsch,oil,862006082.55475
Generator,solid biomass,solid biomass,831355490.53033
Link,battery charger,battery,777424979.4242
Link,battery discharger,AC,761719633.83877
Link,residential urban decentral air heat pump,residential urban decentral heat,749587146.79489
Link,solid biomass for industry CC,solid biomass for industry,748219954.30067
Generator,nuclear,AC,667768200.35377
Link,kerosene for aviation,kerosene for aviation,555594682.92318
Link,methanolisation,methanol,511706839.20819
Link,residential rural ground heat pump,residential rural heat,505363941.79004
Link,shipping methanol,shipping methanol,502968393.4464
Generator,solar rooftop,low voltage,472987383.62571
Link,services rural ground heat pump,services rural heat,384407494.41615
StorageUnit,hydro,AC,339054407.24416
Link,services urban decentral air heat pump,services urban decentral heat,290460633.30734
Link,solid biomass for industry CC,co2 stored,289615160.42217
Link,naphtha for industry,naphtha for industry,276859953.78283
Generator,gas,gas,257080624.25943
Link,V2G,low voltage,252163234.89452
Link,gas for industry CC,gas for industry,231369826.04463
Generator,load,kerosene for aviation,188312293.70024
Generator,ror,AC,160736477.68528
Link,co2 sequestered,co2 sequestered,143826877.39172
Link,kerosene for aviation,co2,142843392.97955
Link,process emissions CC,co2 stored,127195788.10904
Link,shipping methanol,co2,124741051.42392
Load,process emissions,process emissions,123130000.0
Store,non-sequestered HVC,non-sequestered HVC,117504290.159
Link,home battery charger,home battery,98076191.74593
Link,home battery discharger,low voltage,96096471.18402
Link,H2 Electrolysis,urban central heat,91152799.65876
Link,waste CHP CC,urban central heat,89553281.1453
Generator,solar-hsat,AC,56577506.65014
Link,gas for industry CC,co2 stored,48356293.64333
Link,residential rural air heat pump,residential rural heat,42162819.99566
Link,Fischer-Tropsch,urban central heat,40631309.03144
Link,services rural air heat pump,services rural heat,34561687.3648
Link,agriculture machinery oil,agriculture machinery oil,29566297.59277
Link,waste CHP CC,co2 stored,27188820.66098
Link,waste CHP CC,AC,25439213.76508
Generator,load,agriculture machinery oil,21857521.76164
Link,methanolisation,urban central heat,12426999.47255
Link,naphtha for industry,process emissions,10759998.2038
Link,industry methanol,industry methanol,8738579.57886
Link,agriculture machinery oil,co2,7601495.1111
Link,process emissions CC,co2,6694515.16363
Link,waste CHP CC,co2,3020980.07344
Link,gas for industry CC,co2,2545068.08649
Link,industry methanol,co2,2167252.69186
Generator,urban central solar thermal,urban central heat,749687.21508
Generator,residential urban decentral solar thermal,residential urban decentral heat,424024.2101
Generator,services rural solar thermal,services rural heat,411135.36145
Generator,residential rural solar thermal,residential rural heat,382589.16725
Generator,services urban decentral solar thermal,services urban decentral heat,326375.96597
Generator,oil primary,oil primary,15367.61184
Link,oil refining,oil,14590.56417
Generator,load,EV battery,2054.64025
Generator,load,home battery,1969.43666
