component,location,carrier,0
Generator,AL0 0,load,inf
Generator,AL0 0,offwind-ac,211.35966
Generator,AL0 0,offwind-dc,5515.70763
Generator,AL0 0,onwind,234.00238
Generator,AL0 0,residential rural solar thermal,71.42503
Generator,AL0 0,residential urban decentral solar thermal,70.43317
Generator,AL0 0,ror,48.2
Generator,AL0 0,services rural solar thermal,69.14008
Generator,AL0 0,services urban decentral solar thermal,65.81718
Generator,AL0 0,solar,8571.49788
Generator,AL0 0,solar rooftop,3508.48582
Generator,AL0 0,solar-hsat,698.98331
Generator,AL0 0,urban central solar thermal,117.84242
Generator,AT0 0,load,inf
Generator,AT0 0,onwind,3236.49548
Generator,AT0 0,residential rural solar thermal,89.98405
Generator,AT0 0,residential urban decentral solar thermal,88.78768
Generator,AT0 0,ror,4468.08037
Generator,AT0 0,services rural solar thermal,83.33207
Generator,AT0 0,services urban decentral solar thermal,76.92056
Generator,AT0 0,solar,139611.8528
Generator,AT0 0,solar rooftop,16981.63265
Generator,AT0 0,solar-hsat,966.64528
Generator,AT0 0,urban central solar thermal,163.10754
Generator,BA0 0,load,inf
Generator,BA0 0,offwind-ac,17.88492
Generator,BA0 0,onwind,435.26131
Generator,BA0 0,residential rural solar thermal,72.27211
Generator,BA0 0,residential urban decentral solar thermal,69.94605
Generator,BA0 0,services rural solar thermal,66.66511
Generator,BA0 0,services urban decentral solar thermal,64.43823
Generator,BA0 0,solar,3375.06252
Generator,BA0 0,solar rooftop,2585.76542
Generator,BA0 0,solar-hsat,584.08994
Generator,BA0 0,urban central solar thermal,115.91774
Generator,BE0 0,load,inf
Generator,BE0 0,nuclear,5931.93776
Generator,BE0 0,offwind-ac,2261.8
Generator,BE0 0,offwind-dc,871.07018
Generator,BE0 0,onwind,15187.33455
Generator,BE0 0,residential rural solar thermal,57.89344
Generator,BE0 0,residential urban decentral solar thermal,74.11117
Generator,BE0 0,ror,59.01534
Generator,BE0 0,services rural solar thermal,67.33829
Generator,BE0 0,services urban decentral solar thermal,68.28004
Generator,BE0 0,solar,93606.00654
Generator,BE0 0,solar rooftop,1810.25653
Generator,BE0 0,solar-hsat,699.43979
Generator,BE0 0,urban central solar thermal,133.75601
Generator,BG0 0,load,inf
Generator,BG0 0,nuclear,2080.00264
Generator,BG0 0,offwind-ac,612.90476
Generator,BG0 0,offwind-dc,1502.27289
Generator,BG0 0,onwind,703.59367
Generator,BG0 0,residential rural solar thermal,74.92247
Generator,BG0 0,residential urban decentral solar thermal,79.83376
Generator,BG0 0,ror,110.4
Generator,BG0 0,services rural solar thermal,75.44213
Generator,BG0 0,services urban decentral solar thermal,73.67879
Generator,BG0 0,solar,8001.34799
Generator,BG0 0,solar rooftop,7404.2283
Generator,BG0 0,solar-hsat,716.09699
Generator,BG0 0,urban central solar thermal,143.82794
Generator,CH0 0,load,inf
Generator,CH0 0,nuclear,3355.32918
Generator,CH0 0,onwind,87.61554
Generator,CH0 0,residential rural solar thermal,84.04482
Generator,CH0 0,residential urban decentral solar thermal,96.82224
Generator,CH0 0,ror,4202.6208
Generator,CH0 0,services rural solar thermal,77.15508
Generator,CH0 0,services urban decentral solar thermal,86.43671
Generator,CH0 0,solar,121896.74036
Generator,CH0 0,solar rooftop,16073.20425
Generator,CH0 0,solar-hsat,2104.62091
Generator,CH0 0,urban central solar thermal,179.31606
Generator,CZ0 0,load,inf
Generator,CZ0 0,nuclear,4164.603
Generator,CZ0 0,onwind,344.94148
Generator,CZ0 0,residential rural solar thermal,66.15842
Generator,CZ0 0,residential urban decentral solar thermal,70.18574
Generator,CZ0 0,ror,40.22638
Generator,CZ0 0,services rural solar thermal,64.7079
Generator,CZ0 0,services urban decentral solar thermal,62.11184
Generator,CZ0 0,solar,5510.90596
Generator,CZ0 0,solar rooftop,686.46633
Generator,CZ0 0,solar-hsat,632.43935
Generator,CZ0 0,urban central solar thermal,131.43135
Generator,DE0 0,load,inf
Generator,DE0 0,nuclear,15339.13524
Generator,DE0 0,offwind-ac,7858.0
Generator,DE0 0,offwind-dc,3130.17273
Generator,DE0 0,onwind,30069.13136
Generator,DE0 0,residential rural solar thermal,82.72665
Generator,DE0 0,residential urban decentral solar thermal,95.13771
Generator,DE0 0,ror,1643.34253
Generator,DE0 0,services rural solar thermal,86.81433
Generator,DE0 0,services urban decentral solar thermal,85.64277
Generator,DE0 0,solar,66643.74175
Generator,DE0 0,solar rooftop,1253.80656
Generator,DE0 0,solar-hsat,911.1627
Generator,DE0 0,urban central solar thermal,171.03934
Generator,DE0 1,load,inf
Generator,DE0 1,nuclear,7822.58547
Generator,DE0 1,offwind-ac,2266.05327
Generator,DE0 1,offwind-dc,268.36218
Generator,DE0 1,onwind,24394.68299
Generator,DE0 1,residential rural solar thermal,89.73128
Generator,DE0 1,residential urban decentral solar thermal,90.27738
Generator,DE0 1,ror,3593.68631
Generator,DE0 1,services rural solar thermal,87.61461
Generator,DE0 1,services urban decentral solar thermal,81.51796
Generator,DE0 1,solar,175397.64679
Generator,DE0 1,solar rooftop,6857.91696
Generator,DE0 1,solar-hsat,754.89785
Generator,DE0 1,urban central solar thermal,172.47272
Generator,DK0 0,load,inf
Generator,DK0 0,offwind-ac,1603.03963
Generator,DK0 0,offwind-dc,186.93559
Generator,DK0 0,onwind,62293.51308
Generator,DK0 0,residential rural solar thermal,57.21036
Generator,DK0 0,residential urban decentral solar thermal,69.20564
Generator,DK0 0,services rural solar thermal,61.41828
Generator,DK0 0,services urban decentral solar thermal,59.34252
Generator,DK0 0,solar,1638.91169
Generator,DK0 0,solar rooftop,146.10684
Generator,DK0 0,solar-hsat,268.42584
Generator,DK0 0,urban central solar thermal,116.49249
Generator,DK1 0,load,inf
Generator,DK1 0,offwind-ac,10839.5911
Generator,DK1 0,offwind-dc,2911.53421
Generator,DK1 0,onwind,16034.05208
Generator,DK1 0,residential rural solar thermal,53.24532
Generator,DK1 0,residential urban decentral solar thermal,62.5009
Generator,DK1 0,services rural solar thermal,57.80794
Generator,DK1 0,services urban decentral solar thermal,54.98986
Generator,DK1 0,solar,15160.35687
Generator,DK1 0,solar rooftop,520.8356
Generator,DK1 0,solar-hsat,602.52616
Generator,DK1 0,urban central solar thermal,107.05585
Generator,EE0 0,load,inf
Generator,EE0 0,offwind-ac,188.35567
Generator,EE0 0,offwind-dc,118.97885
Generator,EE0 0,onwind,14146.63133
Generator,EE0 0,residential rural solar thermal,54.55906
Generator,EE0 0,residential urban decentral solar thermal,56.30126
Generator,EE0 0,services rural solar thermal,55.24222
Generator,EE0 0,services urban decentral solar thermal,52.42749
Generator,EE0 0,solar,2289.35034
Generator,EE0 0,solar rooftop,423.31658
Generator,EE0 0,solar-hsat,561.2175
Generator,EE0 0,urban central solar thermal,90.98062
Generator,ES0 0,load,inf
Generator,ES0 0,nuclear,4701.42298
Generator,ES0 0,offwind-ac,146.46644
Generator,ES0 0,offwind-dc,787.01491
Generator,ES0 0,onwind,107144.7011
Generator,ES0 0,residential rural solar thermal,105.24062
Generator,ES0 0,residential urban decentral solar thermal,116.43886
Generator,ES0 0,ror,130.0
Generator,ES0 0,services rural solar thermal,114.46869
Generator,ES0 0,services urban decentral solar thermal,104.88294
Generator,ES0 0,solar,402532.2098
Generator,ES0 0,solar rooftop,83333.29168
Generator,ES0 0,solar-hsat,7875.77157
Generator,ES0 0,urban central solar thermal,201.82064
Generator,ES6 0,load,inf
Generator,ES6 0,nuclear,3033.10369
Generator,ES6 0,offwind-ac,53.27467
Generator,ES6 0,offwind-dc,82.18087
Generator,ES6 0,onwind,2955.31327
Generator,ES6 0,residential rural solar thermal,71.74988
Generator,ES6 0,residential urban decentral solar thermal,80.2026
Generator,ES6 0,ror,147.00825
Generator,ES6 0,services rural solar thermal,83.97397
Generator,ES6 0,services urban decentral solar thermal,75.70843
Generator,ES6 0,solar,1278.74377
Generator,ES6 0,solar rooftop,1384.29088
Generator,ES6 0,solar-hsat,632.15155
Generator,ES6 0,urban central solar thermal,121.7014
Generator,EU,biogas,347323678.55875
Generator,EU,gas,29502.00372
Generator,EU,load,inf
Generator,EU,oil primary,1.80166
Generator,EU,solid biomass,1049092861.83616
Generator,FI1 0,load,inf
Generator,FI1 0,nuclear,4362.00445
Generator,FI1 0,offwind-ac,302.0266
Generator,FI1 0,offwind-dc,39281.85878
Generator,FI1 0,onwind,9472.51248
Generator,FI1 0,residential rural solar thermal,49.58983
Generator,FI1 0,residential urban decentral solar thermal,57.83424
Generator,FI1 0,ror,1470.6
Generator,FI1 0,services rural solar thermal,53.31083
Generator,FI1 0,services urban decentral solar thermal,50.76711
Generator,FI1 0,solar,532.36352
Generator,FI1 0,solar rooftop,240.02173
Generator,FI1 0,solar-hsat,341.87838
Generator,FI1 0,urban central solar thermal,105.23993
Generator,FR0 0,load,inf
Generator,FR0 0,nuclear,64684.51816
Generator,FR0 0,offwind-ac,2535.40196
Generator,FR0 0,offwind-dc,214174.48531
Generator,FR0 0,onwind,23556.93707
Generator,FR0 0,residential rural solar thermal,113.53382
Generator,FR0 0,residential urban decentral solar thermal,123.40763
Generator,FR0 0,ror,6830.08473
Generator,FR0 0,services rural solar thermal,122.89164
Generator,FR0 0,services urban decentral solar thermal,114.85476
Generator,FR0 0,solar,151206.57309
Generator,FR0 0,solar rooftop,50099.32114
Generator,FR0 0,solar-hsat,1187.11451
Generator,FR0 0,urban central solar thermal,228.79961
Generator,FR5 0,load,inf
Generator,FR5 0,offwind-ac,67.10101
Generator,FR5 0,offwind-dc,94.45924
Generator,FR5 0,onwind,164.59987
Generator,FR5 0,residential rural solar thermal,74.47835
Generator,FR5 0,residential urban decentral solar thermal,0.0
Generator,FR5 0,ror,148.06013
Generator,FR5 0,services rural solar thermal,74.0741
Generator,FR5 0,services urban decentral solar thermal,59.7192
Generator,FR5 0,solar,10358.03034
Generator,FR5 0,solar rooftop,528.24463
Generator,FR5 0,solar-hsat,474.19117
Generator,GB2 0,load,inf
Generator,GB2 0,nuclear,15942.88434
Generator,GB2 0,offwind-ac,111544.67601
Generator,GB2 0,offwind-dc,476.00847
Generator,GB2 0,onwind,278720.85997
Generator,GB2 0,residential rural solar thermal,87.35989
Generator,GB2 0,residential urban decentral solar thermal,96.6569
Generator,GB2 0,ror,2203.275
Generator,GB2 0,services rural solar thermal,78.41892
Generator,GB2 0,services urban decentral solar thermal,88.45225
Generator,GB2 0,solar,13198.86226
Generator,GB2 0,solar rooftop,423.56576
