component,carrier,location,bus_carrier,0
Generator,biogas,EU,biogas,0.0
Generator,gas,EU,gas,257080624.25943
Generator,load,AL0 0,AC,49.63948
Generator,load,AL0 0,EV battery,53.59951
Generator,load,AL0 0,H2,49.24013
Generator,load,AL0 0,battery,50.09172
Generator,load,AL0 0,home battery,50.61242
Generator,load,AL0 0,low voltage,49.70458
Generator,load,AL0 0,residential rural heat,0.0
Generator,load,AL0 0,residential urban decentral heat,0.11386
Generator,load,AL0 0,services rural heat,0.0
Generator,load,AL0 0,services urban decentral heat,0.17323
Generator,load,AL0 0,urban central heat,0.0
Generator,load,AT0 0,AC,50.663
Generator,load,AT0 0,EV battery,49.68817
Generator,load,AT0 0,H2,49.27218
Generator,load,AT0 0,battery,50.98607
Generator,load,AT0 0,home battery,51.41948
Generator,load,AT0 0,low voltage,50.81892
Generator,load,AT0 0,residential rural heat,0.10748
Generator,load,AT0 0,residential urban decentral heat,2.82397
Generator,load,AT0 0,services rural heat,0.10711
Generator,load,AT0 0,services urban decentral heat,2.54148
Generator,load,AT0 0,urban central heat,0.0
Generator,load,BA0 0,AC,49.48394
Generator,load,BA0 0,EV battery,52.87608
Generator,load,BA0 0,H2,49.24965
Generator,load,BA0 0,battery,49.99294
Generator,load,BA0 0,home battery,50.56401
Generator,load,BA0 0,low voltage,49.6354
Generator,load,BA0 0,residential rural heat,0.0
Generator,load,BA0 0,residential urban decentral heat,0.35355
Generator,load,BA0 0,services rural heat,0.0
Generator,load,BA0 0,services urban decentral heat,0.38163
Generator,load,BA0 0,urban central heat,0.0
Generator,load,BE0 0,AC,45.25586
Generator,load,BE0 0,EV battery,49.78949
Generator,load,BE0 0,H2,49.31942
Generator,load,BE0 0,battery,47.00826
Generator,load,BE0 0,home battery,48.43429
Generator,load,BE0 0,low voltage,45.54046
Generator,load,BE0 0,residential rural heat,0.0
Generator,load,BE0 0,residential urban decentral heat,0.49074
Generator,load,BE0 0,services rural heat,0.0
Generator,load,BE0 0,services urban decentral heat,0.4193
Generator,load,BE0 0,urban central heat,0.0
Generator,load,BG0 0,AC,46.4979
Generator,load,BG0 0,EV battery,51.11912
Generator,load,BG0 0,H2,49.26029
Generator,load,BG0 0,battery,48.20538
Generator,load,BG0 0,home battery,48.30742
Generator,load,BG0 0,low voltage,45.84838
Generator,load,BG0 0,residential rural heat,0.0
Generator,load,BG0 0,residential urban decentral heat,0.4669
Generator,load,BG0 0,services rural heat,0.0
Generator,load,BG0 0,services urban decentral heat,0.38552
Generator,load,BG0 0,urban central heat,0.0
Generator,load,CH0 0,AC,46.38633
Generator,load,CH0 0,EV battery,50.46456
Generator,load,CH0 0,H2,49.26644
Generator,load,CH0 0,battery,48.10476
Generator,load,CH0 0,home battery,48.23611
Generator,load,CH0 0,low voltage,45.99828
Generator,load,CH0 0,residential rural heat,0.54318
Generator,load,CH0 0,residential urban decentral heat,4.0067
Generator,load,CH0 0,services rural heat,0.53622
Generator,load,CH0 0,services urban decentral heat,4.35841
Generator,load,CH0 0,urban central heat,0.0
Generator,load,CZ0 0,AC,46.39741
Generator,load,CZ0 0,EV battery,50.01468
Generator,load,CZ0 0,H2,49.30705
Generator,load,CZ0 0,battery,46.46033
Generator,load,CZ0 0,home battery,48.22083
Generator,load,CZ0 0,low voltage,45.97821
Generator,load,CZ0 0,residential rural heat,0.09443
Generator,load,CZ0 0,residential urban decentral heat,2.07041
Generator,load,CZ0 0,services rural heat,0.09391
Generator,load,CZ0 0,services urban decentral heat,1.30212
Generator,load,CZ0 0,urban central heat,0.0
Generator,load,DE0 0,AC,46.38697
Generator,load,DE0 0,EV battery,49.40511
Generator,load,DE0 0,H2,49.31444
Generator,load,DE0 0,battery,48.10945
Generator,load,DE0 0,home battery,48.33926
Generator,load,DE0 0,low voltage,46.06989
Generator,load,DE0 0,residential rural heat,0.0
Generator,load,DE0 0,residential urban decentral heat,1.00577
Generator,load,DE0 0,services rural heat,0.0
Generator,load,DE0 0,services urban decentral heat,1.00878
Generator,load,DE0 0,urban central heat,0.0
Generator,load,DE0 1,AC,46.44343
Generator,load,DE0 1,EV battery,49.20677
Generator,load,DE0 1,H2,49.31231
Generator,load,DE0 1,battery,48.15274
Generator,load,DE0 1,home battery,48.33101
Generator,load,DE0 1,low voltage,46.08791
Generator,load,DE0 1,residential rural heat,0.01159
Generator,load,DE0 1,residential urban decentral heat,1.38426
Generator,load,DE0 1,services rural heat,0.01165
Generator,load,DE0 1,services urban decentral heat,1.22776
Generator,load,DE0 1,urban central heat,0.0
Generator,load,DK0 0,AC,48.95872
Generator,load,DK0 0,EV battery,52.35394
Generator,load,DK0 0,H2,49.32448
Generator,load,DK0 0,battery,49.50579
