,0
AC,53.387785773104575
EV battery,59.31414827763488
H2,72.1839214419062
agriculture machinery oil,99999.99018550997
battery,39.89023661014709
co2,-388613.56459436123
co2 sequestered,-30.524177410278924
co2 stored,-30.490549815137083
gas,24.5645016325019
gas for industry,4313.643746045599
home battery,35.742609154596195
industry methanol,96458.71750658599
kerosene for aviation,99999.98981618661
low voltage,74.4069286272649
methanol,78.56891302512275
naphtha for industry,844.6560434942547
non-sequestered HVC,-9976.473821173822
oil,87.43165811952183
oil primary,52.92200763699999
process emissions,-19483.42339597598
residential rural heat,92.49757568920435
residential urban decentral heat,105.86744417596489
services rural heat,63.9187407755905
services urban decentral heat,109.05995924597676
shipping methanol,96458.71673989242
solid biomass,13.658239687461041
solid biomass for industry,-150384.83403044977
urban central heat,76.67874537509576
