component,carrier,bus_carrier,0
Link,electricity distribution grid,low voltage,4810645322.44359
Generator,offwind-dc,AC,1809856759.59876
Link,urban central air heat pump,urban central heat,1795359777.43502
Generator,offwind-ac,AC,1134968499.24725
Generator,solar,AC,1041417280.7782
Link,BEV charger,EV battery,982041267.5562
Link,residential urban decentral air heat pump,residential urban decentral heat,750011223.64406
Generator,onwind,AC,587155205.70723
Link,residential rural ground heat pump,residential rural heat,534436547.93547
StorageUnit,hydro,AC,341282328.34876
Link,services urban decentral air heat pump,services urban decentral heat,290777053.14145
Link,services rural ground heat pump,services rural heat,197461381.12901
Generator,ror,AC,170453798.04847
Generator,solar rooftop,low voltage,152968881.3359
Link,battery charger,battery,36302797.48256
Link,battery discharger,AC,35569332.58987
Link,residential rural air heat pump,residential rural heat,13472676.74477
Link,services rural air heat pump,services rural heat,7107066.75244
Link,V2G,low voltage,1394836.06446
Link,home battery charger,home battery,76728.30661
Link,home battery discharger,low voltage,75178.76686
Generator,solar-hsat,AC,11419.72595
Generator,load,EV battery,0.78503
Generator,load,AC,0.77225
Generator,load,home battery,0.76922
Generator,load,battery,0.76902
Generator,load,low voltage,0.76894
Link,H2 Electrolysis,H2,0.40194
Generator,load,H2,0.21023
Link,co2 sequestered,co2 sequestered,0.04369
Generator,load,co2 stored,0.04323
Generator,load,co2 sequestered,0.02169
Link,H2 Electrolysis,urban central heat,0.01998
Store,co2 stored,co2 stored,0.00046
Store,EV battery,EV battery,-0.0
Store,battery,battery,0.0
Store,co2,co2,0.0
Store,home battery,home battery,0.0
Generator,load,services rural heat,0.0
Generator,load,co2,0.0
Generator,load,residential rural heat,0.0
Generator,load,none,0.0
Generator,load,services urban decentral heat,0.0
Generator,load,urban central heat,0.0
Generator,load,residential urban decentral heat,0.0
Link,co2 sequestered,co2 stored,-0.04369
Store,co2 sequestered,co2 sequestered,-0.06538
Link,H2 Electrolysis,AC,-0.57469
Store,H2 Store,H2,-0.61217
Link,home battery discharger,home battery,-76729.00762
Link,home battery charger,low voltage,-78310.50001
Link,V2G,EV battery,-1549817.8494
Link,services rural air heat pump,low voltage,-2789668.99109
Link,residential rural air heat pump,low voltage,-5254330.07575
StorageUnit,PHS,AC,-7095867.44642
Link,battery discharger,battery,-36302798.05689
Link,battery charger,AC,-37051387.52828
Link,DC,AC,-48550876.97822
Link,services rural ground heat pump,low voltage,-59292501.9143
Line,AC,AC,-68466964.25089
Link,services urban decentral air heat pump,low voltage,-128686172.91064
Link,residential rural ground heat pump,low voltage,-161021751.97584
Load,services rural heat,services rural heat,-204568447.88144
Load,services urban decentral heat,services urban decentral heat,-290777053.14145
Link,residential urban decentral air heat pump,low voltage,-332291417.8361
Load,residential rural heat,residential rural heat,-547909224.68024
Link,urban central air heat pump,low voltage,-590822826.65762
Load,residential urban decentral heat,residential urban decentral heat,-750011223.64407
Load,land transport EV,EV battery,-980491450.39726
Link,BEV charger,low voltage,-1091156963.95133
Load,urban central heat,urban central heat,-1795359777.45503
Load,electricity,low voltage,-2593690274.57493
Link,electricity distribution grid,AC,-4959549526.38084
