component,location,carrier,0
StorageUnit,AL0 0,hydro,0.36789947359082037
StorageUnit,AT0 0,PHS,0.2159079309109422
StorageUnit,AT0 0,hydro,0.4665376304811262
StorageUnit,BA0 0,PHS,0.004199636363636364
StorageUnit,BA0 0,hydro,0.4135923766563293
StorageUnit,BE0 0,PHS,0.010159418960244648
StorageUnit,BE0 0,hydro,0.46323357938765686
StorageUnit,BG0 0,PHS,0.10551696759259259
StorageUnit,BG0 0,hydro,0.20096935287823223
StorageUnit,CH0 0,PHS,0.07998030171021331
StorageUnit,CH0 0,hydro,0.24363388453539928
StorageUnit,CZ0 0,PHS,0.005876633087790648
StorageUnit,CZ0 0,hydro,0.38639850076651167
StorageUnit,DE0 0,PHS,0.007548710601719198
StorageUnit,DE0 1,PHS,0.008503398043065803
StorageUnit,ES0 0,PHS,0.21673296125147531
StorageUnit,ES0 0,hydro,0.24467495615756832
StorageUnit,ES6 0,PHS,0.07458370737394346
StorageUnit,ES6 0,hydro,0.24434224873563043
StorageUnit,FI1 0,hydro,0.4892198804440649
StorageUnit,FR0 0,PHS,0.03995639287283005
StorageUnit,FR0 0,hydro,0.46064524181173494
StorageUnit,FR5 0,hydro,0.45776260482715864
StorageUnit,GB3 0,PHS,0.04072725
StorageUnit,GB3 0,hydro,0.11737187358916477
StorageUnit,GR0 0,PHS,0.027460457796852644
StorageUnit,GR0 0,hydro,0.24263760327357753
StorageUnit,HR0 0,PHS,0.10621314611314611
StorageUnit,HR0 0,hydro,0.5046081791844677
StorageUnit,HU0 0,hydro,0.4036146428571428
StorageUnit,IE3 0,PHS,0.020634591836734696
StorageUnit,IE3 0,hydro,0.20294
StorageUnit,IT0 0,PHS,0.10219319450821251
StorageUnit,IT0 0,hydro,0.44376880375293193
StorageUnit,IT4 0,PHS,0.04810810975609756
StorageUnit,IT4 0,hydro,0.4139460784313725
StorageUnit,LT0 0,PHS,0.034137299999999995
StorageUnit,LU0 0,PHS,0.012811375579598144
StorageUnit,ME0 0,PHS,0.025378078175895765
StorageUnit,ME0 0,hydro,0.561504546890808
StorageUnit,MK0 0,hydro,0.27442180592991916
StorageUnit,NO1 0,PHS,0.2683061886470337
StorageUnit,NO1 0,hydro,0.406794434121896
StorageUnit,PL0 0,PHS,0.019159595761381473
StorageUnit,PL0 0,hydro,0.7360231290350376
StorageUnit,PT0 0,PHS,0.17450709915880705
StorageUnit,PT0 0,hydro,0.32055856152900414
StorageUnit,RO0 0,hydro,0.1924803413079727
StorageUnit,RS0 0,PHS,0.020782117263843648
StorageUnit,RS0 0,hydro,0.41245641058093907
StorageUnit,SE1 0,PHS,0.3076677173913044
StorageUnit,SE1 0,hydro,0.4724188354864764
StorageUnit,SI0 0,PHS,0.026942499999999998
StorageUnit,SI0 0,hydro,0.4291489092139745
StorageUnit,SK0 0,PHS,0.01899044400136167
StorageUnit,SK0 0,hydro,0.2906881728045326
StorageUnit,XK0 0,hydro,0.19419571428571428
Load,AL0 0,electricity,
Load,AL0 0,land transport EV,
Load,AL0 0,residential rural heat,
Load,AL0 0,residential urban decentral heat,
Load,AL0 0,services rural heat,
Load,AL0 0,services urban decentral heat,
Load,AL0 0,urban central heat,
Load,AT0 0,electricity,
Load,AT0 0,land transport EV,
Load,AT0 0,residential rural heat,
Load,AT0 0,residential urban decentral heat,
Load,AT0 0,services rural heat,
Load,AT0 0,services urban decentral heat,
Load,AT0 0,urban central heat,
Load,BA0 0,electricity,
Load,BA0 0,land transport EV,
Load,BA0 0,residential rural heat,
Load,BA0 0,residential urban decentral heat,
Load,BA0 0,services rural heat,
Load,BA0 0,services urban decentral heat,
Load,BA0 0,urban central heat,
Load,BE0 0,electricity,
Load,BE0 0,land transport EV,
Load,BE0 0,residential rural heat,
Load,BE0 0,residential urban decentral heat,
Load,BE0 0,services rural heat,
Load,BE0 0,services urban decentral heat,
Load,BE0 0,urban central heat,
Load,BG0 0,electricity,
Load,BG0 0,land transport EV,
Load,BG0 0,residential rural heat,
Load,BG0 0,residential urban decentral heat,
Load,BG0 0,services rural heat,
Load,BG0 0,services urban decentral heat,
Load,BG0 0,urban central heat,
Load,CH0 0,electricity,
Load,CH0 0,land transport EV,
Load,CH0 0,residential rural heat,
Load,CH0 0,residential urban decentral heat,
Load,CH0 0,services rural heat,
Load,CH0 0,services urban decentral heat,
Load,CH0 0,urban central heat,
Load,CZ0 0,electricity,
Load,CZ0 0,land transport EV,
Load,CZ0 0,residential rural heat,
Load,CZ0 0,residential urban decentral heat,
Load,CZ0 0,services rural heat,
Load,CZ0 0,services urban decentral heat,
Load,CZ0 0,urban central heat,
Load,DE0 0,electricity,
Load,DE0 0,land transport EV,
Load,DE0 0,residential rural heat,
Load,DE0 0,residential urban decentral heat,
Load,DE0 0,services rural heat,
Load,DE0 0,services urban decentral heat,
Load,DE0 0,urban central heat,
Load,DE0 1,electricity,
Load,DE0 1,land transport EV,
Load,DE0 1,residential rural heat,
Load,DE0 1,residential urban decentral heat,
Load,DE0 1,services rural heat,
Load,DE0 1,services urban decentral heat,
Load,DE0 1,urban central heat,
