cost,component,location,carrier,0
capital,Generator,AL0 0,load,0.0
capital,Generator,AL0 0,offwind-ac,764413649.74622
capital,Generator,AL0 0,offwind-dc,1130335482.81135
capital,Generator,AL0 0,onwind,6654.26709
capital,Generator,AL0 0,ror,14853811.92575
capital,Generator,AL0 0,solar,30367.63146
capital,Generator,AL0 0,solar rooftop,90991.4949
capital,Generator,AL0 0,solar-hsat,12928.85411
capital,Generator,AT0 0,load,0.0
capital,Generator,AT0 0,onwind,7440.95836
capital,Generator,AT0 0,ror,1376929988.78063
capital,Generator,AT0 0,solar,5166149285.15889
capital,Generator,AT0 0,solar rooftop,13637786.78804
capital,Generator,AT0 0,solar-hsat,25300.07392
capital,Generator,BA0 0,load,0.0
capital,Generator,BA0 0,offwind-ac,7099.29571
capital,Generator,BA0 0,onwind,3782.86704
capital,Generator,BA0 0,solar,32259.20593
capital,Generator,BA0 0,solar rooftop,15116.09679
capital,Generator,BA0 0,solar-hsat,13863.93367
capital,Generator,BE0 0,load,0.0
capital,Generator,BE0 0,offwind-ac,154061531.55376
capital,Generator,BE0 0,offwind-dc,177045957.41881
capital,Generator,BE0 0,onwind,105128.08639
capital,Generator,BE0 0,ror,18186779.19648
capital,Generator,BE0 0,solar,24327.22507
capital,Generator,BE0 0,solar rooftop,14954.94842
capital,Generator,BE0 0,solar-hsat,12538.4919
capital,Generator,BG0 0,load,0.0
capital,Generator,BG0 0,offwind-ac,22252.45391
capital,Generator,BG0 0,offwind-dc,844464884.89099
capital,Generator,BG0 0,onwind,9352.00525
capital,Generator,BG0 0,ror,34022009.05814
capital,Generator,BG0 0,solar,69452.72158
capital,Generator,BG0 0,solar rooftop,33205.8036
capital,Generator,BG0 0,solar-hsat,18190.64798
capital,Generator,CH0 0,load,0.0
capital,Generator,CH0 0,onwind,2606.36592
capital,Generator,CH0 0,ror,1295123214.9052
capital,Generator,CH0 0,solar,3679037883.14307
capital,Generator,CH0 0,solar rooftop,565651972.39257
capital,Generator,CH0 0,solar-hsat,30657.83822
capital,Generator,CZ0 0,load,0.0
capital,Generator,CZ0 0,onwind,13854.01999
capital,Generator,CZ0 0,ror,12396579.18494
capital,Generator,CZ0 0,solar,14848.86402
capital,Generator,CZ0 0,solar rooftop,9847.0048
capital,Generator,CZ0 0,solar-hsat,9933.97787
capital,Generator,DE0 0,load,0.0
capital,Generator,DE0 0,offwind-ac,391030688.79447
capital,Generator,DE0 0,offwind-dc,4737849144.82929
capital,Generator,DE0 0,onwind,18294.17037
capital,Generator,DE0 0,ror,506429478.63486
capital,Generator,DE0 0,solar,18595.23714
capital,Generator,DE0 0,solar rooftop,13393.61071
capital,Generator,DE0 0,solar-hsat,11567.25616
capital,Generator,DE0 1,load,0.0
capital,Generator,DE0 1,offwind-ac,419738863.42357
capital,Generator,DE0 1,offwind-dc,55572570.49355
capital,Generator,DE0 1,onwind,8495.25381
capital,Generator,DE0 1,ror,1107467645.73254
capital,Generator,DE0 1,solar,41152.30936
capital,Generator,DE0 1,solar rooftop,19850.32604
capital,Generator,DE0 1,solar-hsat,14768.56539
capital,Generator,DK0 0,load,0.0
capital,Generator,DK0 0,offwind-ac,29004.77776
capital,Generator,DK0 0,offwind-dc,121207.07285
capital,Generator,DK0 0,onwind,651460018.75781
capital,Generator,DK0 0,solar,5252.95615
capital,Generator,DK0 0,solar rooftop,3788.58913
capital,Generator,DK0 0,solar-hsat,4794.61997
capital,Generator,DK1 0,load,0.0
capital,Generator,DK1 0,offwind-ac,2116793584.74888
capital,Generator,DK1 0,offwind-dc,663919206.54892
capital,Generator,DK1 0,onwind,1509431158.8765
capital,Generator,DK1 0,solar,9059.85404
capital,Generator,DK1 0,solar rooftop,6716.43861
capital,Generator,DK1 0,solar-hsat,6407.59948
capital,Generator,EE0 0,load,0.0
capital,Generator,EE0 0,offwind-ac,66887.14371
capital,Generator,EE0 0,offwind-dc,32702.26678
capital,Generator,EE0 0,onwind,2542817146.62159
capital,Generator,EE0 0,solar,5563.79285
capital,Generator,EE0 0,solar rooftop,4168.28805
capital,Generator,EE0 0,solar-hsat,4672.67355
capital,Generator,ES0 0,load,0.0
capital,Generator,ES0 0,offwind-ac,13782.71627
capital,Generator,ES0 0,offwind-dc,17411.09374
capital,Generator,ES0 0,onwind,7875696813.19326
capital,Generator,ES0 0,ror,40062148.34745
capital,Generator,ES0 0,solar,8727613964.94847
capital,Generator,ES0 0,solar rooftop,2355770528.09324
capital,Generator,ES0 0,solar-hsat,28785.19851
capital,Generator,ES6 0,load,0.0
capital,Generator,ES6 0,offwind-ac,8575.58146
capital,Generator,ES6 0,offwind-dc,8813.545
capital,Generator,ES6 0,onwind,119086067.44671
capital,Generator,ES6 0,ror,45303586.30495
capital,Generator,ES6 0,solar,13195.37048
capital,Generator,ES6 0,solar rooftop,16361.03962
capital,Generator,ES6 0,solar-hsat,8003.571
capital,Generator,EU,load,0.0
capital,Generator,FI1 0,load,0.0
capital,Generator,FI1 0,offwind-ac,495445738.19012
capital,Generator,FI1 0,offwind-dc,9280815524.49453
capital,Generator,FI1 0,onwind,167513.31835
capital,Generator,FI1 0,ror,453195348.92122
capital,Generator,FI1 0,solar,4723.52594
capital,Generator,FI1 0,solar rooftop,4150.91476
capital,Generator,FI1 0,solar-hsat,4519.21573
capital,Generator,FR0 0,load,0.0
capital,Generator,FR0 0,offwind-ac,37971.49461
capital,Generator,FR0 0,offwind-dc,48192840718.0557
capital,Generator,FR0 0,onwind,11757.00934
capital,Generator,FR0 0,ror,2104829751.47617
capital,Generator,FR0 0,solar,20006.61064
capital,Generator,FR0 0,solar rooftop,16298.34187
capital,Generator,FR0 0,solar-hsat,12416.24218
capital,Generator,FR5 0,load,0.0
capital,Generator,FR5 0,offwind-ac,9344.21385
capital,Generator,FR5 0,offwind-dc,13355.44708
capital,Generator,FR5 0,onwind,8076.34511
capital,Generator,FR5 0,ror,45627745.23532
capital,Generator,FR5 0,solar,322810352.82709
capital,Generator,FR5 0,solar rooftop,15983439.89805
capital,Generator,FR5 0,solar-hsat,14630.7873
capital,Generator,GB2 0,load,0.0
capital,Generator,GB2 0,offwind-ac,21554870837.82314
capital,Generator,GB2 0,offwind-dc,22884.80933
capital,Generator,GB2 0,onwind,7346049006.50022
capital,Generator,GB2 0,ror,678984076.15559
capital,Generator,GB2 0,solar,7870.90029
capital,Generator,GB2 0,solar rooftop,7333.32991
capital,Generator,GB2 0,solar-hsat,6482.86157
capital,Generator,GB3 0,load,0.0
capital,Generator,GB3 0,offwind-ac,1095358190.80777
capital,Generator,GB3 0,offwind-dc,3829644200.56225
capital,Generator,GB3 0,onwind,1588900159.38583
capital,Generator,GB3 0,ror,441577325.90046
capital,Generator,GB3 0,solar,4375.91173
capital,Generator,GB3 0,solar rooftop,3208.9838
capital,Generator,GB3 0,solar-hsat,4063.74234
capital,Generator,GR0 0,load,0.0
capital,Generator,GR0 0,offwind-ac,15516.21738
capital,Generator,GR0 0,offwind-dc,21230.95296
capital,Generator,GR0 0,onwind,953976303.10099
capital,Generator,GR0 0,ror,31772365.34325
capital,Generator,GR0 0,solar,3543618964.14637
capital,Generator,GR0 0,solar rooftop,566809922.57424
capital,Generator,GR0 0,solar-hsat,26705.56359
capital,Generator,HR0 0,load,0.0
capital,Generator,HR0 0,offwind-ac,390307707.85477
capital,Generator,HR0 0,offwind-dc,286726.81768
capital,Generator,HR0 0,onwind,18673.45857
capital,Generator,HR0 0,ror,85877138.08148
capital,Generator,HR0 0,solar,15738.6198
capital,Generator,HR0 0,solar rooftop,11672.01412
capital,Generator,HR0 0,solar-hsat,9641.81532
capital,Generator,HU0 0,load,0.0
capital,Generator,HU0 0,onwind,5958078038.44942
capital,Generator,HU0 0,ror,6070956.3265
capital,Generator,HU0 0,solar,12066.10923
capital,Generator,HU0 0,solar rooftop,8977.5772
capital,Generator,HU0 0,solar-hsat,8742.85723
capital,Generator,IE3 0,load,0.0
capital,Generator,IE3 0,offwind-ac,8884600435.45204
capital,Generator,IE3 0,offwind-dc,5767318266.31763
capital,Generator,IE3 0,onwind,28473.33233
capital,Generator,IE3 0,ror,66564800.33115
capital,Generator,IE3 0,solar,6148.10886
capital,Generator,IE3 0,solar rooftop,4840.5479
capital,Generator,IE3 0,solar-hsat,5548.22632
capital,Generator,IT0 0,load,0.0
capital,Generator,IT0 0,offwind-ac,14955.32688
capital,Generator,IT0 0,offwind-dc,25321556296.99645
capital,Generator,IT0 0,onwind,23231.38863
capital,Generator,IT0 0,ror,2385990614.24019
capital,Generator,IT0 0,solar,4288295522.25106
capital,Generator,IT0 0,solar rooftop,374056.95076
capital,Generator,IT0 0,solar-hsat,27126.59803
capital,Generator,IT4 0,load,0.0
capital,Generator,IT4 0,offwind-ac,18769.49225
capital,Generator,IT4 0,offwind-dc,24217.30528
capital,Generator,IT4 0,onwind,977458801.77533
capital,Generator,IT4 0,ror,39784795.01274
capital,Generator,IT4 0,solar,1143567510.52899
capital,Generator,IT4 0,solar rooftop,93400416.65401
capital,Generator,IT4 0,solar-hsat,17809.37321
capital,Generator,LT0 0,load,0.0
capital,Generator,LT0 0,offwind-ac,17037.00853
capital,Generator,LT0 0,offwind-dc,54806.47354
capital,Generator,LT0 0,onwind,11695.69016
capital,Generator,LT0 0,ror,31125207.56225
capital,Generator,LT0 0,solar,12071.29929
capital,Generator,LT0 0,solar rooftop,8358.47384
capital,Generator,LT0 0,solar-hsat,8979.66907
capital,Generator,LU0 0,load,0.0
capital,Generator,LU0 0,onwind,7140.24477
capital,Generator,LU0 0,solar,44393.00948
capital,Generator,LU0 0,solar rooftop,14951.25957
capital,Generator,LU0 0,solar-hsat,12100.27446
capital,Generator,LV0 0,load,0.0
capital,Generator,LV0 0,offwind-ac,28522.07768
capital,Generator,LV0 0,offwind-dc,130584.49327
capital,Generator,LV0 0,onwind,19400.19228
capital,Generator,LV0 0,ror,473380508.2809
capital,Generator,LV0 0,solar,12931.57862
capital,Generator,LV0 0,solar rooftop,8770.6603
capital,Generator,LV0 0,solar-hsat,8257.03008
capital,Generator,ME0 0,load,0.0
capital,Generator,ME0 0,offwind-ac,565084347.17113
capital,Generator,ME0 0,offwind-dc,453561671.47887
capital,Generator,ME0 0,onwind,3519.12308
capital,Generator,ME0 0,ror,1651793.1934
capital,Generator,ME0 0,solar,45013.65737
capital,Generator,ME0 0,solar rooftop,30701.63436
capital,Generator,ME0 0,solar-hsat,13665.47335
capital,Generator,MK0 0,load,0.0
capital,Generator,MK0 0,onwind,2293.32465
capital,Generator,MK0 0,ror,59045443.2567
capital,Generator,MK0 0,solar,406449931.09396
capital,Generator,MK0 0,solar rooftop,40084785.26563
capital,Generator,MK0 0,solar-hsat,16802.33424
capital,Generator,NL0 0,load,0.0
capital,Generator,NL0 0,offwind-ac,713043149.80455
capital,Generator,NL0 0,offwind-dc,779536651.41924
