component,carrier,location,bus_carrier,0
Generator,load,AL0 0,AC,0.01935
Generator,load,AL0 0,EV battery,0.0195
Generator,load,AL0 0,H2,0.0
Generator,load,AL0 0,battery,0.01931
Generator,load,AL0 0,home battery,0.01933
Generator,load,AL0 0,low voltage,0.01931
Generator,load,AL0 0,residential rural heat,0.0
Generator,load,AL0 0,residential urban decentral heat,0.0
Generator,load,AL0 0,services rural heat,0.0
Generator,load,AL0 0,services urban decentral heat,0.0
Generator,load,AL0 0,urban central heat,0.0
Generator,load,AT0 0,AC,0.01933
Generator,load,AT0 0,EV battery,0.01991
Generator,load,AT0 0,H2,0.00926
Generator,load,AT0 0,battery,0.01921
Generator,load,AT0 0,home battery,0.01923
Generator,load,AT0 0,low voltage,0.01922
Generator,load,AT0 0,residential rural heat,0.0
Generator,load,AT0 0,residential urban decentral heat,0.0
Generator,load,AT0 0,services rural heat,0.0
Generator,load,AT0 0,services urban decentral heat,0.0
Generator,load,AT0 0,urban central heat,0.0
Generator,load,BA0 0,AC,0.01935
Generator,load,BA0 0,EV battery,0.01959
Generator,load,BA0 0,H2,0.0
Generator,load,BA0 0,battery,0.01931
Generator,load,BA0 0,home battery,0.01931
Generator,load,BA0 0,low voltage,0.01931
Generator,load,BA0 0,residential rural heat,0.0
Generator,load,BA0 0,residential urban decentral heat,0.0
Generator,load,BA0 0,services rural heat,0.0
Generator,load,BA0 0,services urban decentral heat,0.0
Generator,load,BA0 0,urban central heat,0.0
Generator,load,BE0 0,AC,0.01936
Generator,load,BE0 0,EV battery,0.01967
Generator,load,BE0 0,H2,0.00946
Generator,load,BE0 0,battery,0.01933
Generator,load,BE0 0,home battery,0.01932
Generator,load,BE0 0,low voltage,0.01932
Generator,load,BE0 0,residential rural heat,0.0
Generator,load,BE0 0,residential urban decentral heat,0.0
Generator,load,BE0 0,services rural heat,0.0
Generator,load,BE0 0,services urban decentral heat,0.0
Generator,load,BE0 0,urban central heat,0.0
Generator,load,BG0 0,AC,0.01933
Generator,load,BG0 0,EV battery,0.01996
Generator,load,BG0 0,H2,0.00813
Generator,load,BG0 0,battery,0.01925
Generator,load,BG0 0,home battery,0.01925
Generator,load,BG0 0,low voltage,0.01924
