cost,component,carrier,0
capital,Generator,load,0.0
capital,Generator,offwind-ac,70884824544.78857
capital,Generator,offwind-dc,123437423013.10788
capital,Generator,onwind,35085413966.56121
capital,Generator,ror,15121742314.61956
capital,Generator,solar,27283737743.87706
capital,Generator,solar rooftop,3649515169.98328
capital,Generator,solar-hsat,604217.50734
capital,Line,AC,9326520761.01341
capital,Link,BEV charger,0.0
capital,Link,DC,33339197408.7728
capital,Link,H2 Electrolysis,49843.36585
capital,Link,V2G,0.0
capital,Link,battery charger,980455668.04729
capital,Link,battery discharger,0.0
capital,Link,co2 sequestered,0.0
capital,Link,electricity distribution grid,46011670595.29694
capital,Link,home battery charger,313641.3746
capital,Link,home battery discharger,0.0
capital,Link,residential rural air heat pump,2486390753.61395
capital,Link,residential rural ground heat pump,20015954868.46398
capital,Link,residential urban decentral air heat pump,23229869623.51421
capital,Link,services rural air heat pump,1043270718.84558
capital,Link,services rural ground heat pump,7481295270.76358
capital,Link,services urban decentral air heat pump,9197053982.40076
capital,Link,urban central air heat pump,45739843241.51804
capital,StorageUnit,PHS,10238012412.75842
capital,StorageUnit,hydro,19440523664.00005
capital,Store,EV battery,0.0
capital,Store,H2 Store,67302.25569
capital,Store,battery,28575062486.17481
capital,Store,co2,0.0
capital,Store,co2 sequestered,1815.69546
capital,Store,co2 stored,4113.35267
capital,Store,home battery,595495.47865
marginal,Generator,load,455193.96282
marginal,Generator,offwind-ac,27961449.58168
marginal,Generator,offwind-dc,46608995.53289
marginal,Generator,onwind,13201813.04371
marginal,Generator,ror,1721384.48627
marginal,Generator,solar,20524104.71445
marginal,Generator,solar rooftop,2981937.43117
marginal,Generator,solar-hsat,269.7046
marginal,Link,BEV charger,10851804.36311
marginal,Link,DC,13027015.07065
marginal,Link,H2 Electrolysis,0.00775
marginal,Link,V2G,16102.28521
marginal,Link,battery charger,367262.15018
marginal,Link,battery discharger,356746.83094
marginal,Link,co2 sequestered,0.00043
marginal,Link,electricity distribution grid,50310204.43468
marginal,Link,home battery charger,898.90456
marginal,Link,home battery discharger,871.40091
marginal,Link,residential rural air heat pump,-130743.97975
marginal,Link,residential rural ground heat pump,-5259215.94504
marginal,Link,residential urban decentral air heat pump,-7666782.3676
marginal,Link,services rural air heat pump,-66778.33655
marginal,Link,services rural ground heat pump,-1963631.72192
marginal,Link,services urban decentral air heat pump,-2885576.36402
marginal,Link,urban central air heat pump,-17971519.71556
marginal,StorageUnit,PHS,203826.12291
marginal,StorageUnit,hydro,3331299.22427
marginal,Store,EV battery,-0.0
marginal,Store,H2 Store,-0.00802
marginal,Store,battery,-0.0
marginal,Store,co2,0.0
marginal,Store,co2 sequestered,0.00645
marginal,Store,co2 stored,-1e-05
marginal,Store,home battery,0.0
