component,carrier,bus_carrier,0
Link,electricity distribution grid,low voltage,4810685771.15346
Generator,offwind-dc,AC,1869235428.67645
Link,urban central air heat pump,urban central heat,1795359777.42798
Generator,offwind-ac,AC,1125921053.58935
Generator,solar,AC,1045018313.33592
Link,BEV charger,EV battery,982097840.13643
Link,residential urban decentral air heat pump,residential urban decentral heat,750011223.64406
Link,residential rural ground heat pump,residential rural heat,535065589.71271
Generator,onwind,AC,523117343.25627
StorageUnit,hydro,AC,341376088.02481
Link,services urban decentral air heat pump,services urban decentral heat,290777053.14145
Link,services rural ground heat pump,services rural heat,197923432.98026
Generator,ror,AC,170518528.75312
Generator,solar rooftop,low voltage,152904631.70992
Link,battery charger,battery,35590438.54431
Link,battery discharger,AC,34871366.2336
Link,residential rural air heat pump,residential rural heat,12843634.96753
Link,services rural air heat pump,services rural heat,6645014.90118
Link,V2G,low voltage,1445751.43959
Link,home battery charger,home battery,87064.15108
Link,home battery discharger,low voltage,85305.83123
Generator,solar-hsat,AC,13612.95946
Generator,load,EV battery,0.87235
Generator,load,AC,0.84131
Generator,load,home battery,0.83686
Generator,load,battery,0.83656
Generator,load,low voltage,0.83647
Link,H2 Electrolysis,H2,0.54341
Generator,load,H2,0.25589
Generator,load,co2 stored,0.04846
Link,co2 sequestered,co2 sequestered,0.04717
Link,H2 Electrolysis,urban central heat,0.02701
Generator,load,co2 sequestered,0.02405
Store,EV battery,EV battery,-0.0
Store,battery,battery,-0.0
Store,co2,co2,0.0
Store,home battery,home battery,0.0
Generator,load,residential urban decentral heat,0.0
Generator,load,none,0.0
Generator,load,co2,0.0
Generator,load,services rural heat,0.0
Generator,load,services urban decentral heat,0.0
Generator,load,urban central heat,0.0
Generator,load,residential rural heat,0.0
Store,co2 stored,co2 stored,-0.00128
Link,co2 sequestered,co2 stored,-0.04717
Store,co2 sequestered,co2 sequestered,-0.07122
Link,H2 Electrolysis,AC,-0.77697
Store,H2 Store,H2,-0.7993
Link,home battery discharger,home battery,-87064.89942
Link,home battery charger,low voltage,-88859.47709
Link,V2G,EV battery,-1606390.48844
Link,services rural air heat pump,low voltage,-2656728.56849
Link,residential rural air heat pump,low voltage,-5048274.21005
StorageUnit,PHS,AC,-7088205.36108
Link,battery discharger,battery,-35590439.12752
Link,battery charger,AC,-36324339.23144
Link,DC,AC,-50103873.069
Line,AC,AC,-56976072.31603
Link,services rural ground heat pump,low voltage,-59399923.64686
Link,services urban decentral air heat pump,low voltage,-128686172.91064
Link,residential rural ground heat pump,low voltage,-161217160.72834
Load,services rural heat,services rural heat,-204568447.88144
Load,services urban decentral heat,services urban decentral heat,-290777053.14145
Link,residential urban decentral air heat pump,low voltage,-332291417.8361
Load,residential rural heat,residential rural heat,-547909224.68024
Link,urban central air heat pump,low voltage,-590822826.65556
Load,residential urban decentral heat,residential urban decentral heat,-750011223.64407
Load,land transport EV,EV battery,-980491450.39726
Link,BEV charger,low voltage,-1091219822.37381
Load,urban central heat,urban central heat,-1795359777.45503
Load,electricity,low voltage,-2593690274.57493
Link,electricity distribution grid,AC,-4959579242.75529
