component,location,carrier,0
Generator,AL0 0,load,inf
Generator,AL0 0,offwind-ac,4145.04446
Generator,AL0 0,offwind-dc,5523.98916
Generator,AL0 0,onwind,0.0782
Generator,AL0 0,ror,48.2
Generator,AL0 0,solar,1.57548
Generator,AL0 0,solar rooftop,2.81771
Generator,AL0 0,solar-hsat,0.50747
Generator,AT0 0,load,inf
Generator,AT0 0,onwind,0.08615
Generator,AT0 0,ror,4468.08037
Generator,AT0 0,solar,176043.74523
Generator,AT0 0,solar rooftop,315.21529
Generator,AT0 0,solar-hsat,0.86125
Generator,BA0 0,load,inf
Generator,BA0 0,offwind-ac,0.03851
Generator,BA0 0,onwind,0.04381
Generator,BA0 0,solar,1.37016
Generator,BA0 0,solar rooftop,0.59224
Generator,BA0 0,solar-hsat,0.47522
Generator,BE0 0,load,inf
Generator,BE0 0,offwind-ac,831.48105
Generator,BE0 0,offwind-dc,871.22778
Generator,BE0 0,onwind,1.45486
Generator,BE0 0,ror,59.01534
Generator,BE0 0,solar,1.07876
Generator,BE0 0,solar rooftop,0.58179
Generator,BE0 0,solar-hsat,0.44031
Generator,BG0 0,load,inf
Generator,BG0 0,offwind-ac,0.15803
Generator,BG0 0,offwind-dc,3913.59047
Generator,BG0 0,onwind,0.10832
Generator,BG0 0,ror,110.4
Generator,BG0 0,solar,2.61965
Generator,BG0 0,solar rooftop,1.21166
Generator,BG0 0,solar-hsat,0.57475
Generator,CH0 0,load,inf
Generator,CH0 0,onwind,0.03018
Generator,CH0 0,ror,4202.6208
Generator,CH0 0,solar,125368.18878
Generator,CH0 0,solar rooftop,16186.25955
Generator,CH0 0,solar-hsat,1.08399
Generator,CZ0 0,load,inf
Generator,CZ0 0,onwind,0.16009
Generator,CZ0 0,ror,40.22638
Generator,CZ0 0,solar,0.58391
Generator,CZ0 0,solar rooftop,0.37576
Generator,CZ0 0,solar-hsat,0.31659
Generator,DE0 0,load,inf
Generator,DE0 0,offwind-ac,2104.1159
Generator,DE0 0,offwind-dc,21545.13665
Generator,DE0 0,onwind,0.2121
Generator,DE0 0,ror,1643.34253
Generator,DE0 0,solar,0.69326
Generator,DE0 0,solar rooftop,0.42616
Generator,DE0 0,solar-hsat,0.35613
Generator,DE0 1,load,inf
Generator,DE0 1,offwind-ac,2268.161
Generator,DE0 1,offwind-dc,268.44272
Generator,DE0 1,onwind,0.10226
Generator,DE0 1,ror,3593.68631
Generator,DE0 1,solar,1.5511
Generator,DE0 1,solar rooftop,0.67768
Generator,DE0 1,solar-hsat,0.45649
Generator,DK0 0,load,inf
