component,location,carrier,0
StorageUnit,AL0 0,hydro,0.3680474478026853
StorageUnit,AT0 0,PHS,0.2224406445043652
StorageUnit,AT0 0,hydro,0.46665376557503585
StorageUnit,BA0 0,PHS,0.0038908636363636363
StorageUnit,BA0 0,hydro,0.4137206653510009
StorageUnit,BE0 0,PHS,0.009105802752293578
StorageUnit,BE0 0,hydro,0.46825333885064546
StorageUnit,BG0 0,PHS,0.1056347800925926
StorageUnit,BG0 0,hydro,0.20102411253207556
StorageUnit,CH0 0,PHS,0.08050676155886874
StorageUnit,CH0 0,hydro,0.24365619391996385
StorageUnit,CZ0 0,PHS,0.0054247218671541865
StorageUnit,CZ0 0,hydro,0.38669969667922216
StorageUnit,DE0 0,PHS,0.008110640683877651
StorageUnit,DE0 1,PHS,0.008714000648998929
StorageUnit,ES0 0,PHS,0.21445777671087637
StorageUnit,ES0 0,hydro,0.24471890254893022
StorageUnit,ES6 0,PHS,0.07439020693675313
StorageUnit,ES6 0,hydro,0.24440595286385744
StorageUnit,FI1 0,hydro,0.4895422117847993
StorageUnit,FR0 0,PHS,0.039357307640891466
StorageUnit,FR0 0,hydro,0.46072679413790985
StorageUnit,FR5 0,hydro,0.45901259125088545
StorageUnit,GB3 0,PHS,0.04007968181818182
StorageUnit,GB3 0,hydro,0.11822966139954853
StorageUnit,GR0 0,PHS,0.027629928469241775
StorageUnit,GR0 0,hydro,0.24267889711613408
StorageUnit,HR0 0,PHS,0.10855327635327636
StorageUnit,HR0 0,hydro,0.5047749440262667
StorageUnit,HU0 0,hydro,0.40655428571428576
StorageUnit,IE3 0,PHS,0.018992168367346938
StorageUnit,IE3 0,hydro,0.20328
StorageUnit,IT0 0,PHS,0.1052390023548927
StorageUnit,IT0 0,hydro,0.4439227203870211
StorageUnit,IT4 0,PHS,0.04782796341463415
StorageUnit,IT4 0,hydro,0.4140899019607843
StorageUnit,LT0 0,PHS,0.03194484444444445
StorageUnit,LU0 0,PHS,0.012492720247295207
StorageUnit,ME0 0,PHS,0.024761498371335504
StorageUnit,ME0 0,hydro,0.5621263273239584
StorageUnit,MK0 0,hydro,0.275043692722372
StorageUnit,NO1 0,PHS,0.2634492530943235
StorageUnit,NO1 0,hydro,0.4068106240304854
StorageUnit,PL0 0,PHS,0.017175412087912085
StorageUnit,PL0 0,hydro,0.7382652016994249
StorageUnit,PT0 0,PHS,0.17351281417282693
StorageUnit,PT0 0,hydro,0.3206217391304348
StorageUnit,RO0 0,hydro,0.19248496384220914
StorageUnit,RS0 0,PHS,0.020322638436482084
StorageUnit,RS0 0,hydro,0.41284857612960385
StorageUnit,SE1 0,PHS,0.31245206521739133
StorageUnit,SE1 0,hydro,0.4724896436927439
StorageUnit,SI0 0,PHS,0.025731944444444446
StorageUnit,SI0 0,hydro,0.4298666412121001
StorageUnit,SK0 0,PHS,0.020002857073384235
StorageUnit,SK0 0,hydro,0.2914192988668555
StorageUnit,XK0 0,hydro,0.19581514285714285
Load,AL0 0,electricity,
Load,AL0 0,land transport EV,
Load,AL0 0,residential rural heat,
Load,AL0 0,residential urban decentral heat,
Load,AL0 0,services rural heat,
Load,AL0 0,services urban decentral heat,
Load,AL0 0,urban central heat,
Load,AT0 0,electricity,
Load,AT0 0,land transport EV,
Load,AT0 0,residential rural heat,
Load,AT0 0,residential urban decentral heat,
Load,AT0 0,services rural heat,
Load,AT0 0,services urban decentral heat,
Load,AT0 0,urban central heat,
Load,BA0 0,electricity,
Load,BA0 0,land transport EV,
Load,BA0 0,residential rural heat,
Load,BA0 0,residential urban decentral heat,
Load,BA0 0,services rural heat,
Load,BA0 0,services urban decentral heat,
Load,BA0 0,urban central heat,
Load,BE0 0,electricity,
Load,BE0 0,land transport EV,
Load,BE0 0,residential rural heat,
Load,BE0 0,residential urban decentral heat,
Load,BE0 0,services rural heat,
Load,BE0 0,services urban decentral heat,
Load,BE0 0,urban central heat,
Load,BG0 0,electricity,
Load,BG0 0,land transport EV,
Load,BG0 0,residential rural heat,
Load,BG0 0,residential urban decentral heat,
Load,BG0 0,services rural heat,
Load,BG0 0,services urban decentral heat,
Load,BG0 0,urban central heat,
