cost,component,location,carrier,0
capital,Generator,AL0 0,load,0.0
capital,Generator,AL0 0,offwind-ac,765153308.55502
capital,Generator,AL0 0,offwind-dc,1130332524.1169
capital,Generator,AL0 0,onwind,7360.8582
capital,Generator,AL0 0,ror,14853811.92575
capital,Generator,AL0 0,solar,46233.84368
capital,Generator,AL0 0,solar rooftop,98468.69988
capital,Generator,AL0 0,solar-hsat,17985.67389
capital,Generator,AT0 0,load,0.0
capital,Generator,AT0 0,onwind,8109.18028
capital,Generator,AT0 0,ror,1376929988.78063
capital,Generator,AT0 0,solar,5166143883.66602
capital,Generator,AT0 0,solar rooftop,11015622.48539
capital,Generator,AT0 0,solar-hsat,30524.02464
capital,Generator,BA0 0,load,0.0
capital,Generator,BA0 0,offwind-ac,7020.01729
capital,Generator,BA0 0,onwind,4123.65479
capital,Generator,BA0 0,solar,40208.2997
capital,Generator,BA0 0,solar rooftop,20696.79536
capital,Generator,BA0 0,solar-hsat,16842.69663
capital,Generator,BE0 0,load,0.0
capital,Generator,BE0 0,offwind-ac,154061529.84757
capital,Generator,BE0 0,offwind-dc,177045956.08496
capital,Generator,BE0 0,onwind,136944.63114
capital,Generator,BE0 0,ror,18186779.19648
capital,Generator,BE0 0,solar,31657.15689
capital,Generator,BE0 0,solar rooftop,20331.48918
capital,Generator,BE0 0,solar-hsat,15605.26014
capital,Generator,BG0 0,load,0.0
capital,Generator,BG0 0,offwind-ac,29189.80683
capital,Generator,BG0 0,offwind-dc,844598455.41208
capital,Generator,BG0 0,onwind,10196.29267
capital,Generator,BG0 0,ror,34022009.05814
capital,Generator,BG0 0,solar,76875.76133
capital,Generator,BG0 0,solar rooftop,42343.17241
capital,Generator,BG0 0,solar-hsat,20370.17803
capital,Generator,CH0 0,load,0.0
capital,Generator,CH0 0,onwind,2840.38838
capital,Generator,CH0 0,ror,1295123214.9052
capital,Generator,CH0 0,solar,3679029327.63192
capital,Generator,CH0 0,solar rooftop,565650618.94646
capital,Generator,CH0 0,solar-hsat,38418.24996
capital,Generator,CZ0 0,load,0.0
capital,Generator,CZ0 0,onwind,15068.83861
capital,Generator,CZ0 0,ror,12396579.18494
capital,Generator,CZ0 0,solar,17135.41853
capital,Generator,CZ0 0,solar rooftop,13131.50486
capital,Generator,CZ0 0,solar-hsat,11220.38537
capital,Generator,DE0 0,load,0.0
capital,Generator,DE0 0,offwind-ac,391030569.00931
capital,Generator,DE0 0,offwind-dc,4737849006.69131
capital,Generator,DE0 0,onwind,19965.14654
capital,Generator,DE0 0,ror,506429478.63486
capital,Generator,DE0 0,solar,20344.3525
capital,Generator,DE0 0,solar rooftop,14892.74103
capital,Generator,DE0 0,solar-hsat,12621.7055
capital,Generator,DE0 1,load,0.0
capital,Generator,DE0 1,offwind-ac,419738808.29475
capital,Generator,DE0 1,offwind-dc,55572570.36539
capital,Generator,DE0 1,onwind,9625.32442
capital,Generator,DE0 1,ror,1107467645.73254
capital,Generator,DE0 1,solar,45518.24044
capital,Generator,DE0 1,solar rooftop,23682.52603
capital,Generator,DE0 1,solar-hsat,16178.71051
capital,Generator,DK0 0,load,0.0
capital,Generator,DK0 0,offwind-ac,34426.89576
capital,Generator,DK0 0,offwind-dc,137858.09233
capital,Generator,DK0 0,onwind,645633876.87661
capital,Generator,DK0 0,solar,5922.1707
capital,Generator,DK0 0,solar rooftop,5450.83664
capital,Generator,DK0 0,solar-hsat,5378.30978
capital,Generator,DK1 0,load,0.0
capital,Generator,DK1 0,offwind-ac,2116792392.85157
capital,Generator,DK1 0,offwind-dc,663918301.49443
capital,Generator,DK1 0,onwind,1509431075.68609
capital,Generator,DK1 0,solar,12765.83819
capital,Generator,DK1 0,solar rooftop,8610.60088
capital,Generator,DK1 0,solar-hsat,8729.23105
capital,Generator,EE0 0,load,0.0
capital,Generator,EE0 0,offwind-ac,80007.04562
capital,Generator,EE0 0,offwind-dc,43223.0395
capital,Generator,EE0 0,onwind,2542797143.10179
capital,Generator,EE0 0,solar,6764.27635
capital,Generator,EE0 0,solar rooftop,5511.62559
capital,Generator,EE0 0,solar-hsat,5594.49557
capital,Generator,ES0 0,load,0.0
capital,Generator,ES0 0,offwind-ac,15260.07443
capital,Generator,ES0 0,offwind-dc,19010.81154
capital,Generator,ES0 0,onwind,7871327927.83998
capital,Generator,ES0 0,ror,40062148.34745
capital,Generator,ES0 0,solar,8734033055.07691
capital,Generator,ES0 0,solar rooftop,2355414770.59822
capital,Generator,ES0 0,solar-hsat,31393.57709
capital,Generator,ES6 0,load,0.0
capital,Generator,ES6 0,offwind-ac,9579.41531
capital,Generator,ES6 0,offwind-dc,9629.89726
capital,Generator,ES6 0,onwind,119049055.85668
capital,Generator,ES6 0,ror,45303586.30495
capital,Generator,ES6 0,solar,16819.64919
capital,Generator,ES6 0,solar rooftop,16741.56366
capital,Generator,ES6 0,solar-hsat,10822.56426
capital,Generator,EU,load,0.0
capital,Generator,FI1 0,load,0.0
capital,Generator,FI1 0,offwind-ac,494145771.52087
capital,Generator,FI1 0,offwind-dc,9280806352.8149
capital,Generator,FI1 0,onwind,181052.85396
capital,Generator,FI1 0,ror,453195348.92122
capital,Generator,FI1 0,solar,5544.42319
capital,Generator,FI1 0,solar rooftop,5737.10251
capital,Generator,FI1 0,solar-hsat,4999.53554
capital,Generator,FR0 0,load,0.0
capital,Generator,FR0 0,offwind-ac,44451.93028
capital,Generator,FR0 0,offwind-dc,48199520766.31393
capital,Generator,FR0 0,onwind,12836.6656
capital,Generator,FR0 0,ror,2104829751.47617
capital,Generator,FR0 0,solar,21860.29947
capital,Generator,FR0 0,solar rooftop,18014.80938
capital,Generator,FR0 0,solar-hsat,13565.60383
capital,Generator,FR5 0,load,0.0
capital,Generator,FR5 0,offwind-ac,10597.71464
capital,Generator,FR5 0,offwind-dc,15203.04231
capital,Generator,FR5 0,onwind,9342.67897
capital,Generator,FR5 0,ror,45627745.23532
capital,Generator,FR5 0,solar,322806479.36696
capital,Generator,FR5 0,solar rooftop,15982641.60979
capital,Generator,FR5 0,solar-hsat,18383.48759
capital,Generator,GB2 0,load,0.0
capital,Generator,GB2 0,offwind-ac,21554857322.71169
capital,Generator,GB2 0,offwind-dc,25122.04223
capital,Generator,GB2 0,onwind,7335598160.17772
capital,Generator,GB2 0,ror,678984076.15559
capital,Generator,GB2 0,solar,8592.41034
capital,Generator,GB2 0,solar rooftop,7993.87718
capital,Generator,GB2 0,solar-hsat,7074.94572
capital,Generator,GB3 0,load,0.0
capital,Generator,GB3 0,offwind-ac,1095358161.32351
capital,Generator,GB3 0,offwind-dc,3829742318.20048
capital,Generator,GB3 0,onwind,1588855309.64109
capital,Generator,GB3 0,ror,441577325.90046
capital,Generator,GB3 0,solar,5214.07234
capital,Generator,GB3 0,solar rooftop,4582.28356
capital,Generator,GB3 0,solar-hsat,4823.94131
capital,Generator,GR0 0,load,0.0
capital,Generator,GR0 0,offwind-ac,16868.54441
capital,Generator,GR0 0,offwind-dc,23066.60073
capital,Generator,GR0 0,onwind,952230271.41321
capital,Generator,GR0 0,ror,31772365.34325
capital,Generator,GR0 0,solar,3544557054.92548
capital,Generator,GR0 0,solar rooftop,566809234.10402
capital,Generator,GR0 0,solar-hsat,29559.71634
capital,Generator,HR0 0,load,0.0
capital,Generator,HR0 0,offwind-ac,390229058.1554
capital,Generator,HR0 0,offwind-dc,310134.73812
capital,Generator,HR0 0,onwind,21020.88275
capital,Generator,HR0 0,ror,85877138.08148
capital,Generator,HR0 0,solar,20865.84747
