component,carrier,location,bus_carrier,0
Generator,load,AL0 0,AC,0.02114
Generator,load,AL0 0,EV battery,0.02143
Generator,load,AL0 0,H2,0.0
Generator,load,AL0 0,battery,0.02103
Generator,load,AL0 0,home battery,0.02106
Generator,load,AL0 0,low voltage,0.02103
Generator,load,AL0 0,residential rural heat,0.0
Generator,load,AL0 0,residential urban decentral heat,0.0
Generator,load,AL0 0,services rural heat,0.0
Generator,load,AL0 0,services urban decentral heat,0.0
Generator,load,AL0 0,urban central heat,0.0
Generator,load,AT0 0,AC,0.02106
Generator,load,AT0 0,EV battery,0.02261
Generator,load,AT0 0,H2,0.0113
Generator,load,AT0 0,battery,0.02088
Generator,load,AT0 0,home battery,0.0209
Generator,load,AT0 0,low voltage,0.02089
Generator,load,AT0 0,residential rural heat,0.0
Generator,load,AT0 0,residential urban decentral heat,0.0
Generator,load,AT0 0,services rural heat,0.0
Generator,load,AT0 0,services urban decentral heat,0.0
Generator,load,AT0 0,urban central heat,0.0
Generator,load,BA0 0,AC,0.02114
Generator,load,BA0 0,EV battery,0.02155
Generator,load,BA0 0,H2,0.0
Generator,load,BA0 0,battery,0.02103
Generator,load,BA0 0,home battery,0.02102
Generator,load,BA0 0,low voltage,0.02103
Generator,load,BA0 0,residential rural heat,0.0
Generator,load,BA0 0,residential urban decentral heat,0.0
Generator,load,BA0 0,services rural heat,0.0
Generator,load,BA0 0,services urban decentral heat,0.0
Generator,load,BA0 0,urban central heat,0.0
Generator,load,BE0 0,AC,0.02114
Generator,load,BE0 0,EV battery,0.02173
Generator,load,BE0 0,H2,0.01142
Generator,load,BE0 0,battery,0.02106
Generator,load,BE0 0,home battery,0.02105
Generator,load,BE0 0,low voltage,0.02103
Generator,load,BE0 0,residential rural heat,0.0
Generator,load,BE0 0,residential urban decentral heat,0.0
Generator,load,BE0 0,services rural heat,0.0
Generator,load,BE0 0,services urban decentral heat,0.0
Generator,load,BE0 0,urban central heat,0.0
Generator,load,BG0 0,AC,0.02107
Generator,load,BG0 0,EV battery,0.0228
Generator,load,BG0 0,H2,0.00995
Generator,load,BG0 0,battery,0.02092
Generator,load,BG0 0,home battery,0.02092
Generator,load,BG0 0,low voltage,0.02091
Generator,load,BG0 0,residential rural heat,0.0
Generator,load,BG0 0,residential urban decentral heat,0.0
Generator,load,BG0 0,services rural heat,0.0
Generator,load,BG0 0,services urban decentral heat,0.0
Generator,load,BG0 0,urban central heat,0.0
Generator,load,CH0 0,AC,0.02105
Generator,load,CH0 0,EV battery,0.02266
Generator,load,CH0 0,H2,0.01129
Generator,load,CH0 0,battery,0.02088
Generator,load,CH0 0,home battery,0.02087
Generator,load,CH0 0,low voltage,0.02086
Generator,load,CH0 0,residential rural heat,0.0
Generator,load,CH0 0,residential urban decentral heat,0.0
Generator,load,CH0 0,services rural heat,0.0
Generator,load,CH0 0,services urban decentral heat,0.0
Generator,load,CH0 0,urban central heat,0.0
Generator,load,CZ0 0,AC,0.02105
Generator,load,CZ0 0,EV battery,0.02194
Generator,load,CZ0 0,H2,0.01133
Generator,load,CZ0 0,battery,0.02086
Generator,load,CZ0 0,home battery,0.02088
Generator,load,CZ0 0,low voltage,0.02087
Generator,load,CZ0 0,residential rural heat,0.0
Generator,load,CZ0 0,residential urban decentral heat,0.0
Generator,load,CZ0 0,services rural heat,0.0
Generator,load,CZ0 0,services urban decentral heat,0.0
Generator,load,CZ0 0,urban central heat,0.0
Generator,load,DE0 0,AC,0.02109
Generator,load,DE0 0,EV battery,0.02115
Generator,load,DE0 0,H2,0.0
Generator,load,DE0 0,battery,0.02099
Generator,load,DE0 0,home battery,0.02098
Generator,load,DE0 0,low voltage,0.02101
Generator,load,DE0 0,residential rural heat,0.0
Generator,load,DE0 0,residential urban decentral heat,0.0
