cost,component,carrier,0
capital,Generator,biogas,0.0
capital,Generator,coal,0.0
capital,Generator,gas,0.0
capital,Generator,load,0.0
capital,Generator,nuclear,116389970706.41312
capital,Generator,offwind-ac,18271844875.29862
capital,Generator,offwind-dc,6737771391.29021
capital,Generator,oil primary,0.0
capital,Generator,onwind,65788817013.51709
capital,Generator,residential rural solar thermal,5684270.7235
capital,Generator,residential urban decentral solar thermal,6082839.38714
capital,Generator,ror,15121742314.61956
capital,Generator,services rural solar thermal,5772799.35703
capital,Generator,services urban decentral solar thermal,5661065.77193
capital,Generator,solar,110126159603.15228
capital,Generator,solar rooftop,8495140719.87165
capital,Generator,solar-hsat,53208303.44682
capital,Generator,solid biomass,0.0
capital,Generator,urban central solar thermal,5872889.19622
capital,Line,AC,6936812159.8916
capital,Link,BEV charger,0.0
capital,Link,CCGT,20120641304.07678
capital,Link,DC,15167152394.86354
capital,Link,Fischer-Tropsch,11179798038.96854
capital,Link,H2 Electrolysis,51366994620.61687
capital,Link,H2 pipeline,2822319688.17931
capital,Link,HVC to air,0.0
capital,Link,SMR,6232227761.73191
capital,Link,SMR CC,4467827915.64905
capital,Link,agriculture machinery oil,0.0
capital,Link,battery charger,9448942.08165
capital,Link,battery discharger,0.0
capital,Link,co2 sequestered,0.0
capital,Link,coal for industry,0.0
capital,Link,electricity distribution grid,47667272252.8187
capital,Link,gas for industry,0.0
capital,Link,gas for industry CC,2675017677.72166
capital,Link,home battery charger,9962127.93934
capital,Link,home battery discharger,0.0
capital,Link,industry methanol,0.0
capital,Link,kerosene for aviation,0.0
capital,Link,land transport oil,0.0
capital,Link,methanolisation,2936798129.68743
capital,Link,naphtha for industry,0.0
capital,Link,oil refining,0.0
capital,Link,process emissions,0.0
capital,Link,process emissions CC,4014800475.73679
capital,Link,residential rural air heat pump,3406803592.799
capital,Link,residential rural ground heat pump,18784913967.15429
capital,Link,residential urban decentral air heat pump,35725550763.3046
capital,Link,services rural air heat pump,1357407228.36078
capital,Link,services rural ground heat pump,10262636424.16291
capital,Link,services urban decentral air heat pump,14322100479.70101
capital,Link,shipping methanol,0.0
