component,carrier,bus_carrier,0
Link,electricity distribution grid,low voltage,4956387744.85643
Generator,solar,AC,4409667924.64476
Link,H2 Electrolysis,H2,1934478836.50621
Generator,onwind,AC,1870941178.21037
Generator,oil primary,oil primary,1290552263.60138
Link,Fischer-Tropsch,oil,1282424724.54905
Link,oil refining,oil,1225296801.0311
Link,residential urban decentral air heat pump,residential urban decentral heat,1151990093.40073
Link,land transport oil,land transport oil,947303920.10051
Link,urban central air heat pump,urban central heat,918207170.86204
Generator,gas,gas,894856471.08493
Link,kerosene for aviation,kerosene for aviation,743906974.94772
Generator,solid biomass,solid biomass,697088681.34011
Link,BEV charger,EV battery,686343953.33773
Generator,nuclear,AC,651669997.83352
Link,solid biomass for industry CC,solid biomass for industry,627378151.15072
Link,residential rural ground heat pump,residential rural heat,523018796.89471
Link,gas for industry CC,gas for industry,510945734.41102
Link,naphtha for industry,naphtha for industry,504799998.61778
Link,services urban decentral air heat pump,services urban decentral heat,452226907.41401
Generator,offwind-ac,AC,413649254.34865
Link,services rural ground heat pump,services rural heat,400397479.3266
StorageUnit,hydro,AC,339137166.7045
Generator,solar rooftop,low voltage,320295419.97925
Link,methanolisation,methanol,285373330.42197
Link,shipping methanol,shipping methanol,276633335.84055
Link,shipping oil,shipping oil,260286821.53931
Link,land transport oil,co2,243551837.85784
Link,solid biomass for industry CC,co2 stored,242840655.13958
Store,non-sequestered HVC,non-sequestered HVC,221011435.239
Link,kerosene for aviation,co2,191258483.25906
Link,co2 sequestered,co2 sequestered,179986203.40877
Link,waste CHP CC,urban central heat,165106366.99102
Generator,ror,AC,161185684.68537
Link,process emissions CC,co2 stored,160273853.07554
Load,process emissions,process emissions,152570000.0
Generator,offwind-dc,AC,149020225.59172
Link,gas for industry CC,co2 stored,106787658.4919
Link,coal for industry,coal for industry,106061899.0208
Generator,coal,coal,106061899.02051
Link,H2 Electrolysis,urban central heat,93424027.75241
Link,CCGT,AC,82955409.56468
Link,SMR CC,H2,79247215.73667
Link,shipping methanol,co2,68607756.71252
