component,location,carrier,0
Generator,AL0 0,load,inf
Generator,AL0 0,offwind-ac,4.3167
Generator,AL0 0,offwind-dc,6.37077
Generator,AL0 0,onwind,234.06653
Generator,AL0 0,residential rural solar thermal,6.38556
Generator,AL0 0,residential urban decentral solar thermal,6.65412
Generator,AL0 0,ror,48.2
Generator,AL0 0,services rural solar thermal,5.96306
Generator,AL0 0,services urban decentral solar thermal,6.26778
Generator,AL0 0,solar,29728.47742
Generator,AL0 0,solar rooftop,265.28945
Generator,AL0 0,solar-hsat,34.25825
Generator,AL0 0,urban central solar thermal,9.33736
Generator,AT0 0,load,inf
Generator,AT0 0,onwind,3235.10139
Generator,AT0 0,residential rural solar thermal,6.37001
Generator,AT0 0,residential urban decentral solar thermal,6.91338
Generator,AT0 0,ror,4468.08037
Generator,AT0 0,services rural solar thermal,6.02254
Generator,AT0 0,services urban decentral solar thermal,5.72614
Generator,AT0 0,solar,175984.22948
Generator,AT0 0,solar rooftop,18100.91621
Generator,AT0 0,solar-hsat,43.1269
Generator,AT0 0,urban central solar thermal,11.67004
Generator,BA0 0,load,inf
Generator,BA0 0,offwind-ac,0.7614
Generator,BA0 0,onwind,435.07927
Generator,BA0 0,residential rural solar thermal,5.54723
Generator,BA0 0,residential urban decentral solar thermal,5.88999
Generator,BA0 0,services rural solar thermal,4.90223
Generator,BA0 0,services urban decentral solar thermal,5.02359
Generator,BA0 0,solar,9210.27917
Generator,BA0 0,solar rooftop,129.36579
Generator,BA0 0,solar-hsat,38.74554
Generator,BA0 0,urban central solar thermal,7.53568
Generator,BE0 0,load,inf
Generator,BE0 0,nuclear,5931.03438
Generator,BE0 0,offwind-ac,2261.8
Generator,BE0 0,offwind-dc,20.41923
Generator,BE0 0,onwind,15228.41131
Generator,BE0 0,residential rural solar thermal,3.48727
Generator,BE0 0,residential urban decentral solar thermal,4.78573
Generator,BE0 0,ror,59.01534
Generator,BE0 0,services rural solar thermal,4.31647
Generator,BE0 0,services urban decentral solar thermal,4.43778
Generator,BE0 0,solar,76193.23737
Generator,BE0 0,solar rooftop,31.58264
Generator,BE0 0,solar-hsat,46.7122
Generator,BE0 0,urban central solar thermal,7.42361
Generator,BG0 0,load,inf
Generator,BG0 0,nuclear,2080.00723
Generator,BG0 0,offwind-ac,7.97272
Generator,BG0 0,offwind-dc,6.2995
Generator,BG0 0,onwind,702.90455
Generator,BG0 0,residential rural solar thermal,5.30038
Generator,BG0 0,residential urban decentral solar thermal,6.00112
Generator,BG0 0,ror,110.4
Generator,BG0 0,services rural solar thermal,5.34134
Generator,BG0 0,services urban decentral solar thermal,5.34076
Generator,BG0 0,solar,43227.97607
Generator,BG0 0,solar rooftop,237.53096
Generator,BG0 0,solar-hsat,39.33206
Generator,BG0 0,urban central solar thermal,9.87059
Generator,CH0 0,load,inf
Generator,CH0 0,nuclear,3355.00742
Generator,CH0 0,onwind,87.05871
Generator,CH0 0,residential rural solar thermal,6.78625
Generator,CH0 0,residential urban decentral solar thermal,8.1979
Generator,CH0 0,ror,4202.6208
Generator,CH0 0,services rural solar thermal,6.0977
Generator,CH0 0,services urban decentral solar thermal,7.29505
Generator,CH0 0,solar,125298.27792
Generator,CH0 0,solar rooftop,16185.10042
Generator,CH0 0,solar-hsat,61.55244
Generator,CH0 0,urban central solar thermal,13.51341
Generator,CZ0 0,load,inf
Generator,CZ0 0,nuclear,4164.00972
Generator,CZ0 0,onwind,339.57311
Generator,CZ0 0,residential rural solar thermal,3.95445
Generator,CZ0 0,residential urban decentral solar thermal,4.3055
Generator,CZ0 0,ror,40.22638
Generator,CZ0 0,services rural solar thermal,4.00277
Generator,CZ0 0,services urban decentral solar thermal,3.73696
Generator,CZ0 0,solar,2173.72273
Generator,CZ0 0,solar rooftop,25.73692
Generator,CZ0 0,solar-hsat,30.99869
Generator,CZ0 0,urban central solar thermal,7.37956
Generator,DE0 0,load,inf
Generator,DE0 0,nuclear,15272.19356
Generator,DE0 0,offwind-ac,7858.0
Generator,DE0 0,offwind-dc,52.28031
Generator,DE0 0,onwind,30021.25915
Generator,DE0 0,residential rural solar thermal,4.90615
Generator,DE0 0,residential urban decentral solar thermal,5.62155
Generator,DE0 0,ror,1643.34253
Generator,DE0 0,services rural solar thermal,5.2578
Generator,DE0 0,services urban decentral solar thermal,5.17698
Generator,DE0 0,solar,60978.58444
Generator,DE0 0,solar rooftop,43.16174
Generator,DE0 0,solar-hsat,48.50143
Generator,DE0 0,urban central solar thermal,9.1971
Generator,DE0 1,load,inf
Generator,DE0 1,nuclear,7821.02212
Generator,DE0 1,offwind-ac,2267.90082
Generator,DE0 1,offwind-dc,268.4262
Generator,DE0 1,onwind,24393.36186
Generator,DE0 1,residential rural solar thermal,5.29269
Generator,DE0 1,residential urban decentral solar thermal,5.44507
Generator,DE0 1,ror,3593.68631
Generator,DE0 1,services rural solar thermal,5.26552
Generator,DE0 1,services urban decentral solar thermal,4.90398
Generator,DE0 1,solar,193284.20719
Generator,DE0 1,solar rooftop,49.08835
Generator,DE0 1,solar-hsat,41.10843
Generator,DE0 1,urban central solar thermal,9.96882
Generator,DK0 0,load,inf
Generator,DK0 0,offwind-ac,1602.74332
Generator,DK0 0,offwind-dc,4.14638
Generator,DK0 0,onwind,63021.91601
Generator,DK0 0,residential rural solar thermal,3.31689
Generator,DK0 0,residential urban decentral solar thermal,4.23806
Generator,DK0 0,services rural solar thermal,3.67533
Generator,DK0 0,services urban decentral solar thermal,3.53025
Generator,DK0 0,solar,1638.68584
Generator,DK0 0,solar rooftop,12.88433
Generator,DK0 0,solar-hsat,22.97685
Generator,DK0 0,urban central solar thermal,7.20127
Generator,DK1 0,load,inf
Generator,DK1 0,offwind-ac,1050.17369
Generator,DK1 0,offwind-dc,3.2745
Generator,DK1 0,onwind,16035.48821
Generator,DK1 0,residential rural solar thermal,3.26881
Generator,DK1 0,residential urban decentral solar thermal,4.25889
Generator,DK1 0,services rural solar thermal,3.62114
Generator,DK1 0,services urban decentral solar thermal,3.58431
Generator,DK1 0,solar,4537.91982
Generator,DK1 0,solar rooftop,22.88497
Generator,DK1 0,solar-hsat,44.77839
Generator,DK1 0,urban central solar thermal,7.0407
Generator,EE0 0,load,inf
Generator,EE0 0,offwind-ac,4.91502
Generator,EE0 0,offwind-dc,4.12663
Generator,EE0 0,onwind,9700.58339
Generator,EE0 0,residential rural solar thermal,3.31599
Generator,EE0 0,residential urban decentral solar thermal,3.51729
Generator,EE0 0,services rural solar thermal,3.33244
Generator,EE0 0,services urban decentral solar thermal,3.19228
Generator,EE0 0,solar,1491.81173
Generator,EE0 0,solar rooftop,32.82051
Generator,EE0 0,solar-hsat,51.72916
Generator,EE0 0,urban central solar thermal,5.81381
Generator,ES0 0,load,inf
Generator,ES0 0,nuclear,4700.40839
Generator,ES0 0,offwind-ac,20.13321
Generator,ES0 0,offwind-dc,4.90385
Generator,ES0 0,onwind,30928.07739
Generator,ES0 0,residential rural solar thermal,10.35769
Generator,ES0 0,residential urban decentral solar thermal,12.35315
Generator,ES0 0,ror,130.0
Generator,ES0 0,services rural solar thermal,12.00522
Generator,ES0 0,services urban decentral solar thermal,10.50614
Generator,ES0 0,solar,852299.10513
Generator,ES0 0,solar rooftop,60476.38313
Generator,ES0 0,solar-hsat,48.99826
Generator,ES0 0,urban central solar thermal,22.1294
Generator,ES6 0,load,inf
Generator,ES6 0,nuclear,3032.80337
Generator,ES6 0,offwind-ac,1.6494
Generator,ES6 0,offwind-dc,2.37499
Generator,ES6 0,onwind,27.33321
Generator,ES6 0,residential rural solar thermal,4.97398
