component,location,carrier,0
Line,AL0 0,AC,0.4573411213701317
Line,AT0 0,AC,0.38021976428965915
Line,BA0 0,AC,0.39932563725744374
Line,BE0 0,AC,0.37391459390093307
Line,BG0 0,AC,0.4970180577846663
Line,CH0 0,AC,0.3900583135307248
Line,CZ0 0,AC,0.3046627326940044
Line,DE0 0,AC,0.33050720967925473
Line,DE0 1,AC,0.3449940128725436
Line,DK1 0,AC,0.5727763225611412
Line,EE0 0,AC,0.38152798431646645
Line,ES0 0,AC,0.5110454917569746
Line,FI1 0,AC,0.39920512228379057
Line,FR0 0,AC,0.4033794233324949
Line,GB3 0,AC,0.5435829388880432
Line,GR0 0,AC,0.5425866271131067
Line,HR0 0,AC,0.35022429622404594
Line,HU0 0,AC,0.44261721780763946
Line,IT0 0,AC,0.3706060415761297
Line,LT0 0,AC,0.3869007005470898
Line,ME0 0,AC,0.4882933509977556
Line,MK0 0,AC,0.5374824410871526
Line,NO1 0,AC,0.43638799523313604
Line,PL0 0,AC,0.388139474727647
Line,RO0 0,AC,0.3384106959655114
Line,RS0 0,AC,0.5269565363022052
Load,AL0 0,H2 for industry,
Load,AL0 0,agriculture electricity,
Load,AL0 0,agriculture heat,
Load,AL0 0,agriculture machinery electric,
Load,AL0 0,electricity,
Load,AL0 0,industry electricity,
Load,AL0 0,land transport EV,
Load,AL0 0,low-temperature heat for industry,
Load,AL0 0,residential rural heat,
Load,AL0 0,residential urban decentral heat,
Load,AL0 0,services rural heat,
Load,AL0 0,services urban decentral heat,
Load,AL0 0,urban central heat,
Load,AT0 0,H2 for industry,
Load,AT0 0,agriculture electricity,
Load,AT0 0,agriculture heat,
Load,AT0 0,agriculture machinery electric,
Load,AT0 0,electricity,
Load,AT0 0,industry electricity,
Load,AT0 0,land transport EV,
Load,AT0 0,low-temperature heat for industry,
Load,AT0 0,residential rural heat,
Load,AT0 0,residential urban decentral heat,
Load,AT0 0,services rural heat,
Load,AT0 0,services urban decentral heat,
Load,AT0 0,urban central heat,
Load,BA0 0,H2 for industry,
Load,BA0 0,agriculture electricity,
Load,BA0 0,agriculture heat,
Load,BA0 0,agriculture machinery electric,
Load,BA0 0,electricity,
Load,BA0 0,industry electricity,
Load,BA0 0,land transport EV,
Load,BA0 0,low-temperature heat for industry,
Load,BA0 0,residential rural heat,
Load,BA0 0,residential urban decentral heat,
Load,BA0 0,services rural heat,
Load,BA0 0,services urban decentral heat,
Load,BA0 0,urban central heat,
Load,BE0 0,H2 for industry,
Load,BE0 0,agriculture electricity,
Load,BE0 0,agriculture heat,
Load,BE0 0,agriculture machinery electric,
Load,BE0 0,electricity,
Load,BE0 0,industry electricity,
Load,BE0 0,land transport EV,
Load,BE0 0,low-temperature heat for industry,
Load,BE0 0,residential rural heat,
Load,BE0 0,residential urban decentral heat,
Load,BE0 0,services rural heat,
Load,BE0 0,services urban decentral heat,
Load,BE0 0,urban central heat,
Load,BG0 0,H2 for industry,
Load,BG0 0,agriculture electricity,
Load,BG0 0,agriculture heat,
Load,BG0 0,agriculture machinery electric,
Load,BG0 0,electricity,
Load,BG0 0,industry electricity,
Load,BG0 0,land transport EV,
Load,BG0 0,low-temperature heat for industry,
Load,BG0 0,residential rural heat,
Load,BG0 0,residential urban decentral heat,
Load,BG0 0,services rural heat,
Load,BG0 0,services urban decentral heat,
Load,BG0 0,urban central heat,
Load,CH0 0,H2 for industry,
Load,CH0 0,agriculture electricity,
Load,CH0 0,agriculture heat,
Load,CH0 0,agriculture machinery electric,
Load,CH0 0,electricity,
Load,CH0 0,industry electricity,
Load,CH0 0,land transport EV,
Load,CH0 0,low-temperature heat for industry,
Load,CH0 0,residential rural heat,
Load,CH0 0,residential urban decentral heat,
Load,CH0 0,services rural heat,
Load,CH0 0,services urban decentral heat,
Load,CH0 0,urban central heat,
Load,CZ0 0,H2 for industry,
Load,CZ0 0,agriculture electricity,
Load,CZ0 0,agriculture heat,
Load,CZ0 0,agriculture machinery electric,
Load,CZ0 0,electricity,
Load,CZ0 0,industry electricity,
Load,CZ0 0,land transport EV,
Load,CZ0 0,low-temperature heat for industry,
Load,CZ0 0,residential rural heat,
Load,CZ0 0,residential urban decentral heat,
Load,CZ0 0,services rural heat,
Load,CZ0 0,services urban decentral heat,
Load,CZ0 0,urban central heat,
Load,DE0 0,H2 for industry,
Load,DE0 0,agriculture electricity,
Load,DE0 0,agriculture heat,
Load,DE0 0,agriculture machinery electric,
Load,DE0 0,electricity,
Load,DE0 0,industry electricity,
Load,DE0 0,land transport EV,
Load,DE0 0,low-temperature heat for industry,
Load,DE0 0,residential rural heat,
Load,DE0 0,residential urban decentral heat,
Load,DE0 0,services rural heat,
Load,DE0 0,services urban decentral heat,
Load,DE0 0,urban central heat,
Load,DE0 1,H2 for industry,
Load,DE0 1,agriculture electricity,
Load,DE0 1,agriculture heat,
Load,DE0 1,agriculture machinery electric,
Load,DE0 1,electricity,
Load,DE0 1,industry electricity,
Load,DE0 1,land transport EV,
Load,DE0 1,low-temperature heat for industry,
Load,DE0 1,residential rural heat,
Load,DE0 1,residential urban decentral heat,
Load,DE0 1,services rural heat,
Load,DE0 1,services urban decentral heat,
Load,DE0 1,urban central heat,
Load,DK0 0,H2 for industry,
Load,DK0 0,agriculture electricity,
Load,DK0 0,agriculture heat,
Load,DK0 0,agriculture machinery electric,
Load,DK0 0,electricity,
Load,DK0 0,industry electricity,
Load,DK0 0,land transport EV,
Load,DK0 0,low-temperature heat for industry,
Load,DK0 0,residential rural heat,
Load,DK0 0,residential urban decentral heat,
Load,DK0 0,services rural heat,
Load,DK0 0,services urban decentral heat,
Load,DK0 0,urban central heat,
Load,DK1 0,H2 for industry,
Load,DK1 0,agriculture electricity,
Load,DK1 0,agriculture heat,
Load,DK1 0,agriculture machinery electric,
Load,DK1 0,electricity,
Load,DK1 0,industry electricity,
Load,DK1 0,land transport EV,
Load,DK1 0,low-temperature heat for industry,
Load,DK1 0,residential rural heat,
Load,DK1 0,residential urban decentral heat,
Load,DK1 0,services rural heat,
Load,DK1 0,services urban decentral heat,
Load,DK1 0,urban central heat,
Load,EE0 0,H2 for industry,
Load,EE0 0,agriculture electricity,
Load,EE0 0,agriculture heat,
Load,EE0 0,agriculture machinery electric,
Load,EE0 0,electricity,
Load,EE0 0,industry electricity,
Load,EE0 0,land transport EV,
Load,EE0 0,low-temperature heat for industry,
Load,EE0 0,residential rural heat,
