cost,component,location,carrier,0
capital,Generator,AL0 0,load,0.0
capital,Generator,AL0 0,offwind-ac,796839.85946
capital,Generator,AL0 0,offwind-dc,1303603.10795
capital,Generator,AL0 0,onwind,22032440.88033
capital,Generator,AL0 0,residential rural solar thermal,173763.38785
capital,Generator,AL0 0,residential urban decentral solar thermal,181071.56723
capital,Generator,AL0 0,ror,14853811.92575
capital,Generator,AL0 0,services rural solar thermal,162266.50306
capital,Generator,AL0 0,services urban decentral solar thermal,170558.44333
capital,Generator,AL0 0,solar,872405842.16585
capital,Generator,AL0 0,solar rooftop,9270896.74207
capital,Generator,AL0 0,solar-hsat,1214169.71381
capital,Generator,AL0 0,urban central solar thermal,149944.28284
capital,Generator,AT0 0,load,0.0
capital,Generator,AT0 0,onwind,304516760.98062
capital,Generator,AT0 0,residential rural solar thermal,173340.3191
capital,Generator,AT0 0,residential urban decentral solar thermal,188126.39829
capital,Generator,AT0 0,ror,1376929988.78063
capital,Generator,AT0 0,services rural solar thermal,163885.03121
capital,Generator,AT0 0,services urban decentral solar thermal,155819.43957
capital,Generator,AT0 0,solar,5164397346.33689
capital,Generator,AT0 0,solar rooftop,632560872.23211
capital,Generator,AT0 0,solar-hsat,1528489.58917
capital,Generator,AT0 0,urban central solar thermal,187403.56126
capital,Generator,BA0 0,load,0.0
capital,Generator,BA0 0,offwind-ac,138794.44093
capital,Generator,BA0 0,onwind,40953563.22075
capital,Generator,BA0 0,residential rural solar thermal,150950.8252
capital,Generator,BA0 0,residential urban decentral solar thermal,160278.0397
capital,Generator,BA0 0,services rural solar thermal,133399.24963
capital,Generator,BA0 0,services urban decentral solar thermal,136701.60633
capital,Generator,BA0 0,solar,270282976.33049
capital,Generator,BA0 0,solar rooftop,4520861.72085
capital,Generator,BA0 0,solar-hsat,1373206.99397
capital,Generator,BA0 0,urban central solar thermal,121011.9465
capital,Generator,BE0 0,load,0.0
capital,Generator,BE0 0,nuclear,4470720092.6945
capital,Generator,BE0 0,offwind-ac,419079145.3416
capital,Generator,BE0 0,offwind-dc,4149479.19285
capital,Generator,BE0 0,onwind,1433434669.24142
capital,Generator,BE0 0,residential rural solar thermal,94895.38298
capital,Generator,BE0 0,residential urban decentral solar thermal,130228.91747
capital,Generator,BE0 0,ror,18186779.19648
capital,Generator,BE0 0,services rural solar thermal,117459.58159
capital,Generator,BE0 0,services urban decentral solar thermal,120760.60466
capital,Generator,BE0 0,solar,2235951221.6374
capital,Generator,BE0 0,solar rooftop,1103697.69505
capital,Generator,BE0 0,solar-hsat,1655558.72351
capital,Generator,BE0 0,urban central solar thermal,119212.24693
capital,Generator,BG0 0,load,0.0
capital,Generator,BG0 0,nuclear,1567876614.56915
capital,Generator,BG0 0,offwind-ac,1472665.56708
capital,Generator,BG0 0,offwind-dc,1359505.6574
capital,Generator,BG0 0,onwind,66163681.04739
capital,Generator,BG0 0,residential rural solar thermal,144233.71055
capital,Generator,BG0 0,residential urban decentral solar thermal,163302.08749
capital,Generator,BG0 0,ror,34022009.05814
capital,Generator,BG0 0,services rural solar thermal,145348.07425
capital,Generator,BG0 0,services urban decentral solar thermal,145332.41551
capital,Generator,BG0 0,solar,1268559379.33595
capital,Generator,BG0 0,solar rooftop,8300838.95972
capital,Generator,BG0 0,solar-hsat,1393994.21911
capital,Generator,BG0 0,urban central solar thermal,158507.07059
capital,Generator,CH0 0,load,0.0
capital,Generator,CH0 0,nuclear,2528951636.81527
capital,Generator,CH0 0,onwind,8194746.71231
capital,Generator,CH0 0,residential rural solar thermal,184667.10279
capital,Generator,CH0 0,residential urban decentral solar thermal,223080.68937
capital,Generator,CH0 0,ror,1295123214.9052
capital,Generator,CH0 0,services rural solar thermal,165930.30256
capital,Generator,CH0 0,services urban decentral solar thermal,198512.41895
capital,Generator,CH0 0,solar,3676977737.72676
capital,Generator,CH0 0,solar rooftop,565610111.71302
capital,Generator,CH0 0,solar-hsat,2181521.5525
capital,Generator,CH0 0,urban central solar thermal,217005.41169
capital,Generator,CZ0 0,load,0.0
capital,Generator,CZ0 0,nuclear,3138764795.946
capital,Generator,CZ0 0,onwind,31963667.28908
capital,Generator,CZ0 0,residential rural solar thermal,107608.14197
capital,Generator,CZ0 0,residential urban decentral solar thermal,117160.93184
capital,Generator,CZ0 0,ror,12396579.18494
capital,Generator,CZ0 0,services rural solar thermal,108923.01502
capital,Generator,CZ0 0,services urban decentral solar thermal,101690.02472
capital,Generator,CZ0 0,solar,63789624.41216
capital,Generator,CZ0 0,solar rooftop,899411.225
capital,Generator,CZ0 0,solar-hsat,1098645.38866
capital,Generator,CZ0 0,urban central solar thermal,118504.89528
capital,Generator,DE0 0,load,0.0
capital,Generator,DE0 0,nuclear,11511938435.58982
capital,Generator,DE0 0,offwind-ac,1460336957.2813
capital,Generator,DE0 0,offwind-dc,11496618.31655
capital,Generator,DE0 0,onwind,2825870198.34578
capital,Generator,DE0 0,residential rural solar thermal,133505.90256
capital,Generator,DE0 0,residential urban decentral solar thermal,152973.13152
capital,Generator,DE0 0,ror,506429478.63486
capital,Generator,DE0 0,services rural solar thermal,143074.88996
capital,Generator,DE0 0,services urban decentral solar thermal,140875.73158
capital,Generator,DE0 0,solar,1789465116.24361
capital,Generator,DE0 0,solar rooftop,1508345.20748
capital,Generator,DE0 0,solar-hsat,1718971.90777
capital,Generator,DE0 0,urban central solar thermal,147691.87504
capital,Generator,DE0 1,load,0.0
capital,Generator,DE0 1,nuclear,5895363024.1864
capital,Generator,DE0 1,offwind-ac,419690661.00907
capital,Generator,DE0 1,offwind-dc,55569150.09489
capital,Generator,DE0 1,onwind,2296122023.65891
capital,Generator,DE0 1,residential rural solar thermal,144024.38398
capital,Generator,DE0 1,residential urban decentral solar thermal,148170.80216
capital,Generator,DE0 1,ror,1107467645.73254
capital,Generator,DE0 1,services rural solar thermal,143285.08558
capital,Generator,DE0 1,services urban decentral solar thermal,133446.78364
capital,Generator,DE0 1,solar,5672078968.10633
capital,Generator,DE0 1,solar rooftop,1715458.55816
capital,Generator,DE0 1,solar-hsat,1456951.77995
capital,Generator,DE0 1,urban central solar thermal,160084.46483
capital,Generator,DK0 0,load,0.0
capital,Generator,DK0 0,offwind-ac,299791329.24673
capital,Generator,DK0 0,offwind-dc,913333.88224
capital,Generator,DK0 0,onwind,5932188033.41884
capital,Generator,DK0 0,residential rural solar thermal,90258.89432
capital,Generator,DK0 0,residential urban decentral solar thermal,115325.81895
capital,Generator,DK0 0,services rural solar thermal,100012.8187
capital,Generator,DK0 0,services urban decentral solar thermal,96064.8436
capital,Generator,DK0 0,solar,48088540.71408
capital,Generator,DK0 0,solar rooftop,450260.21618
capital,Generator,DK0 0,solar-hsat,814337.96534
capital,Generator,DK0 0,urban central solar thermal,115641.6917
capital,Generator,DK1 0,load,0.0
capital,Generator,DK1 0,offwind-ac,204902599.97373
capital,Generator,DK1 0,offwind-dc,745947.22648
capital,Generator,DK1 0,onwind,1509403986.4133
capital,Generator,DK1 0,residential rural solar thermal,88950.57834
capital,Generator,DK1 0,residential urban decentral solar thermal,115892.74004
capital,Generator,DK1 0,services rural solar thermal,98538.32452
capital,Generator,DK1 0,services urban decentral solar thermal,97536.1434
capital,Generator,DK1 0,solar,133168870.43999
capital,Generator,DK1 0,solar rooftop,799746.04887
capital,Generator,DK1 0,solar-hsat,1587021.34849
capital,Generator,DK1 0,urban central solar thermal,113063.2766
capital,Generator,EE0 0,load,0.0
capital,Generator,EE0 0,offwind-ac,946273.80209
capital,Generator,EE0 0,offwind-dc,887330.28198
capital,Generator,EE0 0,onwind,913105921.29651
capital,Generator,EE0 0,residential rural solar thermal,90234.46482
capital,Generator,EE0 0,residential urban decentral solar thermal,95712.37261
capital,Generator,EE0 0,services rural solar thermal,90682.22033
capital,Generator,EE0 0,services urban decentral solar thermal,86868.11312
capital,Generator,EE0 0,solar,43778402.97602
capital,Generator,EE0 0,solar rooftop,1146956.86683
capital,Generator,EE0 0,solar-hsat,1833368.10442
capital,Generator,EE0 0,urban central solar thermal,93361.15883
capital,Generator,ES0 0,load,0.0
capital,Generator,ES0 0,nuclear,3543093652.83164
capital,Generator,ES0 0,offwind-ac,3724974.70539
capital,Generator,ES0 0,offwind-dc,1108153.74017
capital,Generator,ES0 0,onwind,2911228064.95432
capital,Generator,ES0 0,residential rural solar thermal,281852.7241
capital,Generator,ES0 0,residential urban decentral solar thermal,336153.16447
capital,Generator,ES0 0,ror,40062148.34745
capital,Generator,ES0 0,services rural solar thermal,326685.30186
capital,Generator,ES0 0,services urban decentral solar thermal,285892.28346
capital,Generator,ES0 0,solar,25011395907.21537
capital,Generator,ES0 0,solar rooftop,2113428580.80845
capital,Generator,ES0 0,solar-hsat,1736580.40871
capital,Generator,ES0 0,urban central solar thermal,355365.42604
capital,Generator,ES6 0,load,0.0
capital,Generator,ES6 0,nuclear,2286079309.31935
capital,Generator,ES6 0,offwind-ac,318659.86353
capital,Generator,ES6 0,offwind-dc,524375.58297
capital,Generator,ES6 0,onwind,2572846.54301
capital,Generator,ES6 0,residential rural solar thermal,135351.69304
capital,Generator,ES6 0,residential urban decentral solar thermal,149900.97668
capital,Generator,ES6 0,ror,45303586.30495
capital,Generator,ES6 0,services rural solar thermal,141606.30356
capital,Generator,ES6 0,services urban decentral solar thermal,140508.13568
capital,Generator,ES6 0,solar,7958990.87286
capital,Generator,ES6 0,solar rooftop,760328.8788
capital,Generator,ES6 0,solar-hsat,455907.45254
capital,Generator,ES6 0,urban central solar thermal,119353.11918
capital,Generator,EU,biogas,0.0
capital,Generator,EU,coal,0.0
