component,carrier,location,bus_carrier,0
Generator,biogas,EU,biogas,0.0
Generator,coal,EU,coal,106061899.02051
Generator,gas,EU,gas,894856471.08493
Generator,load,AL0 0,AC,1.11948
Generator,load,AL0 0,EV battery,1.58519
Generator,load,AL0 0,H2,1.48087
Generator,load,AL0 0,battery,1.19313
Generator,load,AL0 0,home battery,1.25608
Generator,load,AL0 0,low voltage,1.15252
Generator,load,AL0 0,residential rural heat,0.0
Generator,load,AL0 0,residential urban decentral heat,0.0
Generator,load,AL0 0,services rural heat,0.0
Generator,load,AL0 0,services urban decentral heat,0.0
Generator,load,AL0 0,urban central heat,0.0
Generator,load,AT0 0,AC,1.41225
Generator,load,AT0 0,EV battery,1.65154
Generator,load,AT0 0,H2,1.48297
Generator,load,AT0 0,battery,1.40948
Generator,load,AT0 0,home battery,1.53629
Generator,load,AT0 0,low voltage,1.42579
Generator,load,AT0 0,residential rural heat,0.0
Generator,load,AT0 0,residential urban decentral heat,0.0
Generator,load,AT0 0,services rural heat,0.0
Generator,load,AT0 0,services urban decentral heat,0.0
Generator,load,AT0 0,urban central heat,0.0
Generator,load,BA0 0,AC,1.07079
Generator,load,BA0 0,EV battery,1.62796
Generator,load,BA0 0,H2,1.48303
Generator,load,BA0 0,battery,1.07229
Generator,load,BA0 0,home battery,1.1552
Generator,load,BA0 0,low voltage,1.06639
Generator,load,BA0 0,residential rural heat,0.0
Generator,load,BA0 0,residential urban decentral heat,0.0
Generator,load,BA0 0,services rural heat,0.0
Generator,load,BA0 0,services urban decentral heat,0.0
Generator,load,BA0 0,urban central heat,0.0
Generator,load,BE0 0,AC,0.0
Generator,load,BE0 0,EV battery,1.65068
Generator,load,BE0 0,H2,1.47918
Generator,load,BE0 0,battery,0.0
Generator,load,BE0 0,home battery,0.0
Generator,load,BE0 0,low voltage,0.0
Generator,load,BE0 0,residential rural heat,0.0
Generator,load,BE0 0,residential urban decentral heat,0.0
Generator,load,BE0 0,services rural heat,0.0
Generator,load,BE0 0,services urban decentral heat,0.0
Generator,load,BE0 0,urban central heat,0.0
Generator,load,BG0 0,AC,0.0
Generator,load,BG0 0,EV battery,1.65064
Generator,load,BG0 0,H2,1.48231
Generator,load,BG0 0,battery,0.0
Generator,load,BG0 0,home battery,0.0
Generator,load,BG0 0,low voltage,0.0
Generator,load,BG0 0,residential rural heat,0.0
Generator,load,BG0 0,residential urban decentral heat,0.0
Generator,load,BG0 0,services rural heat,0.0
Generator,load,BG0 0,services urban decentral heat,0.0
Generator,load,BG0 0,urban central heat,0.0
Generator,load,CH0 0,AC,0.0
Generator,load,CH0 0,EV battery,1.64804
Generator,load,CH0 0,H2,1.48279
Generator,load,CH0 0,battery,0.0
Generator,load,CH0 0,home battery,0.0
Generator,load,CH0 0,low voltage,0.0
Generator,load,CH0 0,residential rural heat,0.0
Generator,load,CH0 0,residential urban decentral heat,0.0
Generator,load,CH0 0,services rural heat,0.0
Generator,load,CH0 0,services urban decentral heat,0.0
Generator,load,CH0 0,urban central heat,0.0
Generator,load,CZ0 0,AC,0.0
Generator,load,CZ0 0,EV battery,1.64775
Generator,load,CZ0 0,H2,1.48069
Generator,load,CZ0 0,battery,0.0
Generator,load,CZ0 0,home battery,0.0
Generator,load,CZ0 0,low voltage,0.0
Generator,load,CZ0 0,residential rural heat,0.0
Generator,load,CZ0 0,residential urban decentral heat,0.0
Generator,load,CZ0 0,services rural heat,0.0
Generator,load,CZ0 0,services urban decentral heat,0.0
Generator,load,CZ0 0,urban central heat,0.0
Generator,load,DE0 0,AC,0.0
Generator,load,DE0 0,EV battery,1.63709
Generator,load,DE0 0,H2,1.48154
Generator,load,DE0 0,battery,0.0
Generator,load,DE0 0,home battery,0.0
Generator,load,DE0 0,low voltage,0.0
Generator,load,DE0 0,residential rural heat,0.0
Generator,load,DE0 0,residential urban decentral heat,0.0
Generator,load,DE0 0,services rural heat,0.0
Generator,load,DE0 0,services urban decentral heat,0.0
Generator,load,DE0 0,urban central heat,0.0
Generator,load,DE0 1,AC,0.0
Generator,load,DE0 1,EV battery,1.64444
Generator,load,DE0 1,H2,1.48134
Generator,load,DE0 1,battery,0.0
Generator,load,DE0 1,home battery,0.0
Generator,load,DE0 1,low voltage,0.0
Generator,load,DE0 1,residential rural heat,0.0
Generator,load,DE0 1,residential urban decentral heat,0.0
Generator,load,DE0 1,services rural heat,0.0
Generator,load,DE0 1,services urban decentral heat,0.0
Generator,load,DE0 1,urban central heat,0.0
Generator,load,DK0 0,AC,0.95771
