,0
AC,41.71975866464051
EV battery,61.15752455869587
H2,65.12219400686469
agriculture machinery oil,122.82529527508267
battery,26.52474808907032
co2,-247.65496529165142
co2 sequestered,-140.28886910504502
co2 stored,-140.2946793376237
coal,9.564132825779815
coal for industry,92.81012322079927
gas,24.57836352564071
gas for industry,64.6012996172024
home battery,29.441292325392386
industry methanol,115.15632282129877
kerosene for aviation,122.82384099039518
land transport oil,122.82432355738956
low voltage,67.67883948913868
methanol,53.331101814882985
naphtha for industry,64.57032546683521
non-sequestered HVC,-52.71761967226145
oil,59.142307909433356
oil primary,52.92158383750001
process emissions,-169.46858041407768
residential rural heat,73.5645566300381
residential urban decentral heat,81.45178050268635
services rural heat,52.19805935565826
services urban decentral heat,82.33008528318288
shipping methanol,115.1564512901869
shipping oil,122.8235316010208
solid biomass,13.659603297241754
solid biomass for industry,-16.671807903495665
urban central heat,54.30949336884204
