cost,component,carrier,0
capital,Generator,biogas,0.0
capital,Generator,coal,0.0
capital,Generator,gas,0.0
capital,Generator,load,0.0
capital,Generator,nuclear,116390424512.8297
capital,Generator,offwind-ac,17352988819.18988
capital,Generator,offwind-dc,5187977088.23597
capital,Generator,oil primary,0.0
capital,Generator,onwind,57162035126.36938
capital,Generator,residential rural solar thermal,8972273.03825
capital,Generator,residential urban decentral solar thermal,8731959.87038
capital,Generator,ror,15121742314.61956
capital,Generator,services rural solar thermal,9019922.29571
capital,Generator,services urban decentral solar thermal,9057128.46676
capital,Generator,solar,102469672278.5406
capital,Generator,solar rooftop,8772932489.29376
capital,Generator,solar-hsat,55672839.75946
capital,Generator,solid biomass,0.0
capital,Generator,urban central solar thermal,8227243.43868
capital,Line,AC,6883386666.0863
capital,Link,BEV charger,0.0
capital,Link,CCGT,23460451938.75253
capital,Link,DAC,3046954365.18429
capital,Link,DC,12993724919.66087
capital,Link,Fischer-Tropsch,6881970155.2707
capital,Link,H2 Electrolysis,45664791363.21882
capital,Link,H2 pipeline,1192160158.45972
capital,Link,HVC to air,0.0
capital,Link,SMR,3835927632.94816
capital,Link,SMR CC,165919591.38428
capital,Link,V2G,0.0
capital,Link,agriculture machinery oil,0.0
capital,Link,battery charger,11900080.06305
capital,Link,battery discharger,0.0
capital,Link,biogas to gas,232994.26789
capital,Link,biomass to liquid,196236.94639
capital,Link,co2 sequestered,0.0
capital,Link,coal for industry,0.0
capital,Link,electricity distribution grid,47244584696.49696
capital,Link,electrobiofuels,7096676644.65119
capital,Link,gas for industry,0.0
capital,Link,gas for industry CC,189711374.21948
capital,Link,home battery charger,12676315.61559
capital,Link,home battery discharger,0.0
capital,Link,industry methanol,0.0
capital,Link,kerosene for aviation,0.0
capital,Link,land transport oil,0.0
capital,Link,methanolisation,3029191472.87217
capital,Link,naphtha for industry,0.0
capital,Link,oil refining,0.0
capital,Link,process emissions,0.0
capital,Link,process emissions CC,4014772721.4888
capital,Link,residential rural air heat pump,3555579778.62358
capital,Link,residential rural ground heat pump,18585674416.65401
capital,Link,residential urban decentral air heat pump,35725336990.32071
