component,carrier,bus_carrier,0
Link,electricity distribution grid,low voltage,4960758945.01858
Generator,solar,AC,4393282421.09571
Link,H2 Electrolysis,H2,1723287564.84133
Generator,onwind,AC,1583700808.12829
Generator,oil primary,oil primary,1330105106.68213
Link,oil refining,oil,1262849694.83122
Link,residential urban decentral air heat pump,residential urban decentral heat,1151975913.82827
Generator,solid biomass,solid biomass,1049092410.50979
Link,urban central air heat pump,urban central heat,998045372.26052
Link,land transport oil,land transport oil,947303920.63373
Generator,gas,gas,843734484.01069
Link,Fischer-Tropsch,oil,777306751.30916
Link,kerosene for aviation,kerosene for aviation,743906975.46708
Link,BEV charger,EV battery,712250048.07316
Generator,nuclear,AC,644313770.92897
Link,solid biomass for industry CC,solid biomass for industry,627348888.12991
Link,residential rural ground heat pump,residential rural heat,522487731.74833
Link,naphtha for industry,naphtha for industry,504800000.25975
Link,gas for industry,gas for industry,474734463.53315
Link,electrobiofuels,oil,467562176.53815
Link,services urban decentral air heat pump,services urban decentral heat,452331355.34751
Link,services rural ground heat pump,services rural heat,401139460.97411
Generator,offwind-ac,AC,390384111.27108
Generator,solar rooftop,low voltage,343791042.17153
StorageUnit,hydro,AC,338510410.39766
Link,methanolisation,methanol,285373356.21019
Link,shipping methanol,shipping methanol,276633336.36524
Link,shipping oil,shipping oil,260286820.96527
Link,land transport oil,co2,243551837.99493
Link,solid biomass for industry CC,co2 stored,242829328.23709
Store,non-sequestered HVC,non-sequestered HVC,221011435.239
Link,kerosene for aviation,co2,191258483.39259
Link,co2 sequestered,co2 sequestered,179999994.2822
Link,waste CHP,urban central heat,167632920.19135
Generator,ror,AC,162972126.67714
Link,process emissions CC,co2 stored,160271312.98557
Load,process emissions,process emissions,152570000.0
Link,CCGT,AC,137623899.39322
Generator,offwind-dc,AC,116346321.87664
Link,coal for industry,coal for industry,106061918.60508
Generator,coal,coal,106061918.58009
Link,gas for industry,co2,93997423.77956
Link,H2 Electrolysis,urban central heat,85863624.90974
Link,SMR,H2,69438580.62427
Link,shipping methanol,co2,68607756.84265
Link,shipping oil,co2,66919741.67017
Link,waste CHP,co2,56523410.62659
Link,agriculture machinery oil,agriculture machinery oil,51423818.19989
Link,waste CHP,AC,47597504.47552
Link,CCGT,co2,45415886.79976
Link,DAC,co2 stored,38286438.04745
Link,Fischer-Tropsch,urban central heat,36690449.86525
Link,gas for industry CC,gas for industry,36215537.68936
Link,coal for industry,co2,35647410.84317
Link,residential rural air heat pump,residential rural heat,25351141.48296
Link,V2G,low voltage,23315482.11607
Link,services rural air heat pump,services rural heat,18168764.74442
Link,SMR,co2,18090577.58369
