component,carrier,0
Generator,solar,4393282421.09571
Generator,onwind,1583700808.12829
Generator,oil primary,1330105106.68213
Generator,solid biomass,1049092410.50979
Generator,gas,843734484.01069
Link,urban central air heat pump,652848888.2431
Generator,nuclear,644313770.92897
Link,residential urban decentral air heat pump,644281078.89539
Generator,offwind-ac,390384111.27108
Link,residential rural ground heat pump,364905059.20813
Generator,solar rooftop,343791042.17153
StorageUnit,hydro,338510410.39766
Link,services rural ground heat pump,283508750.72301
Link,services urban decentral air heat pump,253069186.8713
Link,land transport oil,243551837.99493
Store,non-sequestered HVC,221011435.239
Link,kerosene for aviation,191258483.39259
Generator,ror,162972126.67714
Load,process emissions,152570000.0
Generator,offwind-dc,116346321.87664
Generator,coal,106061918.58009
Link,gas for industry,93997423.77956
Link,shipping methanol,68607756.84265
Link,shipping oil,66919741.67017
Link,waste CHP,51903930.09473
Link,coal for industry,35647410.84317
Link,naphtha for industry,16140000.00831
Link,residential rural air heat pump,15386834.61579
Link,agriculture machinery oil,13221063.65919
Link,services rural air heat pump,11648844.40176
Link,gas for industry CC,3943469.65951
Link,industry methanol,2167604.68524
Generator,solar-hsat,1686440.87122
Link,waste CHP CC,235963.07846
Generator,urban central solar thermal,103765.1667
Generator,services urban decentral solar thermal,74640.8414
Generator,services rural solar thermal,72018.14426
Generator,residential rural solar thermal,70404.79392
Generator,residential urban decentral solar thermal,67487.43197
Generator,biogas,5708.06093
Generator,load,346.10287
Store,home battery,0.2275
Store,battery,0.06606
Store,coal,0.02498
Link,solid biomass for industry,0.0
Store,EV battery,0.0
Store,H2 Store,-0.0
Store,co2 stored,0.0
Store,gas,0.0
Store,methanol,0.0
Link,process emissions CC,0.0
Link,process emissions,0.0
Link,co2 sequestered,0.0
Store,oil,0.0
Link,biogas to gas,-1131.92324
Link,biomass to liquid,-4361.33379
Link,home battery discharger,-56253.59211
Link,home battery charger,-57412.99859
Link,battery discharger,-72498.97626
Link,battery charger,-73993.35149
Link,HVC to air,-110194.6156
Link,SMR CC,-898977.96263
Link,V2G,-2590609.12401
Link,SMR,-3837395.24503
Link,H2 pipeline,-4488851.21715
Load,industry methanol,-8740000.0
Load,agriculture machinery electric,-22038779.72332
StorageUnit,PHS,-23355414.96547
Load,agriculture electricity,-37525883.79874
Link,CCGT,-46333379.46239
Link,DC,-47322987.47188
Link,oil refining,-49964045.46404
Load,agriculture machinery oil,-51423819.35442
Line,AC,-63305494.73979
Link,solid biomass for industry CC,-69705432.01444
Link,DAC,-74658554.19252
Link,BEV charger,-79138894.23035
Load,low-temperature heat for industry,-95180000.0
Load,coal for industry,-106061920.0
Load,H2 for industry,-140180000.0
Link,electricity distribution grid,-154927882.80604
Store,co2 sequestered,-179999994.2822
Link,methanolisation,-180643864.41034
Load,services rural heat,-204568447.88144
Load,agriculture heat,-214811742.63032
Load,shipping oil,-260286822.12313
Load,shipping methanol,-276633337.52217
Link,Fischer-Tropsch,-358697865.59989
Link,electrobiofuels,-365148937.92768
Load,services urban decentral heat,-452252347.74388
Store,co2,-460391732.77593
Load,naphtha for industry,-504800000.0
Load,gas for industry,-510950000.0
Load,residential rural heat,-547909224.68024
Load,solid biomass for industry,-627380000.0
Link,H2 Electrolysis,-654800146.88223
Load,land transport EV,-686344015.27808
Load,kerosene for aviation,-743906976.62384
Load,land transport oil,-947303921.78965
Load,urban central heat,-1147326184.40367
Load,residential urban decentral heat,-1152043401.26022
Load,industry electricity,-1557980000.0
Load,electricity,-1574967174.57493
