component,location,carrier,0
Generator,AL0 0,load,inf
Generator,AL0 0,offwind-ac,5.0199
Generator,AL0 0,offwind-dc,6.72822
Generator,AL0 0,onwind,234.03046
Generator,AL0 0,residential rural solar thermal,11.24973
Generator,AL0 0,residential urban decentral solar thermal,10.93558
Generator,AL0 0,ror,48.2
Generator,AL0 0,services rural solar thermal,10.64746
Generator,AL0 0,services urban decentral solar thermal,11.83064
Generator,AL0 0,solar,42018.5029
Generator,AL0 0,solar rooftop,237.89404
Generator,AL0 0,solar-hsat,29.26812
Generator,AL0 0,urban central solar thermal,15.09763
Generator,AT0 0,load,inf
Generator,AT0 0,onwind,3235.22274
Generator,AT0 0,residential rural solar thermal,9.1143
Generator,AT0 0,residential urban decentral solar thermal,8.92729
Generator,AT0 0,ror,4468.08037
Generator,AT0 0,services rural solar thermal,9.04846
Generator,AT0 0,services urban decentral solar thermal,8.63259
Generator,AT0 0,solar,175977.6043
Generator,AT0 0,solar rooftop,10264.83695
Generator,AT0 0,solar-hsat,46.76319
Generator,AT0 0,urban central solar thermal,14.4118
Generator,BA0 0,load,inf
Generator,BA0 0,offwind-ac,0.98481
Generator,BA0 0,onwind,435.03932
Generator,BA0 0,residential rural solar thermal,9.27919
Generator,BA0 0,residential urban decentral solar thermal,9.0039
Generator,BA0 0,services rural solar thermal,8.78962
Generator,BA0 0,services urban decentral solar thermal,9.46406
Generator,BA0 0,solar,274.23737
Generator,BA0 0,solar rooftop,270.24433
Generator,BA0 0,solar-hsat,28.47334
Generator,BA0 0,urban central solar thermal,16.57891
Generator,BE0 0,load,inf
Generator,BE0 0,nuclear,5931.1024
Generator,BE0 0,offwind-ac,2261.8
Generator,BE0 0,offwind-dc,42.71751
Generator,BE0 0,onwind,15233.67784
Generator,BE0 0,residential rural solar thermal,6.0565
Generator,BE0 0,residential urban decentral solar thermal,6.69695
Generator,BE0 0,ror,59.01534
Generator,BE0 0,services rural solar thermal,6.70549
Generator,BE0 0,services urban decentral solar thermal,6.43318
Generator,BE0 0,solar,60005.66988
Generator,BE0 0,solar rooftop,30.26313
Generator,BE0 0,solar-hsat,42.35609
Generator,BE0 0,urban central solar thermal,10.39651
Generator,BG0 0,load,inf
Generator,BG0 0,nuclear,2080.03437
Generator,BG0 0,offwind-ac,6.92704
Generator,BG0 0,offwind-dc,7.84078
Generator,BG0 0,onwind,702.83747
Generator,BG0 0,residential rural solar thermal,8.89026
Generator,BG0 0,residential urban decentral solar thermal,9.02298
Generator,BG0 0,ror,110.4
Generator,BG0 0,services rural solar thermal,9.05209
Generator,BG0 0,services urban decentral solar thermal,9.07948
Generator,BG0 0,solar,26204.7055
Generator,BG0 0,solar rooftop,222.77323
Generator,BG0 0,solar-hsat,43.94793
Generator,BG0 0,urban central solar thermal,15.27753
Generator,CH0 0,load,inf
Generator,CH0 0,nuclear,3355.03323
Generator,CH0 0,onwind,87.01665
Generator,CH0 0,residential rural solar thermal,10.1524
Generator,CH0 0,residential urban decentral solar thermal,10.40371
Generator,CH0 0,ror,4202.6208
Generator,CH0 0,services rural solar thermal,9.82054
Generator,CH0 0,services urban decentral solar thermal,10.0156
Generator,CH0 0,solar,125309.20275
Generator,CH0 0,solar rooftop,16186.25706
Generator,CH0 0,solar-hsat,50.10215
Generator,CH0 0,urban central solar thermal,18.3429
Generator,CZ0 0,load,inf
Generator,CZ0 0,nuclear,4164.0325
Generator,CZ0 0,onwind,339.46229
Generator,CZ0 0,residential rural solar thermal,6.26758
Generator,CZ0 0,residential urban decentral solar thermal,6.28384
Generator,CZ0 0,ror,40.22638
Generator,CZ0 0,services rural solar thermal,6.34832
Generator,CZ0 0,services urban decentral solar thermal,5.99036
Generator,CZ0 0,solar,2172.29741
Generator,CZ0 0,solar rooftop,25.27105
Generator,CZ0 0,solar-hsat,32.41184
Generator,CZ0 0,urban central solar thermal,9.79594
Generator,DE0 0,load,inf
Generator,DE0 0,nuclear,15272.11138
Generator,DE0 0,offwind-ac,7858.0
Generator,DE0 0,offwind-dc,40.45123
Generator,DE0 0,onwind,30022.67782
Generator,DE0 0,residential rural solar thermal,7.04338
Generator,DE0 0,residential urban decentral solar thermal,7.26558
Generator,DE0 0,ror,1643.34253
Generator,DE0 0,services rural solar thermal,7.01868
Generator,DE0 0,services urban decentral solar thermal,6.91016
Generator,DE0 0,solar,19824.20731
Generator,DE0 0,solar rooftop,44.84272
Generator,DE0 0,solar-hsat,56.68934
Generator,DE0 0,urban central solar thermal,11.79448
Generator,DE0 1,load,inf
Generator,DE0 1,nuclear,7821.05463
Generator,DE0 1,offwind-ac,2268.04724
Generator,DE0 1,offwind-dc,268.40172
Generator,DE0 1,onwind,24393.86998
Generator,DE0 1,residential rural solar thermal,7.30669
Generator,DE0 1,residential urban decentral solar thermal,7.23496
Generator,DE0 1,ror,3593.68631
Generator,DE0 1,services rural solar thermal,7.24251
